,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,5758
'0:0:0.05,5753
'0:0:0.1,5752
'0:0:0.15,5757
'0:0:0.2,5767
'0:0:0.25,5779
'0:0:0.3,5787
'0:0:0.35,5794
'0:0:0.4,5797
'0:0:0.45,5801
'0:0:0.5,5812
'0:0:0.55,5825
'0:0:0.6,5836
'0:0:0.65,5849
'0:0:0.7,5866
'0:0:0.75,5888
'0:0:0.8,5908
'0:0:0.85,5930
'0:0:0.9,5954
'0:0:0.95,5976
'0:0:1.0,5994
'0:0:1.05,6017
'0:0:1.1,6039
'0:0:1.15,6060
'0:0:1.2,6075
'0:0:1.25,6092
'0:0:1.3,6114
'0:0:1.35,6140
'0:0:1.4,6167
'0:0:1.45,6199
'0:0:1.5,6222
'0:0:1.55,6240
'0:0:1.6,6256
'0:0:1.65,6274
'0:0:1.7,6286
'0:0:1.75,6290
'0:0:1.8,6286
'0:0:1.85,6275
'0:0:1.9,6261
'0:0:1.95,6239
'0:0:2.0,6220
'0:0:2.05,6196
'0:0:2.1,6167
'0:0:2.15,6141
'0:0:2.2,6121
'0:0:2.25,6097
'0:0:2.3,6072
'0:0:2.35,6049
'0:0:2.4,6034
'0:0:2.45,6019
'0:0:2.5,6003
'0:0:2.55,5989
'0:0:2.6,5976
'0:0:2.65,5955
'0:0:2.7,5941
'0:0:2.75,5929
'0:0:2.8,5914
'0:0:2.85,5897
'0:0:2.9,5886
'0:0:2.95,5877
'0:0:3.0,5871
'0:0:3.05,5865
'0:0:3.1,5860
'0:0:3.15,5853
'0:0:3.2,5843
'0:0:3.25,5833
'0:0:3.3,5826
'0:0:3.35,5816
'0:0:3.4,5806
'0:0:3.45,5798
'0:0:3.5,5792
'0:0:3.55,5788
'0:0:3.6,5784
'0:0:3.65,5781
'0:0:3.7,5777
'0:0:3.75,5771
'0:0:3.8,5765
'0:0:3.85,5762
'0:0:3.9,5759
'0:0:3.95,5757
'0:0:4.0,5757
'0:0:4.05,5760
'0:0:4.1,5765
'0:0:4.15,5771
'0:0:4.2,5779
'0:0:4.25,5789
'0:0:4.3,5799
'0:0:4.35,5810
'0:0:4.4,5818
'0:0:4.45,5831
'0:0:4.5,5843
'0:0:4.55,5853
'0:0:4.6,5864
'0:0:4.65,5879
'0:0:4.7,5896
'0:0:4.75,5918
'0:0:4.8,5937
'0:0:4.85,5957
'0:0:4.9,5976
'0:0:4.95,5990
'0:0:5.0,6000
'0:0:5.05,6016
'0:0:5.1,6032
'0:0:5.15,6044
'0:0:5.2,6054
'0:0:5.25,6068
'0:0:5.3,6080
'0:0:5.35,6084
'0:0:5.4,6080
'0:0:5.45,6073
'0:0:5.5,6063
'0:0:5.55,6044
'0:0:5.6,6025
'0:0:5.65,6008
'0:0:5.7,5993
'0:0:5.75,5973
'0:0:5.8,5953
'0:0:5.85,5934
'0:0:5.9,5922
'0:0:5.95,5912
'0:0:6.0,5902
'0:0:6.05,5893
'0:0:6.1,5885
'0:0:6.15,5869
'0:0:6.2,5855
'0:0:6.25,5846
'0:0:6.3,5837
'0:0:6.35,5825
'0:0:6.4,5815
'0:0:6.45,5806
'0:0:6.5,5798
'0:0:6.55,5792
'0:0:6.6,5789
'0:0:6.65,5786
'0:0:6.7,5783
'0:0:6.75,5777
'0:0:6.8,5771
'0:0:6.85,5769
'0:0:6.9,5766
'0:0:6.95,5761
'0:0:7.0,5757
'0:0:7.05,5753
'0:0:7.1,5751
'0:0:7.15,5751
'0:0:7.2,5751
'0:0:7.25,5751
'0:0:7.3,5750
'0:0:7.35,5747
'0:0:7.4,5746
'0:0:7.45,5746
'0:0:7.5,5749
'0:0:7.55,5749
'0:0:7.6,5748
'0:0:7.65,5748
'0:0:7.7,5751
'0:0:7.75,5756
'0:0:7.8,5762
'0:0:7.85,5773
'0:0:7.9,5784
'0:0:7.95,5796
'0:0:8.0,5810
'0:0:8.05,5822
'0:0:8.1,5830
'0:0:8.15,5842
'0:0:8.2,5854
'0:0:8.25,5864
'0:0:8.3,5871
'0:0:8.35,5883
'0:0:8.4,5897
'0:0:8.45,5917
'0:0:8.5,5936
'0:0:8.55,5954
'0:0:8.6,5972
'0:0:8.65,5986
'0:0:8.7,5994
'0:0:8.75,6003
'0:0:8.8,6013
'0:0:8.85,6022
'0:0:8.9,6027
'0:0:8.95,6036
'0:0:9.0,6049
'0:0:9.05,6064
'0:0:9.1,6073
'0:0:9.15,6074
'0:0:9.2,6071
'0:0:9.25,6067
'0:0:9.3,6056
'0:0:9.35,6041
'0:0:9.4,6030
'0:0:9.45,6020
'0:0:9.5,6008
'0:0:9.55,5993
'0:0:9.6,5981
'0:0:9.65,5970
'0:0:9.7,5962
'0:0:9.75,5951
'0:0:9.8,5940
'0:0:9.85,5929
'0:0:9.9,5915
'0:0:9.95,5896
'0:0:10.0,5884
'0:0:10.05,5874
'0:0:10.1,5862
'0:0:10.15,5850
'0:0:10.2,5840
'0:0:10.25,5832
'0:0:10.3,5824
'0:0:10.35,5817
'0:0:10.4,5814
'0:0:10.45,5810
'0:0:10.5,5806
'0:0:10.55,5800
'0:0:10.6,5792
'0:0:10.65,5787
'0:0:10.7,5784
'0:0:10.75,5779
'0:0:10.8,5776
'0:0:10.85,5775
'0:0:10.9,5773
'0:0:10.95,5771
'0:0:11.0,5771
'0:0:11.05,5771
'0:0:11.1,5769
'0:0:11.15,5766
'0:0:11.2,5762
'0:0:11.25,5758
'0:0:11.3,5757
'0:0:11.35,5757
'0:0:11.4,5755
'0:0:11.45,5752
'0:0:11.5,5749
'0:0:11.55,5746
'0:0:11.6,5746
'0:0:11.65,5750
'0:0:11.7,5757
'0:0:11.75,5767
'0:0:11.8,5779
'0:0:11.85,5792
'0:0:11.9,5799
'0:0:11.95,5808
'0:0:12.0,5820
'0:0:12.05,5830
'0:0:12.1,5837
'0:0:12.15,5848
'0:0:12.2,5861
'0:0:12.25,5877
'0:0:12.3,5893
'0:0:12.35,5912
'0:0:12.4,5929
'0:0:12.45,5948
'0:0:12.5,5963
'0:0:12.55,5974
'0:0:12.6,5985
'0:0:12.65,6000
'0:0:12.7,6011
'0:0:12.75,6014
'0:0:12.8,6010
'0:0:12.85,6004
'0:0:12.9,6002
'0:0:12.95,6001
'0:0:13.0,5999
'0:0:13.05,5995
'0:0:13.1,5989
'0:0:13.15,5975
'0:0:13.2,5959
'0:0:13.25,5945
'0:0:13.3,5930
'0:0:13.35,5909
'0:0:13.4,5890
'0:0:13.45,5873
'0:0:13.5,5861
'0:0:13.55,5851
'0:0:13.6,5845
'0:0:13.65,5838
'0:0:13.7,5831
'0:0:13.75,5825
'0:0:13.8,5816
'0:0:13.85,5806
'0:0:13.9,5801
'0:0:13.95,5795
'0:0:14.0,5786
'0:0:14.05,5777
'0:0:14.1,5773
'0:0:14.15,5769
'0:0:14.2,5767
'0:0:14.25,5766
'0:0:14.3,5765
'0:0:14.35,5763
'0:0:14.4,5760
'0:0:14.45,5755
'0:0:14.5,5750
'0:0:14.55,5748
'0:0:14.6,5746
'0:0:14.65,5745
'0:0:14.7,5744
'0:0:14.75,5744
'0:0:14.8,5743
'0:0:14.85,5742
'0:0:14.9,5744
'0:0:14.95,5749
'0:0:15.0,5755
'0:0:15.05,5765
'0:0:15.1,5773
'0:0:15.15,5781
'0:0:15.2,5790
'0:0:15.25,5802
'0:0:15.3,5811
'0:0:15.35,5820
'0:0:15.4,5830
'0:0:15.45,5843
'0:0:15.5,5856
'0:0:15.55,5870
'0:0:15.6,5886
'0:0:15.65,5903
'0:0:15.7,5919
'0:0:15.75,5936
'0:0:15.8,5946
'0:0:15.85,5953
'0:0:15.9,5962
'0:0:15.95,5971
'0:0:16.0,5975
'0:0:16.05,5977
'0:0:16.1,5977
'0:0:16.15,5973
'0:0:16.2,5970
'0:0:16.25,5968
'0:0:16.3,5965
'0:0:16.35,5962
'0:0:16.4,5958
'0:0:16.45,5946
'0:0:16.5,5933
'0:0:16.55,5922
'0:0:16.6,5910
'0:0:16.65,5895
'0:0:16.7,5881
'0:0:16.75,5869
'0:0:16.8,5860
'0:0:16.85,5851
'0:0:16.9,5844
'0:0:16.95,5839
'0:0:17.0,5833
'0:0:17.05,5826
'0:0:17.1,5817
'0:0:17.15,5806
'0:0:17.2,5799
'0:0:17.25,5792
'0:0:17.3,5784
'0:0:17.35,5775
'0:0:17.4,5768
'0:0:17.45,5764
'0:0:17.5,5763
'0:0:17.55,5762
'0:0:17.6,5763
'0:0:17.65,5762
'0:0:17.7,5761
'0:0:17.75,5758
'0:0:17.8,5754
'0:0:17.85,5752
'0:0:17.9,5752
'0:0:17.95,5751
'0:0:18.0,5751
'0:0:18.05,5751
'0:0:18.1,5751
'0:0:18.15,5751
'0:0:18.2,5752
'0:0:18.25,5755
'0:0:18.3,5757
'0:0:18.35,5757
'0:0:18.4,5757
'0:0:18.45,5756
'0:0:18.5,5756
'0:0:18.55,5760
'0:0:18.6,5763
'0:0:18.65,5763
'0:0:18.7,5765
'0:0:18.75,5771
'0:0:18.8,5779
'0:0:18.85,5788
'0:0:18.9,5801
'0:0:18.95,5816
'0:0:19.0,5829
'0:0:19.05,5843
'0:0:19.1,5855
'0:0:19.15,5863
'0:0:19.2,5873
