,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,6538,
'0:0:0.05,6564,
'0:0:0.1,6591,
'0:0:0.15,6608,
'0:0:0.2,6617,
'0:0:0.25,6613,
'0:0:0.3,6592,
'0:0:0.35,6567,
'0:0:0.4,6536,
'0:0:0.45,6501,
'0:0:0.5,6450,
'0:0:0.55,6405,
'0:0:0.6,6370,
'0:0:0.65,6344,
'0:0:0.7,6319,
'0:0:0.75,6297,
'0:0:0.8,6273,
'0:0:0.85,6246,
'0:0:0.9,6217,
'0:0:0.95,6198,
'0:0:1.0,6179,
'0:0:1.05,6162,
'0:0:1.1,6146,
'0:0:1.15,6138,
'0:0:1.2,6131,
'0:0:1.25,6124,
'0:0:1.3,6116,
'0:0:1.35,6110,
'0:0:1.4,6098,
'0:0:1.45,6086,
'0:0:1.5,6078,
'0:0:1.55,6071,
'0:0:1.6,6063,
'0:0:1.65,6056,
'0:0:1.7,6050,
'0:0:1.75,6046,
'0:0:1.8,6046,
'0:0:1.85,6047,
'0:0:1.9,6047,
'0:0:1.95,6043,
'0:0:2.0,6037,
'0:0:2.05,6035,
'0:0:2.1,6039,
'0:0:2.15,6042,
'0:0:2.2,6046,
'0:0:2.25,6053,
'0:0:2.3,6064,
'0:0:2.35,6075,
'0:0:2.4,6086,
'0:0:2.45,6097,
'0:0:2.5,6107,
'0:0:2.55,6114,
'0:0:2.6,6123,
'0:0:2.65,6134,
'0:0:2.7,6142,
'0:0:2.75,6146,
'0:0:2.8,6153,
'0:0:2.85,6166,
'0:0:2.9,6185,
'0:0:2.95,6202,
'0:0:3.0,6220,
'0:0:3.05,6235,
'0:0:3.1,6247,
'0:0:3.15,6259,
'0:0:3.2,6274,
'0:0:3.25,6290,
'0:0:3.3,6303,
'0:0:3.35,6317,
'0:0:3.4,6340,
'0:0:3.45,6366,
'0:0:3.5,6395,
'0:0:3.55,6422,
'0:0:3.6,6452,
'0:0:3.65,6473,
'0:0:3.7,6493,
'0:0:3.75,6511,
'0:0:3.8,6527,
'0:0:3.85,6536,
'0:0:3.9,6536,
'0:0:3.95,6534,
'0:0:4.0,6529,
'0:0:4.05,6520,
'0:0:4.1,6509,
'0:0:4.15,6493,
'0:0:4.2,6467,
'0:0:4.25,6442,
'0:0:4.3,6422,
'0:0:4.35,6404,
'0:0:4.4,6379,
'0:0:4.45,6355,
'0:0:4.5,6336,
'0:0:4.55,6322,
'0:0:4.6,6301,
'0:0:4.65,6281,
'0:0:4.7,6264,
'0:0:4.75,6242,
'0:0:4.8,6220,
'0:0:4.85,6205,
'0:0:4.9,6184,
'0:0:4.95,6164,
'0:0:5.0,6149,
'0:0:5.05,6140,
'0:0:5.1,6130,
'0:0:5.15,6121,
'0:0:5.2,6110,
'0:0:5.25,6099,
'0:0:5.3,6084,
'0:0:5.35,6071,
'0:0:5.4,6060,
'0:0:5.45,6050,
'0:0:5.5,6042,
'0:0:5.55,6037,
'0:0:5.6,6033,
'0:0:5.65,6031,
'0:0:5.7,6029,
'0:0:5.75,6027,
'0:0:5.8,6026,
'0:0:5.85,6023,
'0:0:5.9,6024,
'0:0:5.95,6030,
'0:0:6.0,6035,
'0:0:6.05,6037,
'0:0:6.1,6041,
'0:0:6.15,6046,
'0:0:6.2,6055,
'0:0:6.25,6066,
'0:0:6.3,6080,
'0:0:6.35,6093,
'0:0:6.4,6105,
'0:0:6.45,6115,
'0:0:6.5,6128,
'0:0:6.55,6137,
'0:0:6.6,6144,
'0:0:6.65,6151,
'0:0:6.7,6161,
'0:0:6.75,6177,
'0:0:6.8,6198,
'0:0:6.85,6216,
'0:0:6.9,6234,
'0:0:6.95,6247,
'0:0:7.0,6248,
'0:0:7.05,6245,
'0:0:7.1,6250,
'0:0:7.15,6256,
'0:0:7.2,6263,
'0:0:7.25,6277,
'0:0:7.3,6301,
'0:0:7.35,6326,
'0:0:7.4,6355,
'0:0:7.45,6386,
'0:0:7.5,6425,
'0:0:7.55,6447,
'0:0:7.6,6451,
'0:0:7.65,6442,
'0:0:7.7,6425,
'0:0:7.75,6410,
'0:0:7.8,6394,
'0:0:7.85,6382,
'0:0:7.9,6375,
'0:0:7.95,6370,
'0:0:8.0,6361,
'0:0:8.05,6353,
'0:0:8.1,6338,
'0:0:8.15,6315,
'0:0:8.2,6293,
'0:0:8.25,6277,
'0:0:8.3,6256,
'0:0:8.35,6233,
'0:0:8.4,6213,
'0:0:8.45,6199,
'0:0:8.5,6184,
'0:0:8.55,6171,
'0:0:8.6,6162,
'0:0:8.65,6153,
'0:0:8.7,6136,
'0:0:8.75,6120,
'0:0:8.8,6109,
'0:0:8.85,6098,
'0:0:8.9,6084,
'0:0:8.95,6073,
'0:0:9.0,6064,
'0:0:9.05,6058,
'0:0:9.1,6051,
'0:0:9.15,6044,
'0:0:9.2,6035,
'0:0:9.25,6024,
'0:0:9.3,6013,
'0:0:9.35,6009,
'0:0:9.4,6005,
'0:0:9.45,6000,
'0:0:9.5,5995,
'0:0:9.55,5993,
'0:0:9.6,5991,
'0:0:9.65,5991,
'0:0:9.7,5991,
'0:0:9.75,5989,
