,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,5732,
'0:0:0.05,5732,
'0:0:0.1,5732,
'0:0:0.15,5732,
'0:0:0.2,5732,
'0:0:0.25,5732,
'0:0:0.3,5734,
'0:0:0.35,5737,
'0:0:0.4,5739,
'0:0:0.45,5738,
'0:0:0.5,5736,
'0:0:0.55,5736,
'0:0:0.6,5737,
'0:0:0.65,5738,
'0:0:0.7,5740,
'0:0:0.75,5745,
'0:0:0.8,5753,
'0:0:0.85,5767,
'0:0:0.9,5781,
'0:0:0.95,5796,
'0:0:1.0,5809,
'0:0:1.05,5829,
'0:0:1.1,5852,
'0:0:1.15,5878,
'0:0:1.2,5901,
'0:0:1.25,5928,
'0:0:1.3,5948,
'0:0:1.35,5967,
'0:0:1.4,5987,
'0:0:1.45,6007,
'0:0:1.5,6025,
'0:0:1.55,6047,
'0:0:1.6,6074,
'0:0:1.65,6108,
'0:0:1.7,6138,
'0:0:1.75,6174,
'0:0:1.8,6204,
'0:0:1.85,6233,
'0:0:1.9,6258,
'0:0:1.95,6283,
'0:0:2.0,6296,
'0:0:2.05,6294,
'0:0:2.1,6286,
'0:0:2.15,6279,
'0:0:2.2,6267,
'0:0:2.25,6246,
'0:0:2.3,6224,
'0:0:2.35,6191,
'0:0:2.4,6157,
'0:0:2.45,6126,
'0:0:2.5,6098,
'0:0:2.55,6070,
'0:0:2.6,6048,
'0:0:2.65,6031,
'0:0:2.7,6016,
'0:0:2.75,5996,
'0:0:2.8,5981,
'0:0:2.85,5962,
'0:0:2.9,5941,
'0:0:2.95,5921,
'0:0:3.0,5907,
'0:0:3.05,5893,
'0:0:3.1,5882,
'0:0:3.15,5871,
'0:0:3.2,5863,
'0:0:3.25,5852,
'0:0:3.3,5840,
'0:0:3.35,5826,
'0:0:3.4,5812,
'0:0:3.45,5798,
'0:0:3.5,5787,
'0:0:3.55,5776,
'0:0:3.6,5766,
'0:0:3.65,5757,
'0:0:3.7,5751,
'0:0:3.75,5747,
'0:0:3.8,5741,
'0:0:3.85,5735,
'0:0:3.9,5728,
'0:0:3.95,5721,
'0:0:4.0,5716,
'0:0:4.05,5714,
'0:0:4.1,5713,
'0:0:4.15,5715,
'0:0:4.2,5719,
'0:0:4.25,5729,
'0:0:4.3,5743,
'0:0:4.35,5760,
'0:0:4.4,5775,
'0:0:4.45,5786,
'0:0:4.5,5794,
'0:0:4.55,5807,
'0:0:4.6,5820,
'0:0:4.65,5833,
'0:0:4.7,5845,
'0:0:4.75,5860,
'0:0:4.8,5876,
'0:0:4.85,5895,
'0:0:4.9,5912,
'0:0:4.95,5931,
'0:0:5.0,5946,
'0:0:5.05,5958,
'0:0:5.1,5969,
'0:0:5.15,5982,
'0:0:5.2,5994,
'0:0:5.25,6005,
'0:0:5.3,6018,
'0:0:5.35,6037,
'0:0:5.4,6057,
'0:0:5.45,6078,
'0:0:5.5,6095,
'0:0:5.55,6106,
'0:0:5.6,6101,
'0:0:5.65,6089,
'0:0:5.7,6078,
'0:0:5.75,6064,
'0:0:5.8,6051,
'0:0:5.85,6039,
'0:0:5.9,6035,
'0:0:5.95,6034,
'0:0:6.0,6029,
'0:0:6.05,6022,
'0:0:6.1,6010,
'0:0:6.15,5984,
'0:0:6.2,5960,
'0:0:6.25,5941,
'0:0:6.3,5923,
'0:0:6.35,5904,
'0:0:6.4,5891,
'0:0:6.45,5882,
'0:0:6.5,5877,
'0:0:6.55,5868,
'0:0:6.6,5859,
'0:0:6.65,5845,
'0:0:6.7,5831,
'0:0:6.75,5817,
'0:0:6.8,5807,
'0:0:6.85,5795,
'0:0:6.9,5783,
'0:0:6.95,5771,
'0:0:7.0,5762,
'0:0:7.05,5756,
'0:0:7.1,5750,
'0:0:7.15,5743,
'0:0:7.2,5737,
'0:0:7.25,5730,
'0:0:7.3,5727,
'0:0:7.35,5726,
'0:0:7.4,5726,
'0:0:7.45,5726,
'0:0:7.5,5726,
'0:0:7.55,5728,
'0:0:7.6,5732,
'0:0:7.65,5735,
'0:0:7.7,5734,
'0:0:7.75,5731,
'0:0:7.8,5730,
'0:0:7.85,5731,
'0:0:7.9,5734,
'0:0:7.95,5740,
'0:0:8.0,5748,
'0:0:8.05,5759,
'0:0:8.1,5771,
'0:0:8.15,5786,
'0:0:8.2,5800,
'0:0:8.25,5816,
'0:0:8.3,5831,
'0:0:8.35,5846,
'0:0:8.4,5858,
'0:0:8.45,5873,
'0:0:8.5,5886,
'0:0:8.55,5900,
'0:0:8.6,5914,
'0:0:8.65,5931,
'0:0:8.7,5949,
'0:0:8.75,5966,
'0:0:8.8,5983,
'0:0:8.85,5997,
'0:0:8.9,6004,
'0:0:8.95,6006,
'0:0:9.0,6001,
'0:0:9.05,5988,
'0:0:9.1,5976,
'0:0:9.15,5966,
'0:0:9.2,5959,
'0:0:9.25,5952,
'0:0:9.3,5944,
'0:0:9.35,5936,
'0:0:9.4,5924,
'0:0:9.45,5908,
'0:0:9.5,5896,
'0:0:9.55,5885,
'0:0:9.6,5871,
'0:0:9.65,5855,
'0:0:9.7,5843,
'0:0:9.75,5833,
