,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,1754
'0:0:0.05,1734
'0:0:0.1,1716
'0:0:0.15,1708
'0:0:0.2,1720
'0:0:0.25,1746
'0:0:0.3,1760
'0:0:0.35,1753
'0:0:0.4,1737
'0:0:0.45,1721
'0:0:0.5,1711
'0:0:0.55,1712
'0:0:0.6,1719
'0:0:0.65,1719
'0:0:0.7,1710
'0:0:0.75,1693
'0:0:0.8,1682
'0:0:0.85,1680
'0:0:0.9,1678
'0:0:0.95,1675
'0:0:1.0,1662
'0:0:1.05,1641
'0:0:1.1,1630
'0:0:1.15,1629
'0:0:1.2,1642
'0:0:1.25,1665
'0:0:1.3,1687
'0:0:1.35,1709
'0:0:1.4,1736
'0:0:1.45,1777
'0:0:1.5,1825
'0:0:1.55,1857
'0:0:1.6,1845
'0:0:1.65,1848
'0:0:1.7,1883
'0:0:1.75,1922
'0:0:1.8,1949
'0:0:1.85,1965
'0:0:1.9,1969
'0:0:1.95,1969
'0:0:2.0,1965
'0:0:2.05,1958
'0:0:2.1,1954
'0:0:2.15,1947
'0:0:2.2,1934
'0:0:2.25,1924
'0:0:2.3,1915
'0:0:2.35,1896
'0:0:2.4,1875
'0:0:2.45,1852
'0:0:2.5,1835
'0:0:2.55,1826
'0:0:2.6,1815
'0:0:2.65,1784
'0:0:2.7,1754
'0:0:2.75,1743
'0:0:2.8,1751
'0:0:2.85,1770
'0:0:2.9,1770
'0:0:2.95,1744
'0:0:3.0,1719
'0:0:3.05,1712
'0:0:3.1,1718
'0:0:3.15,1722
'0:0:3.2,1719
'0:0:3.25,1712
'0:0:3.3,1704
'0:0:3.35,1687
'0:0:3.4,1668
'0:0:3.45,1650
'0:0:3.5,1637
'0:0:3.55,1623
'0:0:3.6,1611
'0:0:3.65,1601
'0:0:3.7,1598
'0:0:3.75,1614
'0:0:3.8,1637
'0:0:3.85,1607
'0:0:3.9,1604
'0:0:3.95,1672
'0:0:4.0,1729
'0:0:4.05,1764
'0:0:4.1,1782
'0:0:4.15,1821
'0:0:4.2,1874
'0:0:4.25,1937
'0:0:4.3,1978
'0:0:4.35,1997
'0:0:4.4,1999
'0:0:4.45,1984
'0:0:4.5,1960
'0:0:4.55,1929
'0:0:4.6,1896
'0:0:4.65,1862
'0:0:4.7,1835
'0:0:4.75,1807
'0:0:4.8,1793
'0:0:4.85,1799
'0:0:4.9,1815
'0:0:4.95,1857
'0:0:5.0,1915
'0:0:5.05,1968
'0:0:5.1,1984
'0:0:5.15,1946
'0:0:5.2,1880
'0:0:5.25,1817
'0:0:5.3,1783
'0:0:5.35,1762
'0:0:5.4,1747
'0:0:5.45,1737
'0:0:5.5,1735
'0:0:5.55,1733
'0:0:5.6,1730
'0:0:5.65,1727
'0:0:5.7,1725
'0:0:5.75,1723
'0:0:5.8,1724
'0:0:5.85,1734
'0:0:5.9,1733
'0:0:5.95,1714
'0:0:6.0,1724
'0:0:6.05,1771
'0:0:6.1,1820
'0:0:6.15,1866
'0:0:6.2,1914
'0:0:6.25,1977
'0:0:6.3,2024
'0:0:6.35,2054
'0:0:6.4,2074
'0:0:6.45,2095
'0:0:6.5,2110
'0:0:6.55,2119
'0:0:6.6,2117
'0:0:6.65,2100
'0:0:6.7,2077
'0:0:6.75,2050
'0:0:6.8,2019
'0:0:6.85,1972
'0:0:6.9,1928
'0:0:6.95,1880
'0:0:7.0,1844
'0:0:7.05,1835
'0:0:7.1,1848
'0:0:7.15,1893
'0:0:7.2,1937
'0:0:7.25,1942
'0:0:7.3,1912
'0:0:7.35,1884
'0:0:7.4,1883
'0:0:7.45,1882
'0:0:7.5,1863
'0:0:7.55,1839
'0:0:7.6,1826
'0:0:7.65,1814
'0:0:7.7,1798
'0:0:7.75,1776
'0:0:7.8,1761
'0:0:7.85,1743
'0:0:7.9,1719
'0:0:7.95,1698
'0:0:8.0,1686
'0:0:8.05,1674
'0:0:8.1,1661
'0:0:8.15,1659
'0:0:8.2,1652
'0:0:8.25,1629
'0:0:8.3,1628
'0:0:8.35,1629
'0:0:8.4,1614
'0:0:8.45,1601
'0:0:8.5,1610
'0:0:8.55,1643
'0:0:8.6,1667
'0:0:8.65,1687
'0:0:8.7,1707
'0:0:8.75,1726
'0:0:8.8,1745
'0:0:8.85,1773
'0:0:8.9,1806
'0:0:8.95,1851
'0:0:9.0,1898
'0:0:9.05,1947
'0:0:9.1,1988
'0:0:9.15,2024
'0:0:9.2,2048
'0:0:9.25,2056
'0:0:9.3,2058
'0:0:9.35,2055
'0:0:9.4,2081
'0:0:9.45,2158
'0:0:9.5,2212
'0:0:9.55,2237
'0:0:9.6,2231
'0:0:9.65,2193
'0:0:9.7,2150
'0:0:9.75,2113
'0:0:9.8,2086
'0:0:9.85,2057
'0:0:9.9,2033
'0:0:9.95,2017
'0:0:10.0,2011
'0:0:10.05,2013
'0:0:10.1,2013
'0:0:10.15,2007
'0:0:10.2,1996
'0:0:10.25,1980
'0:0:10.3,1961
'0:0:10.35,1939
'0:0:10.4,1921
'0:0:10.45,1856
'0:0:10.5,1780
'0:0:10.55,1751
'0:0:10.6,1757
'0:0:10.65,1768
'0:0:10.7,1767
'0:0:10.75,1755
'0:0:10.8,1746
'0:0:10.85,1752
'0:0:10.9,1759
'0:0:10.95,1758
'0:0:11.0,1760
'0:0:11.05,1764
'0:0:11.1,1757
'0:0:11.15,1738
'0:0:11.2,1716
'0:0:11.25,1694
'0:0:11.3,1674
'0:0:11.35,1656
'0:0:11.4,1647
'0:0:11.45,1645
'0:0:11.5,1649
'0:0:11.55,1660
'0:0:11.6,1673
'0:0:11.65,1684
'0:0:11.7,1696
'0:0:11.75,1692
'0:0:11.8,1693
'0:0:11.85,1755
'0:0:11.9,1832
'0:0:11.95,1891
'0:0:12.0,1921
'0:0:12.05,1973
'0:0:12.1,2084
'0:0:12.15,2196
'0:0:12.2,2246
'0:0:12.25,2269
'0:0:12.3,2276
'0:0:12.35,2292
'0:0:12.4,2314
'0:0:12.45,2342
'0:0:12.5,2368
'0:0:12.55,2392
'0:0:12.6,2396
'0:0:12.65,2377
'0:0:12.7,2335
'0:0:12.75,2269
'0:0:12.8,2202
'0:0:12.85,2136
'0:0:12.9,2090
'0:0:12.95,2051
'0:0:13.0,2019
'0:0:13.05,1960
'0:0:13.1,1913
'0:0:13.15,1906
'0:0:13.2,1902
'0:0:13.25,1876
'0:0:13.3,1855
'0:0:13.35,1849
'0:0:13.4,1839
'0:0:13.45,1821
'0:0:13.5,1804
'0:0:13.55,1796
'0:0:13.6,1798
'0:0:13.65,1795
'0:0:13.7,1789
'0:0:13.75,1776
'0:0:13.8,1757
'0:0:13.85,1732
'0:0:13.9,1710
'0:0:13.95,1690
'0:0:14.0,1675
'0:0:14.05,1662
'0:0:14.1,1647
'0:0:14.15,1632
'0:0:14.2,1630
'0:0:14.25,1621
'0:0:14.3,1622
'0:0:14.35,1645
'0:0:14.4,1671
'0:0:14.45,1703
'0:0:14.5,1722
'0:0:14.55,1733
'0:0:14.6,1749
'0:0:14.65,1785
'0:0:14.7,1827
'0:0:14.75,1860
'0:0:14.8,1884
'0:0:14.85,1908
'0:0:14.9,1926
'0:0:14.95,1948
'0:0:15.0,1972
'0:0:15.05,1996
'0:0:15.1,2007
'0:0:15.15,2005
'0:0:15.2,1981
'0:0:15.25,1935
'0:0:15.3,1892
'0:0:15.35,1853
'0:0:15.4,1829
'0:0:15.45,1763
'0:0:15.5,1699
'0:0:15.55,1709
'0:0:15.6,1742
'0:0:15.65,1749
'0:0:15.7,1737
'0:0:15.75,1716
'0:0:15.8,1690
'0:0:15.85,1674
'0:0:15.9,1673
'0:0:15.95,1675
'0:0:16.0,1674
'0:0:16.05,1672
'0:0:16.1,1672
'0:0:16.15,1673
'0:0:16.2,1678
'0:0:16.25,1680
'0:0:16.3,1672
'0:0:16.35,1661
'0:0:16.4,1650
'0:0:16.45,1635
'0:0:16.5,1620
'0:0:16.55,1604
'0:0:16.6,1595
'0:0:16.65,1615
'0:0:16.7,1671
'0:0:16.75,1758
'0:0:16.8,1835
'0:0:16.85,1888
'0:0:16.9,1899
'0:0:16.95,1892
'0:0:17.0,1891
'0:0:17.05,1905
'0:0:17.1,1931
'0:0:17.15,1961
'0:0:17.2,1988
'0:0:17.25,2018
'0:0:17.3,2046
'0:0:17.35,2073
'0:0:17.4,2092
'0:0:17.45,2110
'0:0:17.5,2125
'0:0:17.55,2138
'0:0:17.6,2139
'0:0:17.65,2128
'0:0:17.7,2116
'0:0:17.75,2105
'0:0:17.8,2093
'0:0:17.85,2077
'0:0:17.9,2025
'0:0:17.95,1944
'0:0:18.0,1923
'0:0:18.05,1941
'0:0:18.1,1927
'0:0:18.15,1883
'0:0:18.2,1861
'0:0:18.25,1847
'0:0:18.3,1830
'0:0:18.35,1813
'0:0:18.4,1800
'0:0:18.45,1790
'0:0:18.5,1785
'0:0:18.55,1780
'0:0:18.6,1778
'0:0:18.65,1775
'0:0:18.7,1768
'0:0:18.75,1755
'0:0:18.8,1739
'0:0:18.85,1714
'0:0:18.9,1689
'0:0:18.95,1673
'0:0:19.0,1662
'0:0:19.05,1651
'0:0:19.1,1629
'0:0:19.15,1582
'0:0:19.2,1566
