,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,1454
'0:0:0.05,1435
'0:0:0.1,1433
'0:0:0.15,1438
'0:0:0.2,1424
'0:0:0.25,1407
'0:0:0.3,1398
'0:0:0.35,1388
'0:0:0.4,1377
'0:0:0.45,1372
'0:0:0.5,1375
'0:0:0.55,1381
'0:0:0.6,1382
'0:0:0.65,1385
'0:0:0.7,1391
'0:0:0.75,1401
'0:0:0.8,1405
'0:0:0.85,1405
'0:0:0.9,1410
'0:0:0.95,1419
'0:0:1.0,1429
'0:0:1.05,1440
'0:0:1.1,1454
'0:0:1.15,1471
'0:0:1.2,1485
'0:0:1.25,1498
'0:0:1.3,1509
'0:0:1.35,1516
'0:0:1.4,1520
'0:0:1.45,1526
'0:0:1.5,1536
'0:0:1.55,1549
'0:0:1.6,1563
'0:0:1.65,1579
'0:0:1.7,1596
'0:0:1.75,1620
'0:0:1.8,1644
'0:0:1.85,1668
'0:0:1.9,1693
'0:0:1.95,1722
'0:0:2.0,1748
'0:0:2.05,1776
'0:0:2.1,1795
'0:0:2.15,1808
'0:0:2.2,1816
'0:0:2.25,1829
'0:0:2.3,1846
'0:0:2.35,1866
'0:0:2.4,1880
'0:0:2.45,1893
'0:0:2.5,1907
'0:0:2.55,1924
'0:0:2.6,1934
'0:0:2.65,1946
'0:0:2.7,1962
'0:0:2.75,1970
'0:0:2.8,1970
'0:0:2.85,1965
'0:0:2.9,1960
'0:0:2.95,1958
'0:0:3.0,1950
'0:0:3.05,1934
'0:0:3.1,1918
'0:0:3.15,1899
'0:0:3.2,1881
'0:0:3.25,1863
'0:0:3.3,1854
'0:0:3.35,1846
'0:0:3.4,1831
'0:0:3.45,1813
'0:0:3.5,1789
'0:0:3.55,1757
'0:0:3.6,1731
'0:0:3.65,1712
'0:0:3.7,1697
'0:0:3.75,1685
'0:0:3.8,1678
'0:0:3.85,1663
'0:0:3.9,1644
'0:0:3.95,1619
'0:0:4.0,1595
'0:0:4.05,1566
'0:0:4.1,1538
'0:0:4.15,1516
'0:0:4.2,1500
'0:0:4.25,1484
'0:0:4.3,1471
'0:0:4.35,1459
'0:0:4.4,1449
'0:0:4.45,1439
'0:0:4.5,1431
'0:0:4.55,1434
'0:0:4.6,1437
'0:0:4.65,1430
'0:0:4.7,1424
'0:0:4.75,1415
'0:0:4.8,1403
'0:0:4.85,1395
'0:0:4.9,1390
'0:0:4.95,1388
'0:0:5.0,1384
'0:0:5.05,1380
'0:0:5.1,1377
'0:0:5.15,1376
'0:0:5.2,1379
'0:0:5.25,1383
'0:0:5.3,1383
'0:0:5.35,1381
'0:0:5.4,1382
'0:0:5.45,1385
'0:0:5.5,1383
'0:0:5.55,1377
'0:0:5.6,1374
'0:0:5.65,1367
'0:0:5.7,1358
'0:0:5.75,1351
'0:0:5.8,1345
'0:0:5.85,1339
'0:0:5.9,1335
'0:0:5.95,1333
'0:0:6.0,1332
'0:0:6.05,1334
'0:0:6.1,1336
'0:0:6.15,1340
'0:0:6.2,1341
'0:0:6.25,1338
'0:0:6.3,1334
'0:0:6.35,1328
'0:0:6.4,1324
'0:0:6.45,1321
'0:0:6.5,1320
'0:0:6.55,1320
'0:0:6.6,1319
'0:0:6.65,1319
'0:0:6.7,1320
'0:0:6.75,1322
'0:0:6.8,1325
'0:0:6.85,1328
'0:0:6.9,1331
'0:0:6.95,1330
'0:0:7.0,1326
'0:0:7.05,1319
'0:0:7.1,1316
'0:0:7.15,1317
'0:0:7.2,1316
'0:0:7.25,1317
'0:0:7.3,1319
'0:0:7.35,1322
'0:0:7.4,1324
'0:0:7.45,1324
'0:0:7.5,1328
'0:0:7.55,1334
'0:0:7.6,1339
'0:0:7.65,1342
'0:0:7.7,1341
'0:0:7.75,1339
'0:0:7.8,1339
'0:0:7.85,1342
'0:0:7.9,1345
'0:0:7.95,1347
'0:0:8.0,1352
'0:0:8.05,1361
'0:0:8.1,1368
'0:0:8.15,1377
'0:0:8.2,1385
'0:0:8.25,1390
'0:0:8.3,1396
'0:0:8.35,1407
'0:0:8.4,1419
'0:0:8.45,1432
'0:0:8.5,1446
'0:0:8.55,1465
'0:0:8.6,1481
'0:0:8.65,1497
'0:0:8.7,1511
'0:0:8.75,1528
'0:0:8.8,1545
'0:0:8.85,1569
'0:0:8.9,1592
'0:0:8.95,1622
'0:0:9.0,1650
'0:0:9.05,1673
'0:0:9.1,1689
'0:0:9.15,1704
'0:0:9.2,1722
'0:0:9.25,1748
'0:0:9.3,1774
'0:0:9.35,1802
'0:0:9.4,1826
'0:0:9.45,1851
'0:0:9.5,1876
'0:0:9.55,1902
'0:0:9.6,1930
'0:0:9.65,1968
'0:0:9.7,2002
'0:0:9.75,2030
'0:0:9.8,2046
'0:0:9.85,2060
'0:0:9.9,2073
'0:0:9.95,2085
'0:0:10.0,2096
'0:0:10.05,2105
'0:0:10.1,2110
'0:0:10.15,2112
'0:0:10.2,2107
'0:0:10.25,2105
'0:0:10.3,2108
'0:0:10.35,2096
'0:0:10.4,2067
'0:0:10.45,2027
'0:0:10.5,1993
'0:0:10.55,1963
'0:0:10.6,1941
'0:0:10.65,1919
'0:0:10.7,1898
'0:0:10.75,1873
'0:0:10.8,1854
'0:0:10.85,1844
'0:0:10.9,1837
'0:0:10.95,1829
'0:0:11.0,1812
'0:0:11.05,1779
'0:0:11.1,1748
'0:0:11.15,1715
'0:0:11.2,1690
'0:0:11.25,1671
'0:0:11.3,1658
'0:0:11.35,1641
'0:0:11.4,1623
'0:0:11.45,1603
'0:0:11.5,1587
'0:0:11.55,1573
'0:0:11.6,1567
'0:0:11.65,1565
'0:0:11.7,1557
'0:0:11.75,1542
'0:0:11.8,1529
'0:0:11.85,1513
'0:0:11.9,1497
'0:0:11.95,1484
'0:0:12.0,1475
'0:0:12.05,1464
'0:0:12.1,1453
'0:0:12.15,1441
'0:0:12.2,1431
'0:0:12.25,1425
'0:0:12.3,1425
'0:0:12.35,1428
'0:0:12.4,1429
'0:0:12.45,1420
'0:0:12.5,1409
'0:0:12.55,1401
'0:0:12.6,1400
'0:0:12.65,1398
'0:0:12.7,1393
'0:0:12.75,1386
'0:0:12.8,1379
'0:0:12.85,1372
'0:0:12.9,1370
'0:0:12.95,1371
'0:0:13.0,1371
'0:0:13.05,1376
'0:0:13.1,1379
'0:0:13.15,1371
'0:0:13.2,1364
'0:0:13.25,1356
'0:0:13.3,1348
'0:0:13.35,1343
'0:0:13.4,1340
'0:0:13.45,1338
'0:0:13.5,1338
'0:0:13.55,1338
'0:0:13.6,1338
'0:0:13.65,1338
'0:0:13.7,1342
'0:0:13.75,1348
'0:0:13.8,1355
'0:0:13.85,1357
'0:0:13.9,1351
'0:0:13.95,1345
'0:0:14.0,1341
'0:0:14.05,1338
'0:0:14.1,1338
'0:0:14.15,1338
'0:0:14.2,1338
'0:0:14.25,1337
'0:0:14.3,1335
'0:0:14.35,1335
'0:0:14.4,1337
'0:0:14.45,1340
'0:0:14.5,1347
'0:0:14.55,1356
'0:0:14.6,1360
'0:0:14.65,1362
'0:0:14.7,1363
'0:0:14.75,1366
'0:0:14.8,1371
'0:0:14.85,1379
'0:0:14.9,1386
'0:0:14.95,1393
'0:0:15.0,1402
'0:0:15.05,1412
'0:0:15.1,1421
'0:0:15.15,1433
'0:0:15.2,1447
'0:0:15.25,1465
'0:0:15.3,1479
'0:0:15.35,1487
'0:0:15.4,1493
'0:0:15.45,1500
'0:0:15.5,1510
'0:0:15.55,1525
'0:0:15.6,1539
'0:0:15.65,1549
'0:0:15.7,1558
'0:0:15.75,1567
'0:0:15.8,1577
'0:0:15.85,1591
'0:0:15.9,1606
'0:0:15.95,1626
'0:0:16.0,1642
'0:0:16.05,1657
'0:0:16.1,1668
'0:0:16.15,1680
'0:0:16.2,1695
'0:0:16.25,1712
'0:0:16.3,1728
'0:0:16.35,1745
'0:0:16.4,1759
'0:0:16.45,1774
'0:0:16.5,1790
'0:0:16.55,1808
'0:0:16.6,1825
'0:0:16.65,1847
'0:0:16.7,1865
'0:0:16.75,1879
'0:0:16.8,1889
'0:0:16.85,1902
'0:0:16.9,1916
'0:0:16.95,1932
'0:0:17.0,1948
'0:0:17.05,1961
'0:0:17.1,1970
'0:0:17.15,1978
'0:0:17.2,1986
'0:0:17.25,1993
'0:0:17.3,2003
'0:0:17.35,2019
'0:0:17.4,2028
'0:0:17.45,2032
'0:0:17.5,2030
'0:0:17.55,2028
'0:0:17.6,2028
'0:0:17.65,2022
'0:0:17.7,2013
'0:0:17.75,1999
'0:0:17.8,1983
'0:0:17.85,1962
'0:0:17.9,1942
'0:0:17.95,1919
'0:0:18.0,1901
'0:0:18.05,1883
'0:0:18.1,1861
'0:0:18.15,1832
'0:0:18.2,1804
'0:0:18.25,1777
'0:0:18.3,1756
'0:0:18.35,1734
'0:0:18.4,1715
'0:0:18.45,1694
'0:0:18.5,1674
'0:0:18.55,1651
'0:0:18.6,1631
'0:0:18.65,1611
'0:0:18.7,1595
'0:0:18.75,1580
'0:0:18.8,1562
'0:0:18.85,1542
'0:0:18.9,1527
'0:0:18.95,1511
'0:0:19.0,1498
'0:0:19.05,1482
'0:0:19.1,1465
'0:0:19.15,1449
'0:0:19.2,1436
