,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'-0:0:0.0,2317,
'0:0:0.05,2321,
'0:0:0.1,2341,
'0:0:0.15,2372,
'0:0:0.2,2403,
'0:0:0.25,2420,
'0:0:0.3,2420,
'0:0:0.35,2403,
'0:0:0.4,2350,
'0:0:0.45,2315,
'0:0:0.5,2341,
'0:0:0.55,2374,
'0:0:0.6,2401,
'0:0:0.65,2437,
'0:0:0.7,2475,
'0:0:0.75,2509,
'0:0:0.8,2547,
'0:0:0.85,2575,
'0:0:0.9,2630,
'0:0:0.95,2675,
'0:0:1.0,2667,
'0:0:1.05,2651,
'0:0:1.1,2670,
'0:0:1.15,2697,
'0:0:1.2,2689,
'0:0:1.25,2661,
'0:0:1.3,2678,
'0:0:1.35,2754,
'0:0:1.4,2817,
'0:0:1.45,2821,
'0:0:1.5,2811,
'0:0:1.55,2825,
'0:0:1.6,2851,
'0:0:1.65,2914,
'0:0:1.7,3021,
'0:0:1.75,3072,
'0:0:1.8,3079,
'0:0:1.85,3098,
'0:0:1.9,3122,
'0:0:1.95,3099,
'0:0:2.0,3041,
'0:0:2.05,3038,
'0:0:2.1,3100,
'0:0:2.15,3134,
'0:0:2.2,3110,
'0:0:2.25,3085,
'0:0:2.3,3096,
'0:0:2.35,3106,
'0:0:2.4,3129,
'0:0:2.45,3201,
'0:0:2.5,3238,
'0:0:2.55,3198,
'0:0:2.6,3148,
'0:0:2.65,3075,
'0:0:2.7,2975,
'0:0:2.75,2889,
'0:0:2.8,2820,
'0:0:2.85,2832,
'0:0:2.9,2853,
'0:0:2.95,2783,
'0:0:3.0,2694,
'0:0:3.05,2661,
'0:0:3.1,2657,
'0:0:3.15,2669,
'0:0:3.2,2654,
'0:0:3.25,2622,
'0:0:3.3,2623,
'0:0:3.35,2658,
'0:0:3.4,2662,
'0:0:3.45,2620,
'0:0:3.5,2582,
'0:0:3.55,2564,
'0:0:3.6,2536,
'0:0:3.65,2494,
'0:0:3.7,2524,
'0:0:3.75,2584,
'0:0:3.8,2553,
'0:0:3.85,2509,
'0:0:3.9,2516,
'0:0:3.95,2536,
'0:0:4.0,2552,
'0:0:4.05,2526,
'0:0:4.1,2447,
'0:0:4.15,2423,
'0:0:4.2,2437,
'0:0:4.25,2399,
'0:0:4.3,2340,
'0:0:4.35,2320,
'0:0:4.4,2336,
'0:0:4.45,2383,
'0:0:4.5,2515,
'0:0:4.55,2583,
'0:0:4.6,2548,
'0:0:4.65,2533,
'0:0:4.7,2547,
'0:0:4.75,2580,
'0:0:4.8,2598,
'0:0:4.85,2578,
'0:0:4.9,2605,
'0:0:4.95,2669,
'0:0:5.0,2699,
'0:0:5.05,2706,
'0:0:5.1,2728,
'0:0:5.15,2753,
'0:0:5.2,2767,
'0:0:5.25,2757,
'0:0:5.3,2728,
'0:0:5.35,2750,
'0:0:5.4,2825,
'0:0:5.45,2863,
'0:0:5.5,2858,
'0:0:5.55,2847,
'0:0:5.6,2845,
'0:0:5.65,2840,
'0:0:5.7,2861,
'0:0:5.75,2908,
'0:0:5.8,2929,
'0:0:5.85,2910,
'0:0:5.9,2898,
'0:0:5.95,2910,
'0:0:6.0,2910,
'0:0:6.05,2860,
'0:0:6.1,2781,
'0:0:6.15,2769,
'0:0:6.2,2796,
'0:0:6.25,2786,
'0:0:6.3,2748,
'0:0:6.35,2720,
'0:0:6.4,2703,
'0:0:6.45,2699,
'0:0:6.5,2679,
'0:0:6.55,2605,
'0:0:6.6,2563,
'0:0:6.65,2589,
'0:0:6.7,2589,
'0:0:6.75,2545,
'0:0:6.8,2490,
'0:0:6.85,2471,
'0:0:6.9,2470,
'0:0:6.95,2451,
'0:0:7.0,2471,
'0:0:7.05,2554,
'0:0:7.1,2624,
'0:0:7.15,2650,
'0:0:7.2,2665,
'0:0:7.25,2675,
'0:0:7.3,2664,
'0:0:7.35,2633,
'0:0:7.4,2611,
'0:0:7.45,2626,
'0:0:7.5,2642,
'0:0:7.55,2613,
'0:0:7.6,2573,
'0:0:7.65,2566,
'0:0:7.7,2562,
'0:0:7.75,2511,
'0:0:7.8,2474,
'0:0:7.85,2480,
'0:0:7.9,2467,
'0:0:7.95,2453,
'0:0:8.0,2447,
'0:0:8.05,2445,
'0:0:8.1,2437,
'0:0:8.15,2412,
'0:0:8.2,2410,
'0:0:8.25,2456,
'0:0:8.3,2464,
'0:0:8.35,2404,
'0:0:8.4,2356,
'0:0:8.45,2368,
'0:0:8.5,2398,
'0:0:8.55,2393,
'0:0:8.6,2440,
'0:0:8.65,2534,
'0:0:8.7,2561,
'0:0:8.75,2542,
'0:0:8.8,2550,
'0:0:8.85,2593,
'0:0:8.9,2616,
'0:0:8.95,2585,
'0:0:9.0,2598,
'0:0:9.05,2680,
'0:0:9.1,2725,
'0:0:9.15,2706,
'0:0:9.2,2690,
'0:0:9.25,2694,
'0:0:9.3,2692,
'0:0:9.35,2688,
'0:0:9.4,2789,
'0:0:9.45,2895,
'0:0:9.5,2862,
'0:0:9.55,2815,
'0:0:9.6,2836,
'0:0:9.65,2880,
'0:0:9.7,2900,
'0:0:9.75,2855,
