,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1)
Range:,Wave
Units:,Arb
Time
'-0:0:0.0,403
'0:0:0.05,370
'0:0:0.1,357
'0:0:0.15,349
'0:0:0.2,357
'0:0:0.25,362
'0:0:0.3,354
'0:0:0.35,340
'0:0:0.4,345
'0:0:0.45,352
'0:0:0.5,352
'0:0:0.55,347
'0:0:0.6,345
'0:0:0.65,350
'0:0:0.7,382
'0:0:0.75,403
'0:0:0.8,386
'0:0:0.85,364
'0:0:0.9,352
'0:0:0.95,354
'0:0:1.0,361
'0:0:1.05,364
'0:0:1.1,355
'0:0:1.15,349
'0:0:1.2,353
'0:0:1.25,355
'0:0:1.3,346
'0:0:1.35,346
'0:0:1.4,378
'0:0:1.45,400
'0:0:1.5,386
'0:0:1.55,362
'0:0:1.6,345
'0:0:1.65,353
'0:0:1.7,368
'0:0:1.75,365
'0:0:1.8,354
'0:0:1.85,350
'0:0:1.9,346
'0:0:1.95,348
'0:0:2.0,353
'0:0:2.05,354
'0:0:2.1,375
'0:0:2.15,399
'0:0:2.2,391
'0:0:2.25,372
'0:0:2.3,354
'0:0:2.35,357
'0:0:2.4,364
'0:0:2.45,363
'0:0:2.5,356
'0:0:2.55,348
'0:0:2.6,353
'0:0:2.65,354
'0:0:2.7,353
'0:0:2.75,352
'0:0:2.8,351
'0:0:2.85,370
'0:0:2.9,402
'0:0:2.95,395
'0:0:3.0,376
'0:0:3.05,364
'0:0:3.1,359
'0:0:3.15,356
'0:0:3.2,360
'0:0:3.25,352
'0:0:3.3,353
'0:0:3.35,350
'0:0:3.4,350
'0:0:3.45,350
'0:0:3.5,351
'0:0:3.55,350
'0:0:3.6,353
'0:0:3.65,386
'0:0:3.7,403
'0:0:3.75,387
'0:0:3.8,364
'0:0:3.85,360
'0:0:3.9,360
'0:0:3.95,361
'0:0:4.0,358
'0:0:4.05,353
'0:0:4.1,344
'0:0:4.15,346
'0:0:4.2,349
'0:0:4.25,351
'0:0:4.3,352
'0:0:4.35,350
'0:0:4.4,349
'0:0:4.45,366
'0:0:4.5,395
'0:0:4.55,396
'0:0:4.6,376
'0:0:4.65,362
'0:0:4.7,358
'0:0:4.75,355
'0:0:4.8,360
'0:0:4.85,356
'0:0:4.9,350
