,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1)
Range:,Wave
Units:,Arb
Time
'-0:0:0.0,368
'0:0:0.05,347
'0:0:0.1,350
'0:0:0.15,355
'0:0:0.2,351
'0:0:0.25,364
'0:0:0.3,377
'0:0:0.35,358
'0:0:0.4,355
'0:0:0.45,357
'0:0:0.5,355
'0:0:0.55,324
'0:0:0.6,319
'0:0:0.65,368
'0:0:0.7,387
'0:0:0.75,367
'0:0:0.8,351
'0:0:0.85,354
'0:0:0.9,357
'0:0:0.95,346
'0:0:1.0,342
'0:0:1.05,342
'0:0:1.1,343
'0:0:1.15,343
'0:0:1.2,368
'0:0:1.25,392
'0:0:1.3,386
'0:0:1.35,365
'0:0:1.4,340
'0:0:1.45,352
'0:0:1.5,362
'0:0:1.55,358
'0:0:1.6,363
'0:0:1.65,375
'0:0:1.7,403
'0:0:1.75,399
'0:0:1.8,354
'0:0:1.85,366
'0:0:1.9,381
'0:0:1.95,372
'0:0:2.0,358
'0:0:2.05,342
'0:0:2.1,345
'0:0:2.15,345
'0:0:2.2,349
'0:0:2.25,369
'0:0:2.3,381
'0:0:2.35,348
'0:0:2.4,325
'0:0:2.45,378
'0:0:2.5,401
'0:0:2.55,392
'0:0:2.6,400
'0:0:2.65,398
'0:0:2.7,376
'0:0:2.75,369
'0:0:2.8,375
'0:0:2.85,368
'0:0:2.9,350
'0:0:2.95,332
'0:0:3.0,319
'0:0:3.05,302
'0:0:3.1,300
'0:0:3.15,310
'0:0:3.2,316
'0:0:3.25,330
'0:0:3.3,363
'0:0:3.35,382
'0:0:3.4,380
'0:0:3.45,391
'0:0:3.5,377
'0:0:3.55,370
'0:0:3.6,334
'0:0:3.65,318
'0:0:3.7,338
'0:0:3.75,376
'0:0:3.8,389
'0:0:3.85,390
'0:0:3.9,366
'0:0:3.95,355
'0:0:4.0,375
'0:0:4.05,378
'0:0:4.1,345
'0:0:4.15,318
'0:0:4.2,321
'0:0:4.25,338
'0:0:4.3,356
'0:0:4.35,386
'0:0:4.4,404
'0:0:4.45,390
'0:0:4.5,380
'0:0:4.55,388
'0:0:4.6,382
'0:0:4.65,370
'0:0:4.7,378
'0:0:4.75,393
'0:0:4.8,386
'0:0:4.85,376
'0:0:4.9,376
