,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1)
Range:,Wave
Units:,Arb
Time
'-0:0:0.0,454
'0:0:0.05,335
'0:0:0.1,275
'0:0:0.15,260
'0:0:0.2,268
'0:0:0.25,275
'0:0:0.3,287
'0:0:0.35,301
'0:0:0.4,310
'0:0:0.45,304
'0:0:0.5,317
'0:0:0.55,377
'0:0:0.6,410
'0:0:0.65,393
'0:0:0.7,364
'0:0:0.75,348
'0:0:0.8,344
'0:0:0.85,352
'0:0:0.9,364
'0:0:0.95,362
'0:0:1.0,351
'0:0:1.05,341
'0:0:1.1,332
'0:0:1.15,341
'0:0:1.2,401
'0:0:1.25,425
'0:0:1.3,402
'0:0:1.35,368
'0:0:1.4,349
'0:0:1.45,367
'0:0:1.5,375
'0:0:1.55,328
'0:0:1.6,326
'0:0:1.65,332
'0:0:1.7,336
'0:0:1.75,339
'0:0:1.8,367
'0:0:1.85,425
'0:0:1.9,425
'0:0:1.95,386
'0:0:2.0,355
'0:0:2.05,339
'0:0:2.1,340
'0:0:2.15,345
'0:0:2.2,340
'0:0:2.25,334
'0:0:2.3,339
'0:0:2.35,338
'0:0:2.4,346
'0:0:2.45,405
'0:0:2.5,425
'0:0:2.55,394
'0:0:2.6,361
'0:0:2.65,339
'0:0:2.7,333
'0:0:2.75,349
'0:0:2.8,349
'0:0:2.85,348
'0:0:2.9,342
'0:0:2.95,338
'0:0:3.0,341
'0:0:3.05,399
'0:0:3.1,426
'0:0:3.15,398
'0:0:3.2,362
'0:0:3.25,341
'0:0:3.3,339
'0:0:3.35,349
'0:0:3.4,352
'0:0:3.45,348
'0:0:3.5,342
'0:0:3.55,336
'0:0:3.6,344
'0:0:3.65,400
'0:0:3.7,419
'0:0:3.75,397
'0:0:3.8,363
'0:0:3.85,342
'0:0:3.9,342
'0:0:3.95,352
'0:0:4.0,350
'0:0:4.05,350
'0:0:4.1,345
'0:0:4.15,342
'0:0:4.2,349
'0:0:4.25,407
'0:0:4.3,423
'0:0:4.35,387
'0:0:4.4,356
'0:0:4.45,341
'0:0:4.5,343
'0:0:4.55,351
'0:0:4.6,352
'0:0:4.65,345
'0:0:4.7,346
'0:0:4.75,343
'0:0:4.8,358
'0:0:4.85,415
'0:0:4.9,421
