,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,1908
'0:0:0.05,1857
'0:0:0.1,1818
'0:0:0.15,1794
'0:0:0.2,1783
'0:0:0.25,1777
'0:0:0.3,1765
'0:0:0.35,1749
'0:0:0.4,1737
'0:0:0.45,1731
'0:0:0.5,1734
'0:0:0.55,1746
'0:0:0.6,1780
'0:0:0.65,1825
'0:0:0.7,1878
'0:0:0.75,1956
'0:0:0.8,2029
'0:0:0.85,2106
'0:0:0.9,2173
'0:0:0.95,2243
'0:0:1.0,2309
'0:0:1.05,2375
'0:0:1.1,2439
'0:0:1.15,2507
'0:0:1.2,2562
'0:0:1.25,2628
'0:0:1.3,2680
'0:0:1.35,2727
'0:0:1.4,2773
'0:0:1.45,2811
'0:0:1.5,2821
'0:0:1.55,2791
'0:0:1.6,2745
'0:0:1.65,2694
'0:0:1.7,2644
'0:0:1.75,2600
'0:0:1.8,2565
'0:0:1.85,2520
'0:0:1.9,2483
'0:0:1.95,2430
'0:0:2.0,2370
'0:0:2.05,2319
'0:0:2.1,2277
'0:0:2.15,2235
'0:0:2.2,2196
'0:0:2.25,2151
'0:0:2.3,2107
'0:0:2.35,2058
'0:0:2.4,2013
'0:0:2.45,1965
'0:0:2.5,1925
'0:0:2.55,1878
'0:0:2.6,1844
'0:0:2.65,1805
'0:0:2.7,1766
'0:0:2.75,1749
'0:0:2.8,1752
'0:0:2.85,1757
'0:0:2.9,1754
'0:0:2.95,1743
'0:0:3.0,1729
'0:0:3.05,1717
'0:0:3.1,1711
'0:0:3.15,1709
'0:0:3.2,1711
'0:0:3.25,1711
'0:0:3.3,1709
'0:0:3.35,1703
'0:0:3.4,1684
'0:0:3.45,1669
'0:0:3.5,1667
'0:0:3.55,1669
'0:0:3.6,1674
'0:0:3.65,1679
'0:0:3.7,1681
'0:0:3.75,1682
'0:0:3.8,1684
'0:0:3.85,1695
'0:0:3.9,1713
'0:0:3.95,1743
'0:0:4.0,1779
'0:0:4.05,1820
'0:0:4.1,1855
'0:0:4.15,1877
'0:0:4.2,1901
'0:0:4.25,1945
'0:0:4.3,1989
'0:0:4.35,2037
'0:0:4.4,2073
'0:0:4.45,2107
'0:0:4.5,2136
'0:0:4.55,2169
'0:0:4.6,2200
'0:0:4.65,2232
'0:0:4.7,2263
'0:0:4.75,2299
'0:0:4.8,2323
'0:0:4.85,2346
'0:0:4.9,2355
'0:0:4.95,2350
'0:0:5.0,2355
'0:0:5.05,2364
'0:0:5.1,2372
'0:0:5.15,2378
'0:0:5.2,2375
'0:0:5.25,2362
'0:0:5.3,2345
'0:0:5.35,2327
'0:0:5.4,2311
'0:0:5.45,2296
'0:0:5.5,2279
'0:0:5.55,2241
'0:0:5.6,2201
'0:0:5.65,2144
'0:0:5.7,2076
'0:0:5.75,2018
'0:0:5.8,1977
'0:0:5.85,1941
'0:0:5.9,1914
'0:0:5.95,1885
'0:0:6.0,1859
'0:0:6.05,1835
'0:0:6.1,1814
'0:0:6.15,1797
'0:0:6.2,1785
'0:0:6.25,1772
'0:0:6.3,1762
'0:0:6.35,1748
'0:0:6.4,1724
'0:0:6.45,1707
'0:0:6.5,1705
'0:0:6.55,1709
'0:0:6.6,1716
'0:0:6.65,1719
'0:0:6.7,1716
'0:0:6.75,1713
'0:0:6.8,1711
'0:0:6.85,1708
'0:0:6.9,1707
'0:0:6.95,1706
'0:0:7.0,1708
'0:0:7.05,1712
'0:0:7.1,1704
'0:0:7.15,1697
'0:0:7.2,1700
'0:0:7.25,1710
'0:0:7.3,1723
'0:0:7.35,1746
'0:0:7.4,1772
'0:0:7.45,1798
'0:0:7.5,1820
'0:0:7.55,1847
'0:0:7.6,1881
'0:0:7.65,1917
'0:0:7.7,1952
'0:0:7.75,1986
'0:0:7.8,2005
'0:0:7.85,2038
'0:0:7.9,2080
'0:0:7.95,2127
'0:0:8.0,2166
'0:0:8.05,2202
'0:0:8.1,2230
'0:0:8.15,2260
'0:0:8.2,2284
'0:0:8.25,2314
'0:0:8.3,2341
'0:0:8.35,2359
'0:0:8.4,2370
'0:0:8.45,2367
'0:0:8.5,2360
'0:0:8.55,2364
'0:0:8.6,2370
'0:0:8.65,2374
'0:0:8.7,2370
'0:0:8.75,2355
'0:0:8.8,2335
'0:0:8.85,2308
'0:0:8.9,2282
'0:0:8.95,2253
'0:0:9.0,2216
'0:0:9.05,2168
'0:0:9.1,2118
'0:0:9.15,2054
'0:0:9.2,2007
'0:0:9.25,1969
'0:0:9.3,1937
'0:0:9.35,1903
'0:0:9.4,1872
'0:0:9.45,1842
'0:0:9.5,1819
'0:0:9.55,1798
'0:0:9.6,1786
'0:0:9.65,1780
'0:0:9.7,1770
'0:0:9.75,1760
'0:0:9.8,1745
'0:0:9.85,1715
'0:0:9.9,1702
'0:0:9.95,1706
'0:0:10.0,1715
'0:0:10.05,1721
'0:0:10.1,1720
'0:0:10.15,1716
'0:0:10.2,1710
'0:0:10.25,1704
'0:0:10.3,1701
'0:0:10.35,1700
'0:0:10.4,1695
'0:0:10.45,1693
'0:0:10.5,1688
'0:0:10.55,1675
'0:0:10.6,1673
'0:0:10.65,1689
'0:0:10.7,1712
'0:0:10.75,1739
'0:0:10.8,1761
'0:0:10.85,1786
'0:0:10.9,1813
'0:0:10.95,1849
'0:0:11.0,1884
'0:0:11.05,1920
'0:0:11.1,1955
'0:0:11.15,1995
'0:0:11.2,2023
'0:0:11.25,2052
'0:0:11.3,2071
'0:0:11.35,2081
'0:0:11.4,2104
'0:0:11.45,2140
'0:0:11.5,2174
'0:0:11.55,2210
'0:0:11.6,2241
'0:0:11.65,2273
'0:0:11.7,2301
'0:0:11.75,2330
'0:0:11.8,2357
'0:0:11.85,2384
'0:0:11.9,2407
'0:0:11.95,2429
'0:0:12.0,2448
'0:0:12.05,2470
'0:0:12.1,2487
'0:0:12.15,2492
'0:0:12.2,2486
'0:0:12.25,2463
'0:0:12.3,2440
'0:0:12.35,2424
'0:0:12.4,2407
'0:0:12.45,2388
'0:0:12.5,2366
'0:0:12.55,2334
'0:0:12.6,2300
'0:0:12.65,2259
'0:0:12.7,2221
'0:0:12.75,2182
'0:0:12.8,2151
'0:0:12.85,2118
'0:0:12.9,2080
'0:0:12.95,2043
'0:0:13.0,2002
'0:0:13.05,1948
'0:0:13.1,1912
'0:0:13.15,1881
'0:0:13.2,1859
'0:0:13.25,1842
'0:0:13.3,1825
'0:0:13.35,1804
'0:0:13.4,1788
'0:0:13.45,1773
'0:0:13.5,1759
'0:0:13.55,1748
'0:0:13.6,1743
'0:0:13.65,1732
'0:0:13.7,1722
'0:0:13.75,1708
'0:0:13.8,1682
'0:0:13.85,1665
'0:0:13.9,1664
'0:0:13.95,1671
'0:0:14.0,1682
'0:0:14.05,1689
'0:0:14.1,1690
'0:0:14.15,1688
'0:0:14.2,1688
'0:0:14.25,1688
'0:0:14.3,1690
'0:0:14.35,1696
'0:0:14.4,1697
'0:0:14.45,1696
'0:0:14.5,1698
'0:0:14.55,1690
'0:0:14.6,1689
'0:0:14.65,1707
'0:0:14.7,1732
'0:0:14.75,1766
'0:0:14.8,1798
'0:0:14.85,1834
'0:0:14.9,1870
'0:0:14.95,1909
'0:0:15.0,1944
'0:0:15.05,1985
'0:0:15.1,2026
'0:0:15.15,2066
'0:0:15.2,2092
'0:0:15.25,2120
'0:0:15.3,2134
'0:0:15.35,2147
'0:0:15.4,2172
'0:0:15.45,2204
'0:0:15.5,2236
'0:0:15.55,2264
'0:0:15.6,2287
'0:0:15.65,2310
'0:0:15.7,2330
'0:0:15.75,2351
'0:0:15.8,2369
'0:0:15.85,2389
'0:0:15.9,2400
'0:0:15.95,2397
'0:0:16.0,2387
'0:0:16.05,2362
'0:0:16.1,2336
'0:0:16.15,2317
'0:0:16.2,2294
'0:0:16.25,2264
'0:0:16.3,2229
'0:0:16.35,2183
'0:0:16.4,2138
'0:0:16.45,2088
'0:0:16.5,2043
'0:0:16.55,2002
'0:0:16.6,1974
'0:0:16.65,1951
'0:0:16.7,1923
'0:0:16.75,1897
'0:0:16.8,1864
'0:0:16.85,1818
'0:0:16.9,1793
'0:0:16.95,1778
'0:0:17.0,1766
'0:0:17.05,1759
'0:0:17.1,1754
'0:0:17.15,1746
'0:0:17.2,1739
'0:0:17.25,1731
'0:0:17.3,1725
'0:0:17.35,1720
'0:0:17.4,1718
'0:0:17.45,1720
'0:0:17.5,1717
'0:0:17.55,1716
'0:0:17.6,1710
'0:0:17.65,1687
'0:0:17.7,1675
'0:0:17.75,1676
'0:0:17.8,1683
'0:0:17.85,1693
'0:0:17.9,1699
'0:0:17.95,1700
'0:0:18.0,1701
'0:0:18.05,1705
'0:0:18.1,1715
'0:0:18.15,1735
'0:0:18.2,1759
'0:0:18.25,1794
'0:0:18.3,1832
'0:0:18.35,1868
'0:0:18.4,1903
'0:0:18.45,1933
'0:0:18.5,1949
'0:0:18.55,1981
'0:0:18.6,2017
'0:0:18.65,2059
'0:0:18.7,2096
'0:0:18.75,2128
'0:0:18.8,2157
'0:0:18.85,2188
'0:0:18.9,2214
'0:0:18.95,2244
'0:0:19.0,2272
'0:0:19.05,2302
'0:0:19.1,2329
'0:0:19.15,2346
'0:0:19.2,2350
