,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,4105
'0:0:0.05,4094
'0:0:0.1,4086
'0:0:0.15,4083
'0:0:0.2,4080
'0:0:0.25,4074
'0:0:0.3,4064
'0:0:0.35,4055
'0:0:0.4,4050
'0:0:0.45,4042
'0:0:0.5,4036
'0:0:0.55,4033
'0:0:0.6,4032
'0:0:0.65,4032
'0:0:0.7,4038
'0:0:0.75,4049
'0:0:0.8,4058
'0:0:0.85,4069
'0:0:0.9,4086
'0:0:0.95,4101
'0:0:1.0,4106
'0:0:1.05,4120
'0:0:1.1,4147
'0:0:1.15,4179
'0:0:1.2,4207
'0:0:1.25,4239
'0:0:1.3,4269
'0:0:1.35,4298
'0:0:1.4,4320
'0:0:1.45,4341
'0:0:1.5,4363
'0:0:1.55,4385
'0:0:1.6,4403
'0:0:1.65,4420
'0:0:1.7,4433
'0:0:1.75,4445
'0:0:1.8,4464
'0:0:1.85,4485
'0:0:1.9,4496
'0:0:1.95,4504
'0:0:2.0,4514
'0:0:2.05,4523
'0:0:2.1,4525
'0:0:2.15,4517
'0:0:2.2,4499
'0:0:2.25,4468
'0:0:2.3,4441
'0:0:2.35,4419
'0:0:2.4,4398
'0:0:2.45,4373
'0:0:2.5,4351
'0:0:2.55,4330
'0:0:2.6,4314
'0:0:2.65,4296
'0:0:2.7,4278
'0:0:2.75,4253
'0:0:2.8,4235
'0:0:2.85,4228
'0:0:2.9,4224
'0:0:2.95,4218
'0:0:3.0,4214
'0:0:3.05,4206
'0:0:3.1,4199
'0:0:3.15,4191
'0:0:3.2,4176
'0:0:3.25,4154
'0:0:3.3,4134
'0:0:3.35,4121
'0:0:3.4,4117
'0:0:3.45,4110
'0:0:3.5,4100
'0:0:3.55,4089
'0:0:3.6,4080
'0:0:3.65,4072
'0:0:3.7,4066
'0:0:3.75,4058
'0:0:3.8,4049
'0:0:3.85,4039
'0:0:3.9,4038
'0:0:3.95,4042
'0:0:4.0,4045
'0:0:4.05,4044
'0:0:4.1,4041
'0:0:4.15,4039
'0:0:4.2,4039
'0:0:4.25,4042
'0:0:4.3,4044
'0:0:4.35,4045
'0:0:4.4,4046
'0:0:4.45,4053
'0:0:4.5,4067
'0:0:4.55,4078
'0:0:4.6,4085
'0:0:4.65,4093
'0:0:4.7,4108
'0:0:4.75,4129
'0:0:4.8,4152
'0:0:4.85,4173
'0:0:4.9,4189
'0:0:4.95,4206
'0:0:5.0,4229
'0:0:5.05,4260
'0:0:5.1,4287
'0:0:5.15,4310
'0:0:5.2,4329
'0:0:5.25,4352
'0:0:5.3,4375
'0:0:5.35,4405
'0:0:5.4,4432
'0:0:5.45,4460
'0:0:5.5,4480
'0:0:5.55,4505
'0:0:5.6,4530
'0:0:5.65,4548
'0:0:5.7,4557
'0:0:5.75,4569
'0:0:5.8,4582
'0:0:5.85,4594
'0:0:5.9,4604
'0:0:5.95,4602
'0:0:6.0,4587
'0:0:6.05,4552
'0:0:6.1,4527
'0:0:6.15,4532
'0:0:6.2,4545
'0:0:6.25,4544
'0:0:6.3,4534
'0:0:6.35,4521
'0:0:6.4,4510
'0:0:6.45,4491
'0:0:6.5,4459
'0:0:6.55,4420
'0:0:6.6,4384
'0:0:6.65,4349
'0:0:6.7,4312
'0:0:6.75,4266
'0:0:6.8,4225
'0:0:6.85,4199
'0:0:6.9,4187
'0:0:6.95,4175
'0:0:7.0,4162
'0:0:7.05,4153
'0:0:7.1,4145
'0:0:7.15,4146
'0:0:7.2,4151
'0:0:7.25,4148
'0:0:7.3,4146
'0:0:7.35,4146
'0:0:7.4,4144
'0:0:7.45,4141
'0:0:7.5,4136
'0:0:7.55,4123
'0:0:7.6,4106
'0:0:7.65,4094
'0:0:7.7,4090
'0:0:7.75,4085
'0:0:7.8,4076
'0:0:7.85,4066
'0:0:7.9,4059
'0:0:7.95,4053
'0:0:8.0,4049
'0:0:8.05,4043
'0:0:8.1,4037
'0:0:8.15,4028
'0:0:8.2,4025
'0:0:8.25,4027
'0:0:8.3,4030
'0:0:8.35,4032
'0:0:8.4,4034
'0:0:8.45,4036
'0:0:8.5,4034
'0:0:8.55,4035
'0:0:8.6,4041
'0:0:8.65,4045
'0:0:8.7,4050
'0:0:8.75,4063
'0:0:8.8,4082
'0:0:8.85,4099
'0:0:8.9,4111
'0:0:8.95,4124
'0:0:9.0,4138
'0:0:9.05,4156
'0:0:9.1,4172
'0:0:9.15,4188
'0:0:9.2,4198
'0:0:9.25,4209
'0:0:9.3,4222
'0:0:9.35,4239
'0:0:9.4,4250
'0:0:9.45,4257
'0:0:9.5,4261
'0:0:9.55,4269
'0:0:9.6,4279
'0:0:9.65,4290
'0:0:9.7,4297
'0:0:9.75,4298
'0:0:9.8,4297
'0:0:9.85,4302
'0:0:9.9,4311
'0:0:9.95,4317
'0:0:10.0,4321
'0:0:10.05,4327
'0:0:10.1,4335
'0:0:10.15,4345
'0:0:10.2,4353
'0:0:10.25,4356
'0:0:10.3,4357
'0:0:10.35,4361
'0:0:10.4,4369
'0:0:10.45,4376
'0:0:10.5,4380
'0:0:10.55,4381
'0:0:10.6,4383
'0:0:10.65,4387
'0:0:10.7,4393
'0:0:10.75,4395
'0:0:10.8,4392
'0:0:10.85,4382
'0:0:10.9,4371
'0:0:10.95,4358
'0:0:11.0,4344
'0:0:11.05,4324
'0:0:11.1,4305
'0:0:11.15,4290
'0:0:11.2,4278
'0:0:11.25,4267
'0:0:11.3,4251
'0:0:11.35,4233
'0:0:11.4,4228
'0:0:11.45,4223
'0:0:11.5,4216
'0:0:11.55,4217
'0:0:11.6,4220
'0:0:11.65,4220
'0:0:11.7,4223
'0:0:11.75,4224
'0:0:11.8,4215
'0:0:11.85,4196
'0:0:11.9,4176
'0:0:11.95,4161
'0:0:12.0,4150
'0:0:12.05,4137
'0:0:12.1,4125
'0:0:12.15,4113
'0:0:12.2,4105
'0:0:12.25,4099
'0:0:12.3,4094
'0:0:12.35,4089
'0:0:12.4,4081
'0:0:12.45,4070
'0:0:12.5,4064
'0:0:12.55,4067
'0:0:12.6,4070
'0:0:12.65,4068
'0:0:12.7,4067
'0:0:12.75,4070
'0:0:12.8,4072
'0:0:12.85,4074
'0:0:12.9,4076
'0:0:12.95,4076
'0:0:13.0,4074
'0:0:13.05,4072
'0:0:13.1,4080
'0:0:13.15,4103
'0:0:13.2,4125
'0:0:13.25,4145
'0:0:13.3,4163
'0:0:13.35,4186
'0:0:13.4,4207
'0:0:13.45,4232
'0:0:13.5,4256
'0:0:13.55,4278
'0:0:13.6,4294
'0:0:13.65,4311
'0:0:13.7,4333
'0:0:13.75,4359
'0:0:13.8,4377
'0:0:13.85,4392
'0:0:13.9,4405
'0:0:13.95,4423
'0:0:14.0,4443
'0:0:14.05,4466
'0:0:14.1,4483
'0:0:14.15,4492
'0:0:14.2,4498
'0:0:14.25,4510
'0:0:14.3,4526
'0:0:14.35,4539
'0:0:14.4,4546
'0:0:14.45,4552
'0:0:14.5,4557
'0:0:14.55,4562
'0:0:14.6,4561
'0:0:14.65,4548
'0:0:14.7,4521
'0:0:14.75,4487
'0:0:14.8,4460
'0:0:14.85,4430
'0:0:14.9,4403
'0:0:14.95,4373
'0:0:15.0,4344
'0:0:15.05,4316
'0:0:15.1,4288
'0:0:15.15,4260
'0:0:15.2,4239
'0:0:15.25,4217
'0:0:15.3,4205
'0:0:15.35,4203
'0:0:15.4,4201
'0:0:15.45,4200
'0:0:15.5,4198
'0:0:15.55,4193
'0:0:15.6,4196
'0:0:15.65,4197
'0:0:15.7,4191
'0:0:15.75,4183
'0:0:15.8,4179
'0:0:15.85,4171
'0:0:15.9,4166
'0:0:15.95,4162
'0:0:16.0,4154
'0:0:16.05,4142
'0:0:16.1,4131
'0:0:16.15,4121
'0:0:16.2,4113
'0:0:16.25,4107
'0:0:16.3,4099
'0:0:16.35,4090
'0:0:16.4,4083
'0:0:16.45,4085
'0:0:16.5,4091
'0:0:16.55,4091
'0:0:16.6,4087
'0:0:16.65,4084
'0:0:16.7,4086
'0:0:16.75,4091
'0:0:16.8,4097
'0:0:16.85,4104
'0:0:16.9,4107
'0:0:16.95,4104
'0:0:17.0,4103
'0:0:17.05,4109
'0:0:17.1,4119
'0:0:17.15,4140
'0:0:17.2,4175
'0:0:17.25,4240
'0:0:17.3,4311
'0:0:17.35,4374
'0:0:17.4,4414
'0:0:17.45,4445
'0:0:17.5,4464
'0:0:17.55,4483
'0:0:17.6,4498
'0:0:17.65,4507
'0:0:17.7,4512
'0:0:17.75,4519
'0:0:17.8,4530
'0:0:17.85,4543
'0:0:17.9,4558
'0:0:17.95,4568
'0:0:18.0,4572
'0:0:18.05,4580
'0:0:18.1,4589
'0:0:18.15,4596
'0:0:18.2,4598
'0:0:18.25,4599
'0:0:18.3,4602
'0:0:18.35,4609
'0:0:18.4,4615
'0:0:18.45,4617
'0:0:18.5,4610
'0:0:18.55,4591
'0:0:18.6,4574
'0:0:18.65,4564
'0:0:18.7,4550
'0:0:18.75,4522
'0:0:18.8,4492
'0:0:18.85,4462
'0:0:18.9,4439
'0:0:18.95,4412
'0:0:19.0,4375
'0:0:19.05,4335
'0:0:19.1,4303
'0:0:19.15,4282
'0:0:19.2,4272
