,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,7696
'0:0:0.05,7687
'0:0:0.1,7686
'0:0:0.15,7685
'0:0:0.2,7685
'0:0:0.25,7687
'0:0:0.3,7688
'0:0:0.35,7690
'0:0:0.4,7691
'0:0:0.45,7688
'0:0:0.5,7686
'0:0:0.55,7686
'0:0:0.6,7683
'0:0:0.65,7678
'0:0:0.7,7674
'0:0:0.75,7674
'0:0:0.8,7678
'0:0:0.85,7685
'0:0:0.9,7689
'0:0:0.95,7692
'0:0:1.0,7689
'0:0:1.05,7673
'0:0:1.1,7660
'0:0:1.15,7653
'0:0:1.2,7651
'0:0:1.25,7649
'0:0:1.3,7640
'0:0:1.35,7625
'0:0:1.4,7616
'0:0:1.45,7615
'0:0:1.5,7620
'0:0:1.55,7631
'0:0:1.6,7645
'0:0:1.65,7663
'0:0:1.7,7682
'0:0:1.75,7701
'0:0:1.8,7719
'0:0:1.85,7739
'0:0:1.9,7756
'0:0:1.95,7770
'0:0:2.0,7782
'0:0:2.05,7797
'0:0:2.1,7811
'0:0:2.15,7826
'0:0:2.2,7841
'0:0:2.25,7856
'0:0:2.3,7868
'0:0:2.35,7880
'0:0:2.4,7894
'0:0:2.45,7908
'0:0:2.5,7919
'0:0:2.55,7927
'0:0:2.6,7933
'0:0:2.65,7941
'0:0:2.7,7950
'0:0:2.75,7958
'0:0:2.8,7953
'0:0:2.85,7927
'0:0:2.9,7893
'0:0:2.95,7856
'0:0:3.0,7825
'0:0:3.05,7797
'0:0:3.1,7775
'0:0:3.15,7756
'0:0:3.2,7740
'0:0:3.25,7724
'0:0:3.3,7710
'0:0:3.35,7695
'0:0:3.4,7682
'0:0:3.45,7667
'0:0:3.5,7655
'0:0:3.55,7647
'0:0:3.6,7637
'0:0:3.65,7630
'0:0:3.7,7628
'0:0:3.75,7623
'0:0:3.8,7620
'0:0:3.85,7620
'0:0:3.9,7623
'0:0:3.95,7625
'0:0:4.0,7624
'0:0:4.05,7621
'0:0:4.1,7620
'0:0:4.15,7621
'0:0:4.2,7622
'0:0:4.25,7625
'0:0:4.3,7627
'0:0:4.35,7622
'0:0:4.4,7611
'0:0:4.45,7594
'0:0:4.5,7572
'0:0:4.55,7554
'0:0:4.6,7550
'0:0:4.65,7560
'0:0:4.7,7577
'0:0:4.75,7595
'0:0:4.8,7611
'0:0:4.85,7628
'0:0:4.9,7648
'0:0:4.95,7672
'0:0:5.0,7690
'0:0:5.05,7708
'0:0:5.1,7722
'0:0:5.15,7736
'0:0:5.2,7750
'0:0:5.25,7769
'0:0:5.3,7786
'0:0:5.35,7799
'0:0:5.4,7810
'0:0:5.45,7824
'0:0:5.5,7840
'0:0:5.55,7858
'0:0:5.6,7874
'0:0:5.65,7892
'0:0:5.7,7908
'0:0:5.75,7924
'0:0:5.8,7937
'0:0:5.85,7950
'0:0:5.9,7958
'0:0:5.95,7963
'0:0:6.0,7964
'0:0:6.05,7964
'0:0:6.1,7953
'0:0:6.15,7926
'0:0:6.2,7895
'0:0:6.25,7868
'0:0:6.3,7846
'0:0:6.35,7825
'0:0:6.4,7808
'0:0:6.45,7791
'0:0:6.5,7777
'0:0:6.55,7763
'0:0:6.6,7751
'0:0:6.65,7737
'0:0:6.7,7725
'0:0:6.75,7710
'0:0:6.8,7696
'0:0:6.85,7684
'0:0:6.9,7677
'0:0:6.95,7669
'0:0:7.0,7663
'0:0:7.05,7656
'0:0:7.1,7646
'0:0:7.15,7638
'0:0:7.2,7633
'0:0:7.25,7625
'0:0:7.3,7616
'0:0:7.35,7609
'0:0:7.4,7608
'0:0:7.45,7608
'0:0:7.5,7610
'0:0:7.55,7608
'0:0:7.6,7601
'0:0:7.65,7597
'0:0:7.7,7600
'0:0:7.75,7607
'0:0:7.8,7616
'0:0:7.85,7627
'0:0:7.9,7641
'0:0:7.95,7665
'0:0:8.0,7692
'0:0:8.05,7718
'0:0:8.1,7737
'0:0:8.15,7755
'0:0:8.2,7769
'0:0:8.25,7785
'0:0:8.3,7799
'0:0:8.35,7814
'0:0:8.4,7829
'0:0:8.45,7844
'0:0:8.5,7856
'0:0:8.55,7869
'0:0:8.6,7884
'0:0:8.65,7905
'0:0:8.7,7922
'0:0:8.75,7940
'0:0:8.8,7956
'0:0:8.85,7975
'0:0:8.9,7998
'0:0:8.95,8023
'0:0:9.0,8035
'0:0:9.05,8026
'0:0:9.1,8003
'0:0:9.15,7974
'0:0:9.2,7952
'0:0:9.25,7926
'0:0:9.3,7896
'0:0:9.35,7866
'0:0:9.4,7841
'0:0:9.45,7820
'0:0:9.5,7802
'0:0:9.55,7783
'0:0:9.6,7765
'0:0:9.65,7747
'0:0:9.7,7731
'0:0:9.75,7715
'0:0:9.8,7703
'0:0:9.85,7690
'0:0:9.9,7679
'0:0:9.95,7670
'0:0:10.0,7665
'0:0:10.05,7658
'0:0:10.1,7652
'0:0:10.15,7647
'0:0:10.2,7642
'0:0:10.25,7634
'0:0:10.3,7627
'0:0:10.35,7622
'0:0:10.4,7617
'0:0:10.45,7614
'0:0:10.5,7613
'0:0:10.55,7612
'0:0:10.6,7609
'0:0:10.65,7602
'0:0:10.7,7596
'0:0:10.75,7596
'0:0:10.8,7603
'0:0:10.85,7613
'0:0:10.9,7623
'0:0:10.95,7633
'0:0:11.0,7642
'0:0:11.05,7653
'0:0:11.1,7662
'0:0:11.15,7665
'0:0:11.2,7668
'0:0:11.25,7672
'0:0:11.3,7679
'0:0:11.35,7689
'0:0:11.4,7701
'0:0:11.45,7716
'0:0:11.5,7731
'0:0:11.55,7746
'0:0:11.6,7759
'0:0:11.65,7775
'0:0:11.7,7794
'0:0:11.75,7815
'0:0:11.8,7830
'0:0:11.85,7844
'0:0:11.9,7858
'0:0:11.95,7877
'0:0:12.0,7893
'0:0:12.05,7910
'0:0:12.1,7924
'0:0:12.15,7934
'0:0:12.2,7936
'0:0:12.25,7930
'0:0:12.3,7916
'0:0:12.35,7895
'0:0:12.4,7875
'0:0:12.45,7854
'0:0:12.5,7835
'0:0:12.55,7815
'0:0:12.6,7798
'0:0:12.65,7782
'0:0:12.7,7766
'0:0:12.75,7750
'0:0:12.8,7736
'0:0:12.85,7722
'0:0:12.9,7712
'0:0:12.95,7705
'0:0:13.0,7697
'0:0:13.05,7687
'0:0:13.1,7682
'0:0:13.15,7678
'0:0:13.2,7672
'0:0:13.25,7665
'0:0:13.3,7664
'0:0:13.35,7666
'0:0:13.4,7666
'0:0:13.45,7663
'0:0:13.5,7660
'0:0:13.55,7658
'0:0:13.6,7656
'0:0:13.65,7652
'0:0:13.7,7651
'0:0:13.75,7654
'0:0:13.8,7658
'0:0:13.85,7662
'0:0:13.9,7661
'0:0:13.95,7657
'0:0:14.0,7650
'0:0:14.05,7647
'0:0:14.1,7651
'0:0:14.15,7658
'0:0:14.2,7665
'0:0:14.25,7672
'0:0:14.3,7679
'0:0:14.35,7690
'0:0:14.4,7704
'0:0:14.45,7722
'0:0:14.5,7739
'0:0:14.55,7758
'0:0:14.6,7777
'0:0:14.65,7794
'0:0:14.7,7806
'0:0:14.75,7818
'0:0:14.8,7831
'0:0:14.85,7847
'0:0:14.9,7863
'0:0:14.95,7885
'0:0:15.0,7909
'0:0:15.05,7933
'0:0:15.1,7950
'0:0:15.15,7967
'0:0:15.2,7982
'0:0:15.25,7991
'0:0:15.3,7994
'0:0:15.35,7984
'0:0:15.4,7968
'0:0:15.45,7952
'0:0:15.5,7933
'0:0:15.55,7906
'0:0:15.6,7881
'0:0:15.65,7854
'0:0:15.7,7831
'0:0:15.75,7811
'0:0:15.8,7793
'0:0:15.85,7776
'0:0:15.9,7761
'0:0:15.95,7750
'0:0:16.0,7742
'0:0:16.05,7733
'0:0:16.1,7724
'0:0:16.15,7717
'0:0:16.2,7708
'0:0:16.25,7697
'0:0:16.3,7690
'0:0:16.35,7680
'0:0:16.4,7672
'0:0:16.45,7667
'0:0:16.5,7661
'0:0:16.55,7655
'0:0:16.6,7652
'0:0:16.65,7651
'0:0:16.7,7649
'0:0:16.75,7647
'0:0:16.8,7643
'0:0:16.85,7638
'0:0:16.9,7639
'0:0:16.95,7644
'0:0:17.0,7649
'0:0:17.05,7654
'0:0:17.1,7660
'0:0:17.15,7669
'0:0:17.2,7681
'0:0:17.25,7696
'0:0:17.3,7709
'0:0:17.35,7721
'0:0:17.4,7731
'0:0:17.45,7745
'0:0:17.5,7760
'0:0:17.55,7778
'0:0:17.6,7796
'0:0:17.65,7815
'0:0:17.7,7830
'0:0:17.75,7845
'0:0:17.8,7860
'0:0:17.85,7878
'0:0:17.9,7895
'0:0:17.95,7910
'0:0:18.0,7920
'0:0:18.05,7930
'0:0:18.1,7941
'0:0:18.15,7956
'0:0:18.2,7972
'0:0:18.25,7989
'0:0:18.3,7999
'0:0:18.35,8005
'0:0:18.4,8007
'0:0:18.45,8003
'0:0:18.5,7988
'0:0:18.55,7965
'0:0:18.6,7942
'0:0:18.65,7917
'0:0:18.7,7893
'0:0:18.75,7870
'0:0:18.8,7847
'0:0:18.85,7822
'0:0:18.9,7800
'0:0:18.95,7777
'0:0:19.0,7763
'0:0:19.05,7750
'0:0:19.1,7736
'0:0:19.15,7724
'0:0:19.2,7714
