,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Respiration (ID 1  Exp 1)
Range:,Arb
Units:,Arb
Time
'-0:0:0.0,2522
'0:0:0.05,2526
'0:0:0.1,2515
'0:0:0.15,2494
'0:0:0.2,2465
'0:0:0.25,2444
'0:0:0.3,2448
'0:0:0.35,2462
'0:0:0.4,2461
'0:0:0.45,2453
'0:0:0.5,2436
'0:0:0.55,2418
'0:0:0.6,2415
'0:0:0.65,2429
'0:0:0.7,2452
'0:0:0.75,2481
'0:0:0.8,2509
'0:0:0.85,2514
'0:0:0.9,2520
'0:0:0.95,2522
'0:0:1.0,2550
'0:0:1.05,2635
'0:0:1.1,2706
'0:0:1.15,2726
'0:0:1.2,2744
'0:0:1.25,2777
'0:0:1.3,2822
'0:0:1.35,2842
'0:0:1.4,2810
'0:0:1.45,2772
'0:0:1.5,2814
'0:0:1.55,2888
'0:0:1.6,2934
'0:0:1.65,2956
'0:0:1.7,2993
'0:0:1.75,3060
'0:0:1.8,3108
'0:0:1.85,3097
'0:0:1.9,3126
'0:0:1.95,3186
'0:0:2.0,3222
'0:0:2.05,3231
'0:0:2.1,3230
'0:0:2.15,3229
'0:0:2.2,3213
'0:0:2.25,3175
'0:0:2.3,3196
'0:0:2.35,3279
'0:0:2.4,3324
'0:0:2.45,3319
'0:0:2.5,3315
'0:0:2.55,3312
'0:0:2.6,3246
'0:0:2.65,3133
'0:0:2.7,3053
'0:0:2.75,3026
'0:0:2.8,2980
'0:0:2.85,2916
'0:0:2.9,2855
'0:0:2.95,2817
'0:0:3.0,2766
'0:0:3.05,2701
'0:0:3.1,2684
'0:0:3.15,2724
'0:0:3.2,2725
'0:0:3.25,2679
'0:0:3.3,2643
'0:0:3.35,2655
'0:0:3.4,2659
'0:0:3.45,2608
'0:0:3.5,2575
'0:0:3.55,2612
'0:0:3.6,2644
'0:0:3.65,2608
'0:0:3.7,2543
'0:0:3.75,2532
'0:0:3.8,2542
'0:0:3.85,2506
'0:0:3.9,2514
'0:0:3.95,2585
'0:0:4.0,2603
'0:0:4.05,2578
'0:0:4.1,2590
'0:0:4.15,2643
'0:0:4.2,2713
'0:0:4.25,2712
'0:0:4.3,2649
'0:0:4.35,2638
'0:0:4.4,2692
'0:0:4.45,2752
'0:0:4.5,2790
'0:0:4.55,2809
'0:0:4.6,2826
'0:0:4.65,2841
'0:0:4.7,2829
'0:0:4.75,2803
'0:0:4.8,2844
'0:0:4.85,2908
'0:0:4.9,2917
'0:0:4.95,2899
'0:0:5.0,2910
'0:0:5.05,2955
'0:0:5.1,2978
'0:0:5.15,2936
'0:0:5.2,2921
'0:0:5.25,2966
'0:0:5.3,2996
'0:0:5.35,2969
'0:0:5.4,2923
'0:0:5.45,2900
'0:0:5.5,2876
'0:0:5.55,2833
'0:0:5.6,2818
'0:0:5.65,2864
'0:0:5.7,2876
'0:0:5.75,2824
'0:0:5.8,2774
'0:0:5.85,2750
'0:0:5.9,2719
'0:0:5.95,2663
'0:0:6.0,2604
'0:0:6.05,2596
'0:0:6.1,2625
'0:0:6.15,2625
'0:0:6.2,2568
'0:0:6.25,2514
'0:0:6.3,2487
'0:0:6.35,2484
'0:0:6.4,2465
'0:0:6.45,2477
'0:0:6.5,2534
'0:0:6.55,2550
'0:0:6.6,2526
'0:0:6.65,2519
'0:0:6.7,2556
'0:0:6.75,2589
'0:0:6.8,2554
'0:0:6.85,2506
'0:0:6.9,2504
'0:0:6.95,2527
'0:0:7.0,2513
'0:0:7.05,2455
'0:0:7.1,2412
'0:0:7.15,2423
'0:0:7.2,2446
'0:0:7.25,2396
'0:0:7.3,2386
'0:0:7.35,2450
'0:0:7.4,2436
'0:0:7.45,2376
'0:0:7.5,2355
'0:0:7.55,2388
'0:0:7.6,2460
'0:0:7.65,2472
'0:0:7.7,2450
'0:0:7.75,2508
'0:0:7.8,2595
'0:0:7.85,2621
'0:0:7.9,2615
'0:0:7.95,2618
'0:0:8.0,2642
'0:0:8.05,2663
'0:0:8.1,2644
'0:0:8.15,2650
'0:0:8.2,2738
'0:0:8.25,2791
'0:0:8.3,2774
'0:0:8.35,2755
'0:0:8.4,2774
'0:0:8.45,2817
'0:0:8.5,2828
'0:0:8.55,2821
'0:0:8.6,2857
'0:0:8.65,2906
'0:0:8.7,2918
'0:0:8.75,2913
'0:0:8.8,2918
'0:0:8.85,2941
'0:0:8.9,2952
'0:0:8.95,2916
'0:0:9.0,2930
'0:0:9.05,2999
'0:0:9.1,3018
'0:0:9.15,2990
'0:0:9.2,2985
'0:0:9.25,3027
'0:0:9.3,3071
'0:0:9.35,3049
'0:0:9.4,3037
'0:0:9.45,3082
'0:0:9.5,3103
'0:0:9.55,3065
'0:0:9.6,3005
'0:0:9.65,2971
'0:0:9.7,2941
'0:0:9.75,2874
'0:0:9.8,2802
'0:0:9.85,2826
'0:0:9.9,2867
'0:0:9.95,2814
'0:0:10.0,2740
'0:0:10.05,2721
'0:0:10.1,2740
'0:0:10.15,2771
'0:0:10.2,2736
'0:0:10.25,2669
'0:0:10.3,2692
'0:0:10.35,2723
'0:0:10.4,2672
'0:0:10.45,2615
'0:0:10.5,2610
'0:0:10.55,2639
'0:0:10.6,2621
'0:0:10.65,2584
'0:0:10.7,2615
'0:0:10.75,2646
'0:0:10.8,2603
'0:0:10.85,2558
'0:0:10.9,2557
'0:0:10.95,2597
'0:0:11.0,2600
'0:0:11.05,2490
'0:0:11.1,2447
'0:0:11.15,2538
'0:0:11.2,2576
'0:0:11.25,2529
'0:0:11.3,2483
'0:0:11.35,2481
'0:0:11.4,2478
'0:0:11.45,2477
'0:0:11.5,2547
'0:0:11.55,2626
'0:0:11.6,2654
'0:0:11.65,2676
'0:0:11.7,2725
'0:0:11.75,2819
'0:0:11.8,2920
'0:0:11.85,2910
'0:0:11.9,2918
'0:0:11.95,3022
'0:0:12.0,3085
'0:0:12.05,3062
'0:0:12.1,3044
'0:0:12.15,3070
'0:0:12.2,3087
'0:0:12.25,3024
'0:0:12.3,2977
'0:0:12.35,3031
'0:0:12.4,3053
'0:0:12.45,3010
'0:0:12.5,2987
'0:0:12.55,3002
'0:0:12.6,3031
'0:0:12.65,3017
'0:0:12.7,2991
'0:0:12.75,3024
'0:0:12.8,3058
'0:0:12.85,3009
'0:0:12.9,2908
'0:0:12.95,2835
'0:0:13.0,2782
'0:0:13.05,2735
'0:0:13.1,2680
'0:0:13.15,2672
'0:0:13.2,2707
'0:0:13.25,2736
'0:0:13.3,2760
'0:0:13.35,2765
'0:0:13.4,2782
'0:0:13.45,2826
'0:0:13.5,2812
'0:0:13.55,2709
'0:0:13.6,2645
'0:0:13.65,2687
'0:0:13.7,2744
'0:0:13.75,2741
'0:0:13.8,2691
'0:0:13.85,2670
'0:0:13.9,2680
'0:0:13.95,2709
'0:0:14.0,2811
'0:0:14.05,2851
'0:0:14.1,2754
'0:0:14.15,2679
'0:0:14.2,2672
'0:0:14.25,2713
'0:0:14.3,2774
'0:0:14.35,2711
'0:0:14.4,2559
'0:0:14.45,2563
'0:0:14.5,2620
'0:0:14.55,2588
'0:0:14.6,2525
'0:0:14.65,2480
'0:0:14.7,2459
'0:0:14.75,2451
'0:0:14.8,2449
'0:0:14.85,2454
'0:0:14.9,2483
'0:0:14.95,2496
'0:0:15.0,2479
'0:0:15.05,2472
'0:0:15.1,2496
'0:0:15.15,2554
'0:0:15.2,2548
'0:0:15.25,2508
'0:0:15.3,2543
'0:0:15.35,2592
'0:0:15.4,2616
'0:0:15.45,2619
'0:0:15.5,2620
'0:0:15.55,2629
'0:0:15.6,2635
'0:0:15.65,2670
'0:0:15.7,2775
'0:0:15.75,2824
'0:0:15.8,2798
'0:0:15.85,2797
'0:0:15.9,2833
'0:0:15.95,2882
'0:0:16.0,2922
'0:0:16.05,2907
'0:0:16.1,2889
'0:0:16.15,2926
'0:0:16.2,2984
'0:0:16.25,3012
'0:0:16.3,3024
'0:0:16.35,3034
'0:0:16.4,3037
'0:0:16.45,3029
'0:0:16.5,3019
'0:0:16.55,3060
'0:0:16.6,3118
'0:0:16.65,3120
'0:0:16.7,3105
'0:0:16.75,3108
'0:0:16.8,3135
'0:0:16.85,3143
'0:0:16.9,3065
'0:0:16.95,2965
'0:0:17.0,2922
'0:0:17.05,2915
'0:0:17.1,2878
'0:0:17.15,2820
'0:0:17.2,2760
'0:0:17.25,2709
'0:0:17.3,2670
'0:0:17.35,2652
'0:0:17.4,2671
'0:0:17.45,2730
'0:0:17.5,2764
'0:0:17.55,2723
'0:0:17.6,2657
'0:0:17.65,2620
'0:0:17.7,2610
'0:0:17.75,2615
'0:0:17.8,2587
'0:0:17.85,2563
'0:0:17.9,2578
'0:0:17.95,2593
'0:0:18.0,2585
'0:0:18.05,2560
'0:0:18.1,2549
'0:0:18.15,2559
'0:0:18.2,2564
'0:0:18.25,2615
'0:0:18.3,2673
'0:0:18.35,2636
'0:0:18.4,2571
'0:0:18.45,2540
'0:0:18.5,2531
'0:0:18.55,2549
'0:0:18.6,2582
'0:0:18.65,2530
'0:0:18.7,2459
'0:0:18.75,2484
'0:0:18.8,2525
'0:0:18.85,2522
'0:0:18.9,2480
'0:0:18.95,2431
'0:0:19.0,2402
'0:0:19.05,2398
'0:0:19.1,2398
'0:0:19.15,2443
'0:0:19.2,2528
