Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
52658	-48	-80	15552	-2.928	-4.880	948.672	-1504	
132286	-80	-32	15584	-4.880	-1.952	950.624	-1552	
211917	-64	-48	15568	-3.904	-2.928	949.648	-1536	
291547	-64	-32	15536	-3.904	-1.952	947.696	-1536	
371174	-32	-48	15600	-1.952	-2.928	951.600	-1536	
450805	-80	-16	15584	-4.880	-0.976	950.624	-1536	
530437	-16	-48	15536	-0.976	-2.928	947.696	-1488	
610066	-48	-32	15552	-2.928	-1.952	948.672	-1536	
689693	-80	-96	15520	-4.880	-5.856	946.720	-1552	
769325	-48	-96	15552	-2.928	-5.856	948.672	-1536	
848953	-48	-48	15552	-2.928	-2.928	948.672	-1536	
928583	-80	-32	15536	-4.880	-1.952	947.696	-1520	
1008213	-48	-48	15536	-2.928	-2.928	947.696	-1552	
1087842	-96	-32	15536	-5.856	-1.952	947.696	-1504	
1167467	-48	-48	15568	-2.928	-2.928	949.648	-1552	
1247098	-48	-32	15568	-2.928	-1.952	949.648	-1552	
1326725	-80	-80	15552	-4.880	-4.880	948.672	-1536	
1406351	-48	-80	15584	-2.928	-4.880	950.624	-1552	
1485978	-80	-80	15536	-4.880	-4.880	947.696	-1552	
1565606	-80	-32	15552	-4.880	-1.952	948.672	-1552	
1645236	-80	-48	15552	-4.880	-2.928	948.672	-1552	
1724866	-96	-32	15536	-5.856	-1.952	947.696	-1584	
1804492	-48	-64	15584	-2.928	-3.904	950.624	-1536	
1884127	-80	-48	15584	-4.880	-2.928	950.624	-1520	
1963754	-64	-64	15600	-3.904	-3.904	951.600	-1520	
2043381	-64	-112	15584	-3.904	-6.832	950.624	-1520	
2123008	-48	-96	15552	-2.928	-5.856	948.672	-1536	
2202634	-32	-32	15584	-1.952	-1.952	950.624	-1520	
2282262	-80	-48	15584	-4.880	-2.928	950.624	-1536	
2361885	-112	-16	15536	-6.832	-0.976	947.696	-1552	
2441507	-112	-64	15520	-6.832	-3.904	946.720	-1536	
2521135	-64	-32	15520	-3.904	-1.952	946.720	-1488	
2600757	-80	-48	15568	-4.880	-2.928	949.648	-1552	
2680383	-64	-64	15552	-3.904	-3.904	948.672	-1568	
2760007	-64	-32	15536	-3.904	-1.952	947.696	-1568	
2839629	-80	-48	15616	-4.880	-2.928	952.576	-1568	
2919254	-64	-48	15536	-3.904	-2.928	947.696	-1552	
2998878	-80	-32	15584	-4.880	-1.952	950.624	-1552	
3078504	-32	-48	15504	-1.952	-2.928	945.744	-1584	
3158132	-64	-80	15552	-3.904	-4.880	948.672	-1504	
3237756	-64	0	15536	-3.904	0.000	947.696	-1536	
3317383	-48	0	15552	-2.928	0.000	948.672	-1552	
3397006	-48	-16	15584	-2.928	-0.976	950.624	-1536	
3476628	-112	-64	15568	-6.832	-3.904	949.648	-1520	
3556252	-112	-64	15536	-6.832	-3.904	947.696	-1552	
3635881	-112	-32	15552	-6.832	-1.952	948.672	-1584	
3715507	-48	-80	15552	-2.928	-4.880	948.672	-1600	
3795133	-32	-80	15600	-1.952	-4.880	951.600	-1536	
3874759	-112	-16	15552	-6.832	-0.976	948.672	-1520	
3954387	-64	-96	15584	-3.904	-5.856	950.624	-1536	
4034014	-64	-32	15536	-3.904	-1.952	947.696	-1568	
