Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
3423	80	-240	16992	4.880	-14.640	1036.512	-256	
8413	64	-208	16960	3.904	-12.688	1034.560	-240	
13398	48	-176	16960	2.928	-10.736	1034.560	-272	
18386	112	-160	16992	6.832	-9.760	1036.512	-256	
23371	80	-176	16992	4.880	-10.736	1036.512	-208	
28358	144	-144	17008	8.784	-8.784	1037.488	-256	
33347	128	-112	17008	7.808	-6.832	1037.488	-240	
38334	112	-128	16944	6.832	-7.808	1033.584	-256	
43321	64	-80	17040	3.904	-4.880	1039.440	-256	
48309	128	-112	17056	7.808	-6.832	1040.416	-256	
53296	160	-144	17008	9.760	-8.784	1037.488	-272	
58282	112	-144	16944	6.832	-8.784	1033.584	-240	
63270	80	-160	16944	4.880	-9.760	1033.584	-256	
68257	48	-208	16960	2.928	-12.688	1034.560	-256	
73243	64	-192	17008	3.904	-11.712	1037.488	-272	
78230	64	-240	17008	3.904	-14.640	1037.488	-272	
83216	128	-192	17008	7.808	-11.712	1037.488	-224	
88202	144	-256	17024	8.784	-15.616	1038.464	-272	
93191	208	-256	16992	12.688	-15.616	1036.512	-240	
98178	208	-224	17072	12.688	-13.664	1041.392	-272	
103165	144	-256	17056	8.784	-15.616	1040.416	-208	
108152	144	-208	17024	8.784	-12.688	1038.464	-256	
113139	144	-256	16992	8.784	-15.616	1036.512	-256	
118126	112	-304	16960	6.832	-18.544	1034.560	-240	
123112	144	-256	17008	8.784	-15.616	1037.488	-272	
128099	96	-240	16944	5.856	-14.640	1033.584	-240	
133086	128	-256	17024	7.808	-15.616	1038.464	-256	
138073	128	-256	17072	7.808	-15.616	1041.392	-240	
143060	160	-256	17056	9.760	-15.616	1040.416	-256	
148047	144	-256	17056	8.784	-15.616	1040.416	-256	
153034	192	-256	17072	11.712	-15.616	1041.392	-256	
158022	144	-288	17056	8.784	-17.568	1040.416	-256	
163009	80	-208	17024	4.880	-12.688	1038.464	-256	
167996	112	-256	16992	6.832	-15.616	1036.512	-240	
172982	64	-208	16944	3.904	-12.688	1033.584	-256	
177968	128	-256	16992	7.808	-15.616	1036.512	-272	
182953	96	-256	17024	5.856	-15.616	1038.464	-272	
187942	112	-192	16976	6.832	-11.712	1035.536	-240	
192929	112	-176	17008	6.832	-10.736	1037.488	-256	
197916	128	-160	17072	7.808	-9.760	1041.392	-256	
202901	144	-112	17056	8.784	-6.832	1040.416	-272	
207889	144	-64	17056	8.784	-3.904	1040.416	-256	
212875	112	-160	17024	6.832	-9.760	1038.464	-240	
217860	64	-80	17008	3.904	-4.880	1037.488	-288	
222847	96	-144	17040	5.856	-8.784	1039.440	-272	
227834	112	-144	17008	6.832	-8.784	1037.488	-240	
232820	64	-160	17008	3.904	-9.760	1037.488	-224	
237807	16	-112	16992	0.976	-6.832	1036.512	-272	
242793	112	-112	16992	6.832	-6.832	1036.512	-256	
247777	80	-160	17008	4.880	-9.760	1037.488	-240	
252765	112	-192	16992	6.832	-11.712	1036.512	-240	
257752	96	-192	17056	5.856	-11.712	1040.416	-288	
262738	112	-192	17056	6.832	-11.712	1040.416	-256	
267726	96	-224	16992	5.856	-13.664	1036.512	-288	
272713	128	-256	17024	7.808	-15.616	1038.464	-272	
277699	96	-208	17008	5.856	-12.688	1037.488	-224	
282685	112	-192	16992	6.832	-11.712	1036.512	-288	
287672	112	-256	17024	6.832	-15.616	1038.464	-288	
292658	112	-240	16976	6.832	-14.640	1035.536	-272	
297644	112	-240	17008	6.832	-14.640	1037.488	-272	
302630	112	-224	17056	6.832	-13.664	1040.416	-256	
307616	112	-288	17008	6.832	-17.568	1037.488	-256	
312602	128	-192	17008	7.808	-11.712	1037.488	-256	
317589	144	-240	17056	8.784	-14.640	1040.416	-256	
322575	128	-256	17008	7.808	-15.616	1037.488	-256	
327562	96	-256	17008	5.856	-15.616	1037.488	-208	
332548	96	-208	17008	5.856	-12.688	1037.488	-272	
337534	160	-224	16992	9.760	-13.664	1036.512	-240	
342518	112	-192	16960	6.832	-11.712	1034.560	-224	
347506	64	-224	16976	3.904	-13.664	1035.536	-272	
352493	128	-224	17024	7.808	-13.664	1038.464	-240	
357480	128	-176	17040	7.808	-10.736	1039.440	-256	
362467	64	-224	16992	3.904	-13.664	1036.512	-272	
367453	96	-160	17008	5.856	-9.760	1037.488	-256	
372440	64	-144	17024	3.904	-8.784	1038.464	-256	
377427	96	-176	17024	5.856	-10.736	1038.464	-240	
382414	128	-192	17024	7.808	-11.712	1038.464	-256	
387401	64	-160	17024	3.904	-9.760	1038.464	-272	
392388	80	-176	17040	4.880	-10.736	1039.440	-272	
397374	64	-224	17056	3.904	-13.664	1040.416	-288	
402362	96	-160	17008	5.856	-9.760	1037.488	-224	
407347	64	-192	17024	3.904	-11.712	1038.464	-256	
