Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
3491	112	-256	17072	6.832	-15.616	1041.392	-512	
8477	144	-256	17024	8.784	-15.616	1038.464	-496	
13463	96	-224	17008	5.856	-13.664	1037.488	-528	
18452	128	-208	17024	7.808	-12.688	1038.464	-480	
23439	128	-208	16992	7.808	-12.688	1036.512	-480	
28427	80	-192	16960	4.880	-11.712	1034.560	-528	
33416	112	-208	17024	6.832	-12.688	1038.464	-448	
38403	112	-224	16976	6.832	-13.664	1035.536	-480	
43390	128	-240	17008	7.808	-14.640	1037.488	-496	
48377	128	-256	17024	7.808	-15.616	1038.464	-496	
53364	144	-192	16992	8.784	-11.712	1036.512	-464	
58351	96	-176	16992	5.856	-10.736	1036.512	-480	
63337	80	-192	17008	4.880	-11.712	1037.488	-496	
68325	80	-192	17024	4.880	-11.712	1038.464	-464	
73312	112	-192	17024	6.832	-11.712	1038.464	-496	
78299	96	-192	16944	5.856	-11.712	1033.584	-464	
83287	112	-224	16960	6.832	-13.664	1034.560	-448	
88273	96	-256	17024	5.856	-15.616	1038.464	-496	
93258	80	-256	17040	4.880	-15.616	1039.440	-464	
98246	128	-192	17008	7.808	-11.712	1037.488	-448	
103233	128	-192	17056	7.808	-11.712	1040.416	-448	
108221	96	-160	17056	5.856	-9.760	1040.416	-448	
113208	112	-192	17008	6.832	-11.712	1037.488	-448	
118194	128	-160	16960	7.808	-9.760	1034.560	-464	
123180	112	-176	17008	6.832	-10.736	1037.488	-416	
128168	96	-240	16960	5.856	-14.640	1034.560	-464	
133156	112	-240	17008	6.832	-14.640	1037.488	-464	
138143	96	-192	16960	5.856	-11.712	1034.560	-480	
143131	80	-240	16992	4.880	-14.640	1036.512	-464	
148118	128	-192	17008	7.808	-11.712	1037.488	-432	
153105	80	-224	17040	4.880	-13.664	1039.440	-512	
158092	96	-208	17056	5.856	-12.688	1040.416	-464	
163080	128	-240	17008	7.808	-14.640	1037.488	-448	
168068	144	-208	16976	8.784	-12.688	1035.536	-480	
173055	160	-224	16928	9.760	-13.664	1032.608	-464	
178041	96	-192	16976	5.856	-11.712	1035.536	-480	
183028	96	-160	16944	5.856	-9.760	1033.584	-448	
188014	128	-192	16992	7.808	-11.712	1036.512	-448	
193001	80	-176	17024	4.880	-10.736	1038.464	-464	
197988	96	-192	17008	5.856	-11.712	1037.488	-480	
202975	112	-240	16960	6.832	-14.640	1034.560	-480	
