Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
3626	96	-240	17008	5.856	-14.640	1037.488	-304	
8614	80	-256	17040	4.880	-15.616	1039.440	-352	
13602	96	-224	17088	5.856	-13.664	1042.368	-352	
18590	112	-224	17056	6.832	-13.664	1040.416	-368	
23578	144	-208	17056	8.784	-12.688	1040.416	-320	
28565	128	-208	17056	7.808	-12.688	1040.416	-320	
33550	96	-224	17040	5.856	-13.664	1039.440	-368	
38538	96	-224	17072	5.856	-13.664	1041.392	-368	
43527	80	-208	17024	4.880	-12.688	1038.464	-368	
48515	96	-256	17056	5.856	-15.616	1040.416	-352	
53502	80	-224	17072	4.880	-13.664	1041.392	-352	
58490	112	-192	17088	6.832	-11.712	1042.368	-336	
63477	64	-176	17008	3.904	-10.736	1037.488	-352	
68463	128	-224	17088	7.808	-13.664	1042.368	-336	
73450	80	-224	17040	4.880	-13.664	1039.440	-352	
78438	96	-208	17008	5.856	-12.688	1037.488	-336	
83427	112	-208	17024	6.832	-12.688	1038.464	-336	
88414	96	-256	17040	5.856	-15.616	1039.440	-336	
93402	96	-256	17072	5.856	-15.616	1041.392	-352	
98389	112	-224	16944	6.832	-13.664	1033.584	-368	
103377	96	-208	16960	5.856	-12.688	1034.560	-352	
108364	80	-240	16816	4.880	-14.640	1025.776	-384	
113353	80	-256	16848	4.880	-15.616	1027.728	-368	
118340	64	-256	16992	3.904	-15.616	1036.512	-384	
123328	64	-176	17264	3.904	-10.736	1053.104	-336	
128315	128	-176	17376	7.808	-10.736	1059.936	-368	
133598	144	-160	17296	8.784	-9.760	1055.056	-352	
138289	192	-80	17168	11.712	-4.880	1047.248	-384	
143278	176	-144	16976	10.736	-8.784	1035.536	-384	
148265	240	-192	16896	14.640	-11.712	1030.656	-368	
153252	96	-240	17024	5.856	-14.640	1038.464	-336	
158239	16	-240	17104	0.976	-14.640	1043.344	-336	
163227	-48	-224	16992	-2.928	-13.664	1036.512	-352	
168213	-64	-240	16976	-3.904	-14.640	1035.536	-368	
173201	-16	-176	16992	-0.976	-10.736	1036.512	-368	
178190	96	-128	16992	5.856	-7.808	1036.512	-384	
183178	176	-176	17040	10.736	-10.736	1039.440	-384	
188165	160	-160	17104	9.760	-9.760	1043.344	-352	
193153	144	-224	17072	8.784	-13.664	1041.392	-352	
198141	128	-208	17056	7.808	-12.688	1040.416	-352	
203128	64	-176	17056	3.904	-10.736	1040.416	-352	
208115	80	-240	16992	4.880	-14.640	1036.512	-336	
213102	32	-224	17024	1.952	-13.664	1038.464	-368	
218090	96	-240	17024	5.856	-14.640	1038.464	-320	
223077	80	-240	16960	4.880	-14.640	1034.560	-352	
228064	144	-176	16976	8.784	-10.736	1035.536	-352	
233051	64	-208	17024	3.904	-12.688	1038.464	-352	
238038	32	-192	17104	1.952	-11.712	1043.344	-368	
243026	112	-176	17120	6.832	-10.736	1044.320	-336	
248014	112	-160	17072	6.832	-9.760	1041.392	-320	
253002	112	-160	17008	6.832	-9.760	1037.488	-352	
257989	128	-192	17056	7.808	-11.712	1040.416	-352	
262975	80	-224	17024	4.880	-13.664	1038.464	-368	
267964	48	-192	17024	2.928	-11.712	1038.464	-352	
272951	32	-240	16960	1.952	-14.640	1034.560	-352	
277938	112	-256	17024	6.832	-15.616	1038.464	-368	
282927	16	-224	16992	0.976	-13.664	1036.512	-368	
287914	96	-192	17056	5.856	-11.712	1040.416	-352	
292901	112	-192	17056	6.832	-11.712	1040.416	-320	
297889	144	-144	17056	8.784	-8.784	1040.416	-336	
302876	96	-176	17056	5.856	-10.736	1040.416	-336	
307863	96	-192	17088	5.856	-11.712	1042.368	-320	
312850	48	-256	17072	2.928	-15.616	1041.392	-352	
317837	128	-208	17024	7.808	-12.688	1038.464	-352	
322825	64	-192	17056	3.904	-11.712	1040.416	-352	
327812	64	-192	17056	3.904	-11.712	1040.416	-336	
332799	32	-256	17024	1.952	-15.616	1038.464	-352	
337787	64	-192	17072	3.904	-11.712	1041.392	-336	
342775	64	-208	17008	3.904	-12.688	1037.488	-336	
347763	112	-240	17008	6.832	-14.640	1037.488	-336	
352751	64	-192	17040	3.904	-11.712	1039.440	-320	
357739	112	-240	17024	6.832	-14.640	1038.464	-352	
362725	160	-224	17072	9.760	-13.664	1041.392	-368	
367714	128	-224	17152	7.808	-13.664	1046.272	-336	
372701	112	-192	16992	6.832	-11.712	1036.512	-352	
377689	64	-176	16944	3.904	-10.736	1033.584	-352	
382677	48	-224	16928	2.928	-13.664	1032.608	-336	
387664	0	-240	16960	0.000	-14.640	1034.560	-352	
392651	48	-208	17120	2.928	-12.688	1044.320	-368	
397638	48	-240	17024	2.928	-14.640	1038.464	-320	
402625	128	-160	17088	7.808	-9.760	1042.368	-336	
407610	160	-192	17104	9.760	-11.712	1043.344	-352	
412600	176	-176	17104	10.736	-10.736	1043.344	-368	
417588	112	-112	17104	6.832	-6.832	1043.344	-368	
422573	80	-208	17056	4.880	-12.688	1040.416	-352	
427562	80	-256	17056	4.880	-15.616	1040.416	-368	
432550	48	-256	16992	2.928	-15.616	1036.512	-352	
437537	16	-224	16928	0.976	-13.664	1032.608	-336	
442526	48	-240	16944	2.928	-14.640	1033.584	-320	
447513	128	-224	17088	7.808	-13.664	1042.368	-336	
452500	96	-176	17024	5.856	-10.736	1038.464	-336	
457485	144	-144	17072	8.784	-8.784	1041.392	-352	
462474	128	-208	17072	7.808	-12.688	1041.392	-336	
467463	32	-192	17040	1.952	-11.712	1039.440	-336	
472450	128	-256	17008	7.808	-15.616	1037.488	-368	
477437	64	-240	17024	3.904	-14.640	1038.464	-368	
482424	64	-256	17056	3.904	-15.616	1040.416	-352	
487410	48	-208	17040	2.928	-12.688	1039.440	-336	
492398	80	-192	16976	4.880	-11.712	1035.536	-352	
497386	48	-224	17008	2.928	-13.664	1037.488	-336	
502373	80	-256	17072	4.880	-15.616	1041.392	-352	
507359	144	-208	17088	8.784	-12.688	1042.368	-352	
512346	112	-192	17056	6.832	-11.712	1040.416	-336	
517334	128	-176	17008	7.808	-10.736	1037.488	-336	
522320	96	-224	17072	5.856	-13.664	1041.392	-368	
527310	112	-208	17056	6.832	-12.688	1040.416	-352	
532297	64	-208	17040	3.904	-12.688	1039.440	-336	
537284	80	-224	17056	4.880	-13.664	1040.416	-336	
542271	64	-208	17024	3.904	-12.688	1038.464	-368	
547258	96	-160	17056	5.856	-9.760	1040.416	-336	
552244	96	-208	17008	5.856	-12.688	1037.488	-352	
557231	48	-224	17024	2.928	-13.664	1038.464	-304	
562218	64	-224	17008	3.904	-13.664	1037.488	-320	
567205	64	-208	17056	3.904	-12.688	1040.416	-352	
572192	112	-240	17072	6.832	-14.640	1041.392	-320	
577179	32	-224	17072	1.952	-13.664	1041.392	-320	
582171	64	-224	17056	3.904	-13.664	1040.416	-336	
587153	48	-192	17040	2.928	-11.712	1039.440	-352	
592141	80	-224	17008	4.880	-13.664	1037.488	-384	
597128	96	-192	17024	5.856	-11.712	1038.464	-336	
602116	48	-192	17040	2.928	-11.712	1039.440	-384	
607103	16	-224	17008	0.976	-13.664	1037.488	-384	
612091	112	-160	17072	6.832	-9.760	1041.392	-368	
617077	96	-160	17072	5.856	-9.760	1041.392	-352	
622063	64	-192	16992	3.904	-11.712	1036.512	-320	
627051	112	-144	17024	6.832	-8.784	1038.464	-304	
632038	144	-256	17008	8.784	-15.616	1037.488	-320	
637024	80	-192	17008	4.880	-11.712	1037.488	-320	
642011	32	-176	17024	1.952	-10.736	1038.464	-336	
646997	112	-256	17056	6.832	-15.616	1040.416	-336	
651984	48	-192	17056	2.928	-11.712	1040.416	-320	
656972	48	-224	17056	2.928	-13.664	1040.416	-368	
661957	112	-208	17056	6.832	-12.688	1040.416	-352	
666947	128	-176	17040	7.808	-10.736	1039.440	-336	
671935	48	-208	17072	2.928	-12.688	1041.392	-336	
676923	80	-224	17024	4.880	-13.664	1038.464	-320	
681910	128	-224	17088	7.808	-13.664	1042.368	-352	
686899	112	-240	17008	6.832	-14.640	1037.488	-336	
691886	96	-208	17072	5.856	-12.688	1041.392	-368	
696873	96	-208	17024	5.856	-12.688	1038.464	-368	
701860	96	-224	17024	5.856	-13.664	1038.464	-336	
706847	80	-256	16992	4.880	-15.616	1036.512	-384	
711832	112	-240	17024	6.832	-14.640	1038.464	-352	
716822	32	-160	17056	1.952	-9.760	1040.416	-368	
721810	64	-240	17024	3.904	-14.640	1038.464	-336	
726798	112	-208	17040	6.832	-12.688	1039.440	-336	
731785	80	-224	17008	4.880	-13.664	1037.488	-336	
736773	80	-208	17008	4.880	-12.688	1037.488	-352	
741760	128	-256	17040	7.808	-15.616	1039.440	-336	
746746	80	-192	16992	4.880	-11.712	1036.512	-368	
751735	112	-160	17024	6.832	-9.760	1038.464	-336	
756722	128	-192	17008	7.808	-11.712	1037.488	-336	
761707	64	-240	17040	3.904	-14.640	1039.440	-368	
766695	80	-224	17056	4.880	-13.664	1040.416	-352	
771682	32	-192	17040	1.952	-11.712	1039.440	-384	
776669	96	-208	17056	5.856	-12.688	1040.416	-368	
781657	112	-192	17024	6.832	-11.712	1038.464	-352	
786645	64	-176	17008	3.904	-10.736	1037.488	-352	
791632	128	-192	17024	7.808	-11.712	1038.464	-336	
796619	128	-224	16992	7.808	-13.664	1036.512	-368	
801606	96	-176	16992	5.856	-10.736	1036.512	-352	
806591	144	-192	16992	8.784	-11.712	1036.512	-384	
811579	112	-224	17024	6.832	-13.664	1038.464	-368	
816567	96	-224	17024	5.856	-13.664	1038.464	-400	
821553	64	-176	17024	3.904	-10.736	1038.464	-384	
826540	80	-256	17072	4.880	-15.616	1041.392	-368	
831526	112	-224	17008	6.832	-13.664	1037.488	-368	
836513	96	-208	17056	5.856	-12.688	1040.416	-368	
841500	80	-176	16992	4.880	-10.736	1036.512	-352	
846487	80	-208	17056	4.880	-12.688	1040.416	-368	
851475	80	-192	16992	4.880	-11.712	1036.512	-368	
856463	96	-176	17024	5.856	-10.736	1038.464	-352	
861447	96	-192	17008	5.856	-11.712	1037.488	-368	
866438	112	-208	17024	6.832	-12.688	1038.464	-384	
871425	112	-160	17008	6.832	-9.760	1037.488	-352	
876412	96	-192	17008	5.856	-11.712	1037.488	-352	
881399	128	-160	17008	7.808	-9.760	1037.488	-320	
886387	48	-224	16976	2.928	-13.664	1035.536	-352	
891374	64	-256	17024	3.904	-15.616	1038.464	-320	
896361	64	-224	17040	3.904	-13.664	1039.440	-352	
901348	96	-208	17056	5.856	-12.688	1040.416	-352	
906334	112	-208	16992	6.832	-12.688	1036.512	-336	
911322	80	-176	17040	4.880	-10.736	1039.440	-320	
916311	112	-176	17040	6.832	-10.736	1039.440	-352	
921298	128	-208	17056	7.808	-12.688	1040.416	-352	
926285	64	-224	17072	3.904	-13.664	1041.392	-352	
931273	128	-176	16992	7.808	-10.736	1036.512	-352	
936260	128	-224	17040	7.808	-13.664	1039.440	-320	
941247	80	-192	17040	4.880	-11.712	1039.440	-368	
946235	80	-208	16992	4.880	-12.688	1036.512	-368	
951223	64	-240	17024	3.904	-14.640	1038.464	-336	
956210	32	-224	17056	1.952	-13.664	1040.416	-320	
961197	96	-224	17056	5.856	-13.664	1040.416	-320	
966183	80	-240	17056	4.880	-14.640	1040.416	-368	
971171	128	-192	16976	7.808	-11.712	1035.536	-352	
976159	64	-208	17008	3.904	-12.688	1037.488	-304	
981147	64	-176	16992	3.904	-10.736	1036.512	-368	
986135	96	-224	17040	5.856	-13.664	1039.440	-352	
991123	112	-224	17056	6.832	-13.664	1040.416	-384	
996111	48	-176	17024	2.928	-10.736	1038.464	-368	
1001098	80	-256	17040	4.880	-15.616	1039.440	-336	
1006086	64	-208	17072	3.904	-12.688	1041.392	-336	
1011074	64	-192	17056	3.904	-11.712	1040.416	-352	
1016062	48	-224	17040	2.928	-13.664	1039.440	-320	
1021050	96	-208	17024	5.856	-12.688	1038.464	-336	
1026037	80	-176	17056	4.880	-10.736	1040.416	-352	
1031023	32	-192	17008	1.952	-11.712	1037.488	-304	
1036010	32	-208	17008	1.952	-12.688	1037.488	-336	
1040999	112	-192	17008	6.832	-11.712	1037.488	-320	
1045987	80	-192	17008	4.880	-11.712	1037.488	-336	
1050974	80	-192	17056	4.880	-11.712	1040.416	-336	
1055962	96	-176	17072	5.856	-10.736	1041.392	-336	
1060949	80	-208	17040	4.880	-12.688	1039.440	-352	
1065935	80	-144	17024	4.880	-8.784	1038.464	-320	
1070923	128	-144	17040	7.808	-8.784	1039.440	-336	
1075910	80	-256	17024	4.880	-15.616	1038.464	-368	
