Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
12787	16	144	15488	0.976	8.784	944.768	-1200	
52590	352	160	15600	21.472	9.760	951.600	-576	
92399	560	192	15600	34.160	11.712	951.600	-704	
132207	288	192	15424	17.568	11.712	940.864	-928	
172013	64	128	15600	3.904	7.808	951.600	-1104	
211816	384	144	15568	23.424	8.784	949.648	-1360	
251623	544	160	15584	33.184	9.760	950.624	-736	
291431	304	112	15568	18.544	6.832	949.648	-832	
331237	160	160	15456	9.760	9.760	942.816	-624	
371045	352	112	15568	21.472	6.832	949.648	-720	
410852	352	160	15616	21.472	9.760	952.576	-1280	
450661	288	176	15536	17.568	10.736	947.696	-1280	
490467	224	80	15520	13.664	4.880	946.720	-928	
530272	288	144	15616	17.568	8.784	952.576	-1168	
570080	384	144	15648	23.424	8.784	954.528	-656	
609884	320	144	15536	19.520	8.784	947.696	-1296	
649691	224	144	15488	13.664	8.784	944.768	-608	
689498	320	128	15536	19.520	7.808	947.696	-800	
729303	336	128	15568	20.496	7.808	949.648	-1232	
769106	320	160	15536	19.520	9.760	947.696	-560	
808910	256	160	15488	15.616	9.760	944.768	-784	
848716	336	192	15520	20.496	11.712	946.720	-944	
888522	352	128	15568	21.472	7.808	949.648	-1104	
928329	304	144	15504	18.544	8.784	945.744	-1376	
968132	272	160	15536	16.592	9.760	947.696	-720	
1007938	288	128	15584	17.568	7.808	950.624	-816	
1047742	304	160	15568	18.544	9.760	949.648	-592	
1087548	352	112	15584	21.472	6.832	950.624	-704	
1127354	272	144	15552	16.592	8.784	948.672	-1280	
1167162	256	160	15552	15.616	9.760	948.672	-1328	
1206969	320	112	15552	19.520	6.832	948.672	-1168	
1246777	320	176	15520	19.520	10.736	946.720	-1152	
1286585	272	160	15584	16.592	9.760	950.624	-640	
1326393	336	112	15584	20.496	6.832	950.624	-1312	
1366202	320	144	15568	19.520	8.784	949.648	-688	
1406012	320	144	15552	19.520	8.784	948.672	-800	
1445821	304	208	15520	18.544	12.688	946.720	-1200	
1485631	320	128	15520	19.520	7.808	946.720	-624	
1525438	272	144	15536	16.592	8.784	947.696	-816	
1565245	288	144	15536	17.568	8.784	947.696	-944	
1605053	304	128	15520	18.544	7.808	946.720	-1040	
1644862	288	208	15504	17.568	12.688	945.744	-1328	
1684669	256	176	15584	15.616	10.736	950.624	-736	
1724478	304	112	15600	18.544	6.832	951.600	-848	
1764286	320	160	15584	19.520	9.760	950.624	-512	
1804094	320	128	15568	19.520	7.808	949.648	-688	
1843900	272	144	15568	16.592	8.784	949.648	-1296	
1883710	352	112	15568	21.472	6.832	949.648	-1344	
1923518	304	144	15536	18.544	8.784	947.696	-1232	
1963325	256	160	15552	15.616	9.760	948.672	-1184	
2003131	304	144	15584	18.544	8.784	950.624	-608	
2042937	304	160	15552	18.544	9.760	948.672	-1280	
2082745	304	144	15616	18.544	8.784	952.576	-704	
2122553	320	112	15552	19.520	6.832	948.672	-784	
2162359	288	144	15536	17.568	8.784	947.696	-1168	
2202168	256	176	15584	15.616	10.736	950.624	-592	
2241977	304	176	15584	18.544	10.736	950.624	-896	
2281788	320	128	15536	19.520	7.808	947.696	-944	
2321595	304	176	15536	18.544	10.736	947.696	-1008	
2361401	288	144	15552	17.568	8.784	948.672	-1328	
2401206	272	128	15536	16.592	7.808	947.696	-704	
2441017	272	192	15536	16.592	11.712	947.696	-832	
2480828	288	208	15488	17.568	12.688	944.768	-544	
2520636	272	32	15616	16.592	1.952	952.576	-752	
2560446	320	144	15648	19.520	8.784	954.528	-1312	
2600253	368	192	15584	22.448	11.712	950.624	-1264	
2640060	320	144	15520	19.520	8.784	946.720	-1104	
2679867	288	64	15584	17.568	3.904	950.624	-1120	
2719674	320	128	15552	19.520	7.808	948.672	-656	
2759479	320	160	15552	19.520	9.760	948.672	-1296	
2799284	240	208	15584	14.640	12.688	950.624	-736	
2839090	240	128	15536	14.640	7.808	947.696	-784	
2878896	320	160	15552	19.520	9.760	948.672	-1168	
2918701	336	176	15584	20.496	10.736	950.624	-592	
2958509	272	128	15600	16.592	7.808	951.600	-928	
2998312	288	176	15520	17.568	10.736	946.720	-912	
3038117	320	112	15568	19.520	6.832	949.648	-1008	
3077924	304	112	15552	18.544	6.832	948.672	-1360	
3117734	288	192	15584	17.568	11.712	950.624	-688	
3157544	240	224	15520	14.640	13.664	946.720	-864	
3197351	272	208	15536	16.592	12.688	947.696	-608	
3237158	304	80	15616	18.544	4.880	952.576	-720	
3276967	304	128	15552	18.544	7.808	948.672	-1312	
3316773	304	192	15584	18.544	11.712	950.624	-1264	
3356579	272	160	15600	16.592	9.760	951.600	-1088	
3396388	288	176	15536	17.568	10.736	947.696	-1136	
3436196	288	64	15648	17.568	3.904	954.528	-624	
3476007	288	160	15552	17.568	9.760	948.672	-1296	
3515814	288	176	15488	17.568	10.736	944.768	-736	
3555618	352	192	15600	21.472	11.712	951.600	-800	
3595424	352	96	15552	21.472	5.856	948.672	-1168	
3635232	320	112	15584	19.520	6.832	950.624	-624	
3675038	256	176	15536	15.616	10.736	947.696	-944	
3714844	336	160	15552	20.496	9.760	948.672	-912	
3754649	304	112	15584	18.544	6.832	950.624	-992	
3794455	272	128	15536	16.592	7.808	947.696	-1344	
3834262	304	96	15648	18.544	5.856	954.528	-672	
3874068	368	112	15552	22.448	6.832	948.672	-880	
3913877	352	192	15504	21.472	11.712	945.744	-592	
3953684	272	160	15584	16.592	9.760	950.624	-768	
3993493	320	160	15520	19.520	9.760	946.720	-1344	
4033301	304	112	15648	18.544	6.832	954.528	-1248	
4073106	304	144	15648	18.544	8.784	954.528	-1008	
4112913	288	208	15568	17.568	12.688	949.648	-1168	
4152721	304	160	15552	18.544	9.760	948.672	-592	
4192529	336	144	15520	20.496	8.784	946.720	-1312	
4232339	320	128	15488	19.520	7.808	944.768	-752	
4272148	320	160	15584	19.520	9.760	950.624	-784	
4311957	320	144	15520	19.520	8.784	946.720	-1184	
4351765	256	176	15584	15.616	10.736	950.624	-592	
4391574	304	144	15536	18.544	8.784	947.696	-992	
4431382	304	128	15536	18.544	7.808	947.696	-896	
4471189	288	128	15552	17.568	7.808	948.672	-960	
4510996	336	144	15600	20.496	8.784	951.600	-1296	
4550802	320	128	15568	19.520	7.808	949.648	-672	
4590610	304	144	15600	18.544	8.784	951.600	-864	
4630416	272	208	15520	16.592	12.688	946.720	-624	
4670219	272	160	15616	16.592	9.760	952.576	-784	
4710025	304	112	15552	18.544	6.832	948.672	-1312	
4749832	272	144	15536	16.592	8.784	947.696	-1232	
4789638	256	144	15520	15.616	8.784	946.720	-1008	
4829446	272	176	15520	16.592	10.736	946.720	-1152	
4869252	272	112	15600	16.592	6.832	951.600	-624	
4909055	336	96	15584	20.496	5.856	950.624	-1328	
4948860	304	144	15568	18.544	8.784	949.648	-816	
4988665	288	208	15552	17.568	12.688	948.672	-768	
5028472	288	160	15600	17.568	9.760	951.600	-1168	
5068277	288	144	15584	17.568	8.784	950.624	-576	
5108084	336	48	15520	20.496	2.928	946.720	-960	
5147890	288	160	15584	17.568	9.760	950.624	-928	
5187694	304	160	15616	18.544	9.760	952.576	-944	
5227497	320	160	15568	19.520	9.760	949.648	-1296	
5267303	320	96	15536	19.520	5.856	947.696	-672	
5307108	320	144	15584	19.520	8.784	950.624	-864	
5346912	352	176	15520	21.472	10.736	946.720	-592	
5386716	272	160	15536	16.592	9.760	947.696	-800	
5426521	272	128	15600	16.592	7.808	951.600	-1296	
5466327	304	192	15520	18.544	11.712	946.720	-1184	
5506133	256	112	15568	15.616	6.832	949.648	-976	
5545939	320	144	15568	19.520	8.784	949.648	-1136	
5585742	320	144	15520	19.520	8.784	946.720	-640	
5625546	336	144	15536	20.496	8.784	947.696	-1296	
5665353	288	144	15600	17.568	8.784	951.600	-768	
5705158	352	128	15552	21.472	7.808	948.672	-800	
5744965	320	160	15520	19.520	9.760	946.720	-1216	
5784772	320	128	15552	19.520	7.808	948.672	-576	
5824579	320	128	15552	19.520	7.808	948.672	-928	
5864383	288	176	15584	17.568	10.736	950.624	-912	
5904189	304	192	15600	18.544	11.712	951.600	-992	
5943996	288	192	15552	17.568	11.712	948.672	-1344	
5983804	288	112	15536	17.568	6.832	947.696	-672	
6023613	272	112	15488	16.592	6.832	944.768	-864	
