Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
3779	-336	-400	16992	-20.496	-24.400	1036.512	-624	
8766	-368	-432	17056	-22.448	-26.352	1040.416	-640	
13753	-368	-464	16960	-22.448	-28.304	1034.560	-624	
18740	-352	-432	16976	-21.472	-26.352	1035.536	-576	
23726	-400	-464	16960	-24.400	-28.304	1034.560	-592	
28713	-384	-384	17024	-23.424	-23.424	1038.464	-608	
33700	-320	-384	17008	-19.520	-23.424	1037.488	-624	
38687	-416	-368	16992	-25.376	-22.448	1036.512	-592	
43673	-400	-448	16960	-24.400	-27.328	1034.560	-576	
48661	-368	-384	16992	-22.448	-23.424	1036.512	-592	
53647	-368	-416	16992	-22.448	-25.376	1036.512	-608	
58633	-320	-416	16960	-19.520	-25.376	1034.560	-592	
63618	-384	-400	16960	-23.424	-24.400	1034.560	-592	
68603	-352	-432	16960	-21.472	-26.352	1034.560	-592	
73590	-384	-480	17056	-23.424	-29.280	1040.416	-624	
78576	-384	-400	16992	-23.424	-24.400	1036.512	-640	
83563	-384	-400	16992	-23.424	-24.400	1036.512	-608	
88549	-368	-480	16992	-22.448	-29.280	1036.512	-608	
93536	-416	-480	16992	-25.376	-29.280	1036.512	-608	
98523	-384	-416	16992	-23.424	-25.376	1036.512	-640	
103509	-352	-416	16960	-21.472	-25.376	1034.560	-608	
108495	-368	-480	16992	-22.448	-29.280	1036.512	-608	
113481	-368	-464	16992	-22.448	-28.304	1036.512	-608	
118467	-416	-448	16976	-25.376	-27.328	1035.536	-608	
123453	-400	-496	16992	-24.400	-30.256	1036.512	-608	
128440	-304	-432	16992	-18.544	-26.352	1036.512	-608	
133425	-352	-432	16992	-21.472	-26.352	1036.512	-624	
138412	-352	-448	17024	-21.472	-27.328	1038.464	-624	
143397	-400	-416	17024	-24.400	-25.376	1038.464	-544	
148384	-400	-432	17024	-24.400	-26.352	1038.464	-608	
153370	-368	-464	16928	-22.448	-28.304	1032.608	-624	
158356	-384	-480	17024	-23.424	-29.280	1038.464	-592	
163342	-496	-288	16880	-30.256	-17.568	1029.680	-592	
168330	-448	-400	16864	-27.328	-24.400	1028.704	-592	
173316	-304	-480	16976	-18.544	-29.280	1035.536	-592	
178303	-272	-432	17088	-16.592	-26.352	1042.368	-608	
183290	-304	-448	17056	-18.544	-27.328	1040.416	-592	
188277	-336	-400	17056	-20.496	-24.400	1040.416	-608	
193262	-320	-464	17024	-19.520	-28.304	1038.464	-608	
198251	-416	-368	17008	-25.376	-22.448	1037.488	-576	
203235	-448	-384	16976	-27.328	-23.424	1035.536	-592	
208224	-400	-480	16944	-24.400	-29.280	1033.584	-576	
213210	-352	-448	16912	-21.472	-27.328	1031.632	-608	
218197	-384	-400	16992	-23.424	-24.400	1036.512	-592	
223184	-400	-464	16976	-24.400	-28.304	1035.536	-624	
228170	-352	-368	17008	-21.472	-22.448	1037.488	-592	
233157	-272	-448	17120	-16.592	-27.328	1044.320	-608	
238143	-320	-448	17120	-19.520	-27.328	1044.320	-640	
243131	-400	-448	17008	-24.400	-27.328	1037.488	-592	
248117	-400	-496	16944	-24.400	-30.256	1033.584	-624	
253104	-416	-400	16848	-25.376	-24.400	1027.728	-624	
258088	-416	-480	16912	-25.376	-29.280	1031.632	-608	
263074	-480	-368	16944	-29.280	-22.448	1033.584	-624	
268060	-416	-448	16976	-25.376	-27.328	1035.536	-624	
273048	-320	-432	16960	-19.520	-26.352	1034.560	-592	
278035	-352	-496	17056	-21.472	-30.256	1040.416	-608	
283021	-320	-416	17024	-19.520	-25.376	1038.464	-608	
288008	-336	-448	17040	-20.496	-27.328	1039.440	-576	
292994	-272	-544	17040	-16.592	-33.184	1039.440	-576	
297982	-496	-400	17008	-30.256	-24.400	1037.488	-592	
302967	-672	-480	16848	-40.992	-29.280	1027.728	-624	
307953	-464	-400	16784	-28.304	-24.400	1023.824	-608	
312939	-416	-480	16896	-25.376	-29.280	1030.656	-592	
317926	-400	-528	16864	-24.400	-32.208	1028.704	-576	
322912	-304	-384	17024	-18.544	-23.424	1038.464	-608	
327900	-272	-480	17344	-16.592	-29.280	1057.984	-624	
332887	-160	-448	17072	-9.760	-27.328	1041.392	-592	
337874	-240	-464	17152	-14.640	-28.304	1046.272	-608	
342861	-352	-448	17184	-21.472	-27.328	1048.224	-624	
347848	-368	-400	16864	-22.448	-24.400	1028.704	-624	
352834	-336	-464	16816	-20.496	-28.304	1025.776	-608	
357820	-528	-432	16912	-32.208	-26.352	1031.632	-608	
362805	-416	-320	16928	-25.376	-19.520	1032.608	-560	
367792	-320	-480	16976	-19.520	-29.280	1035.536	-592	
372779	-240	-432	17184	-14.640	-26.352	1048.224	-576	
377764	-224	-496	17168	-13.664	-30.256	1047.248	-560	
382751	-208	-448	17168	-12.688	-27.328	1047.248	-544	
387736	-224	-432	17184	-13.664	-26.352	1048.224	-576	
392723	-304	-448	17088	-18.544	-27.328	1042.368	-560	
397709	-416	-464	16976	-25.376	-28.304	1035.536	-576	
402696	-496	-336	16896	-30.256	-20.496	1030.656	-576	
407682	-528	-400	16784	-32.208	-24.400	1023.824	-592	
412668	-544	-464	16752	-33.184	-28.304	1021.872	-608	
417653	-528	-416	16816	-32.208	-25.376	1025.776	-592	
422641	-480	-512	16864	-29.280	-31.232	1028.704	-624	
427626	-384	-400	16960	-23.424	-24.400	1034.560	-592	
432614	-288	-416	17008	-17.568	-25.376	1037.488	-624	
437600	-288	-496	17136	-17.568	-30.256	1045.296	-608	
442586	-272	-384	17184	-16.592	-23.424	1048.224	-608	
447573	-272	-464	17120	-16.592	-28.304	1044.320	-624	
452559	-256	-448	17056	-15.616	-27.328	1040.416	-640	
457546	-352	-416	17056	-21.472	-25.376	1040.416	-608	
462532	-384	-368	16992	-23.424	-22.448	1036.512	-560	
467518	-416	-480	16880	-25.376	-29.280	1029.680	-592	
472505	-480	-448	16944	-29.280	-27.328	1033.584	-608	
477492	-416	-432	16896	-25.376	-26.352	1030.656	-592	
482477	-400	-368	16912	-24.400	-22.448	1031.632	-608	
487464	-304	-496	16992	-18.544	-30.256	1036.512	-592	
492450	-352	-496	17040	-21.472	-30.256	1039.440	-608	
497436	-320	-384	17088	-19.520	-23.424	1042.368	-608	
502421	-368	-416	17008	-22.448	-25.376	1037.488	-576	
507407	-320	-416	16992	-19.520	-25.376	1036.512	-608	
512394	-336	-432	17056	-20.496	-26.352	1040.416	-608	
517380	-368	-416	17072	-22.448	-25.376	1041.392	-608	
