Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
4223	-1264	112	16240	-77.104	6.832	990.640	-1024	
9226	-1472	336	16256	-89.792	20.496	991.616	-992	
14227	-1600	496	16224	-97.600	30.256	989.664	-1008	
19228	-1728	688	16256	-105.408	41.968	991.616	-1024	
24228	-1904	784	16320	-116.144	47.824	995.520	-992	
29228	-1936	896	16320	-118.096	54.656	995.520	-1024	
34228	-1904	832	16352	-116.144	50.752	997.472	-1008	
39229	-1856	816	16288	-113.216	49.776	993.568	-992	
44229	-1808	640	16256	-110.288	39.040	991.616	-1040	
49229	-1632	560	16224	-99.552	34.160	989.664	-1008	
54230	-1600	384	16272	-97.600	23.424	992.592	-1008	
59229	-1376	192	16208	-83.936	11.712	988.688	-976	
64231	-1248	80	16128	-76.128	4.880	983.808	-1008	
69231	-1040	-80	16160	-63.440	-4.880	985.760	-1024	
74231	-864	-112	16224	-52.704	-6.832	989.664	-992	
79231	-656	-224	16224	-40.016	-13.664	989.664	-1024	
84232	-512	-256	16192	-31.232	-15.616	987.712	-992	
89234	-384	-176	16224	-23.424	-10.736	989.664	-992	
94234	-368	-208	16224	-22.448	-12.688	989.664	-1008	
99234	-240	-48	16208	-14.640	-2.928	988.688	-1024	
104234	-240	64	16128	-14.640	3.904	983.808	-992	
109234	-256	208	16128	-15.616	12.688	983.808	-992	
114234	-272	352	16144	-16.592	21.472	984.784	-1008	
119234	-368	416	16144	-22.448	25.376	984.784	-1024	
124235	-432	640	16192	-26.352	39.040	987.712	-1024	
129236	-544	752	16256	-33.184	45.872	991.616	-1056	
134236	-608	848	16224	-37.088	51.728	989.664	-1040	
139237	-656	816	16304	-40.016	49.776	994.544	-1056	
144237	-768	752	16256	-46.848	45.872	991.616	-1024	
149237	-896	704	16224	-54.656	42.944	989.664	-1024	
154238	-1024	656	16240	-62.464	40.016	990.640	-1024	
159239	-1120	528	16208	-68.320	32.208	988.688	-992	
164240	-1120	512	16240	-68.320	31.232	990.640	-976	
169240	-1184	336	16288	-72.224	20.496	993.568	-992	
174241	-1120	224	16272	-68.320	13.664	992.592	-1008	
179241	-1152	160	16288	-70.272	9.760	993.568	-992	
184240	-1216	32	16256	-74.176	1.952	991.616	-992	
189241	-1024	16	16192	-62.464	0.976	987.712	-1024	
194241	-1104	-32	16224	-67.344	-1.952	989.664	-1024	
199244	-960	0	16208	-58.560	0.000	988.688	-1008	
204245	-1008	48	16176	-61.488	2.928	986.736	-1024	
209245	-992	64	16144	-60.512	3.904	984.784	-1008	
214245	-944	64	16144	-57.584	3.904	984.784	-1008	
219246	-944	160	16128	-57.584	9.760	983.808	-1024	
224247	-896	208	16224	-54.656	12.688	989.664	-1040	
229247	-848	320	16224	-51.728	19.520	989.664	-1040	
234246	-832	352	16192	-50.752	21.472	987.712	-1008	
239245	-864	416	16208	-52.704	25.376	988.688	-1008	
244245	-928	528	16224	-56.608	32.208	989.664	-1024	
249246	-976	448	16272	-59.536	27.328	992.592	-1008	
254247	-1040	448	16272	-63.440	27.328	992.592	-1024	
259248	-1056	416	16256	-64.416	25.376	991.616	-1024	
264248	-1056	400	16256	-64.416	24.400	991.616	-1040	
269247	-1040	416	16224	-63.440	25.376	989.664	-1040	
274248	-960	416	16256	-58.560	25.376	991.616	-1024	
279248	-880	432	16240	-53.680	26.352	990.640	-1040	
284250	-912	288	16208	-55.632	17.568	988.688	-992	
289251	-960	256	16224	-58.560	15.616	989.664	-976	
294253	-1024	144	16224	-62.464	8.784	989.664	-1008	
299256	-1008	64	16192	-61.488	3.904	987.712	-1040	
304258	-1008	112	16128	-61.488	6.832	983.808	-1024	
309260	-1008	48	16144	-61.488	2.928	984.784	-1040	
314263	-912	-16	16160	-55.632	-0.976	985.760	-1040	
319265	-912	32	16160	-55.632	1.952	985.760	-1024	
324267	-1024	0	16192	-62.464	0.000	987.712	-1024	
329268	-1072	64	16176	-65.392	3.904	986.736	-992	
334270	-1152	64	16224	-70.272	3.904	989.664	-1024	
339272	-1072	80	16192	-65.392	4.880	987.712	-1056	
344275	-1120	192	16240	-68.320	11.712	990.640	-1056	
349277	-1104	240	16256	-67.344	14.640	991.616	-1040	
354277	-1072	336	16256	-65.392	20.496	991.616	-992	
359277	-992	432	16272	-60.512	26.352	992.592	-1040	
364276	-1024	512	16304	-62.464	31.232	994.544	-1056	
