Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
18499	320	-720	16848	19.520	-43.920	1027.728	-192	
98271	256	-720	16832	15.616	-43.920	1026.752	-256	
178038	352	-672	16832	21.472	-40.992	1026.752	-256	
257808	288	-752	16864	17.568	-45.872	1028.704	-272	
337578	320	-720	16864	19.520	-43.920	1028.704	-288	
417348	288	-688	16864	17.568	-41.968	1028.704	-224	
497122	320	-672	16864	19.520	-40.992	1028.704	-224	
576891	304	-720	16848	18.544	-43.920	1027.728	-240	
656657	288	-672	16896	17.568	-40.992	1030.656	-208	
736422	288	-704	16800	17.568	-42.944	1024.800	-304	
816191	256	-688	16832	15.616	-41.968	1026.752	-256	
895963	240	-688	16864	14.640	-41.968	1028.704	-224	
975732	272	-704	16832	16.592	-42.944	1026.752	-240	
1055502	304	-720	16864	18.544	-43.920	1028.704	-208	
1135268	304	-688	16864	18.544	-41.968	1028.704	-240	
1215035	304	-656	16848	18.544	-40.016	1027.728	-272	
1294804	240	-736	16864	14.640	-44.896	1028.704	-256	
1374573	320	-704	16928	19.520	-42.944	1032.608	-240	
1454338	320	-720	16880	19.520	-43.920	1029.680	-240	
1534102	272	-704	16832	16.592	-42.944	1026.752	-208	
1613867	288	-688	16816	17.568	-41.968	1025.776	-256	
1693628	256	-704	16848	15.616	-42.944	1027.728	-192	
1773391	272	-720	16864	16.592	-43.920	1028.704	-224	
1853152	240	-720	16864	14.640	-43.920	1028.704	-288	
1932915	304	-720	16864	18.544	-43.920	1028.704	-208	
2012676	272	-704	16848	16.592	-42.944	1027.728	-272	
2092435	320	-688	16864	19.520	-41.968	1028.704	-272	
2172195	272	-752	16864	16.592	-45.872	1028.704	-240	
2251957	288	-704	16864	17.568	-42.944	1028.704	-272	
2331719	304	-720	16816	18.544	-43.920	1025.776	-224	
2411484	320	-704	16832	19.520	-42.944	1026.752	-224	
2491244	288	-736	16880	17.568	-44.896	1029.680	-208	
2571006	288	-736	16848	17.568	-44.896	1027.728	-240	
2650767	320	-688	16816	19.520	-41.968	1025.776	-208	
2730531	320	-688	16864	19.520	-41.968	1028.704	-256	
2810293	288	-704	16816	17.568	-42.944	1025.776	-240	
2890060	256	-752	16864	15.616	-45.872	1028.704	-256	
2969821	288	-720	16864	17.568	-43.920	1028.704	-272	
3049584	304	-688	16816	18.544	-41.968	1025.776	-176	
3129345	256	-720	16832	15.616	-43.920	1026.752	-304	
3209108	288	-736	16864	17.568	-44.896	1028.704	-240	
3288871	320	-752	16832	19.520	-45.872	1026.752	-240	
