Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
8165	528	-336	16864	32.208	-20.496	1028.704	352	
167649	496	-336	16832	30.256	-20.496	1026.752	384	
327145	512	-352	16832	31.232	-21.472	1026.752	368	
486646	576	-320	16864	35.136	-19.520	1028.704	352	
646141	512	-352	16848	31.232	-21.472	1027.728	384	
805644	544	-352	16864	33.184	-21.472	1028.704	304	
965149	560	-320	16816	34.160	-19.520	1025.776	384	
1124656	512	-320	16816	31.232	-19.520	1025.776	368	
1284155	544	-320	16816	33.184	-19.520	1025.776	368	
1443660	528	-336	16800	32.208	-20.496	1024.800	336	
1603162	560	-320	16800	34.160	-19.520	1024.800	352	
1762668	544	-320	16800	33.184	-19.520	1024.800	336	
1922175	496	-320	16800	30.256	-19.520	1024.800	368	
2081674	544	-320	16832	33.184	-19.520	1026.752	368	
2241170	544	-336	16864	33.184	-20.496	1028.704	352	
2400666	576	-304	16800	35.136	-18.544	1024.800	368	
2560156	544	-336	16848	33.184	-20.496	1027.728	368	
2719649	512	-368	16800	31.232	-22.448	1024.800	368	
2879138	544	-288	16848	33.184	-17.568	1027.728	384	
3038628	592	-336	16800	36.112	-20.496	1024.800	368	
3198121	512	-320	16800	31.232	-19.520	1024.800	384	
3357615	560	-320	16784	34.160	-19.520	1023.824	368	
3517113	528	-384	16800	32.208	-23.424	1024.800	368	
3676601	592	-336	16800	36.112	-20.496	1024.800	368	
3836101	560	-352	16816	34.160	-21.472	1025.776	368	
3995600	496	-304	16832	30.256	-18.544	1026.752	368	
4155092	512	-352	16864	31.232	-21.472	1028.704	384	
4314586	544	-304	16816	33.184	-18.544	1025.776	368	
4474086	528	-368	16896	32.208	-22.448	1030.656	368	
4633580	528	-320	16800	32.208	-19.520	1024.800	384	
4793072	560	-336	16832	34.160	-20.496	1026.752	384	
4952568	528	-304	16832	32.208	-18.544	1026.752	400	
5112059	544	-352	16864	33.184	-21.472	1028.704	400	
5271551	544	-304	16816	33.184	-18.544	1025.776	384	
5431041	512	-368	16800	31.232	-22.448	1024.800	384	
5590536	512	-304	16880	31.232	-18.544	1029.680	416	
5750027	576	-352	16848	35.136	-21.472	1027.728	384	
5909520	560	-336	16816	34.160	-20.496	1025.776	400	
6069017	512	-352	16864	31.232	-21.472	1028.704	384	
6228510	544	-304	16864	33.184	-18.544	1028.704	400	
6388002	528	-336	16832	32.208	-20.496	1026.752	368	
6547493	528	-320	16832	32.208	-19.520	1026.752	384	
6706980	544	-336	16864	33.184	-20.496	1028.704	336	
6866471	528	-320	16816	32.208	-19.520	1025.776	384	
7025955	544	-336	16848	33.184	-20.496	1027.728	368	
7185450	512	-336	16848	31.232	-20.496	1027.728	384	
7344947	544	-304	16832	33.184	-18.544	1026.752	352	
7504438	544	-336	16848	33.184	-20.496	1027.728	384	
7663932	544	-336	16864	33.184	-20.496	1028.704	384	
7823430	528	-400	16832	32.208	-24.400	1026.752	384	
