Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
4308	-352	496	16208	-21.472	30.256	988.688	-224	
9311	-384	448	16192	-23.424	27.328	987.712	-240	
14314	-416	432	16224	-25.376	26.352	989.664	-272	
19317	-352	416	16208	-21.472	25.376	988.688	-272	
24318	-320	528	16224	-19.520	32.208	989.664	-272	
29323	-336	528	16224	-20.496	32.208	989.664	-256	
34326	-320	496	16272	-19.520	30.256	992.592	-224	
39328	-336	512	16256	-20.496	31.232	991.616	-256	
44327	-384	496	16256	-23.424	30.256	991.616	-256	
49328	-352	528	16208	-21.472	32.208	988.688	-272	
54333	-368	464	16256	-22.448	28.304	991.616	-256	
59335	-400	496	16224	-24.400	30.256	989.664	-256	
64336	-400	496	16208	-24.400	30.256	988.688	-272	
69338	-352	448	16240	-21.472	27.328	990.640	-256	
74340	-304	448	16256	-18.544	27.328	991.616	-288	
79342	-368	400	16256	-22.448	24.400	991.616	-256	
84344	-336	512	16256	-20.496	31.232	991.616	-240	
89344	-352	464	16256	-21.472	28.304	991.616	-256	
94348	-336	416	16256	-20.496	25.376	991.616	-240	
99349	-352	528	16208	-21.472	32.208	988.688	-240	
104351	-336	448	16224	-20.496	27.328	989.664	-256	
109353	-352	464	16240	-21.472	28.304	990.640	-240	
114354	-352	416	16224	-21.472	25.376	989.664	-272	
119356	-336	416	16256	-20.496	25.376	991.616	-240	
124357	-320	480	16208	-19.520	29.280	988.688	-240	
129359	-384	512	16208	-23.424	31.232	988.688	-256	
134359	-352	400	16240	-21.472	24.400	990.640	-208	
139360	-336	416	16240	-20.496	25.376	990.640	-272	
144363	-304	480	16160	-18.544	29.280	985.760	-272	
149364	-352	336	16224	-21.472	20.496	989.664	-272	
154366	-384	464	16256	-23.424	28.304	991.616	-256	
159368	-336	480	16240	-20.496	29.280	990.640	-240	
164369	-336	480	16256	-20.496	29.280	991.616	-272	
169371	-384	592	16208	-23.424	36.112	988.688	-256	
174372	-320	400	16240	-19.520	24.400	990.640	-224	
179374	-384	416	16224	-23.424	25.376	989.664	-256	
184374	-368	416	16272	-22.448	25.376	992.592	-256	
189377	-352	448	16224	-21.472	27.328	989.664	-240	
194379	-384	480	16256	-23.424	29.280	991.616	-272	
199381	-304	448	16192	-18.544	27.328	987.712	-240	
204384	-336	496	16240	-20.496	30.256	990.640	-240	
209387	-368	448	16208	-22.448	27.328	988.688	-256	
214388	-336	496	16256	-20.496	30.256	991.616	-240	
219388	-384	416	16256	-23.424	25.376	991.616	-240	
