Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
4249	-144	464	16192	-8.784	28.304	987.712	-448	
9252	-112	480	16224	-6.832	29.280	989.664	-496	
14255	-176	448	16240	-10.736	27.328	990.640	-464	
19258	-112	496	16256	-6.832	30.256	991.616	-448	
24258	-144	400	16208	-8.784	24.400	988.688	-464	
29261	-80	464	16192	-4.880	28.304	987.712	-480	
34262	-176	512	16192	-10.736	31.232	987.712	-464	
39263	-96	560	16176	-5.856	34.160	986.736	-464	
44265	-112	480	16224	-6.832	29.280	989.664	-496	
49267	-176	528	16256	-10.736	32.208	991.616	-448	
54267	-112	464	16224	-6.832	28.304	989.664	-480	
59269	-96	496	16224	-5.856	30.256	989.664	-480	
64271	-128	448	16224	-7.808	27.328	989.664	-448	
69273	-144	432	16224	-8.784	26.352	989.664	-464	
74275	-192	480	16176	-11.712	29.280	986.736	-464	
79276	-144	480	16192	-8.784	29.280	987.712	-448	
84278	-128	448	16256	-7.808	27.328	991.616	-432	
89279	-112	512	16224	-6.832	31.232	989.664	-480	
94280	-96	512	16160	-5.856	31.232	985.760	-512	
99284	-112	528	16208	-6.832	32.208	988.688	-480	
104285	-160	544	16224	-9.760	33.184	989.664	-464	
109289	-176	448	16320	-10.736	27.328	995.520	-448	
114292	-128	448	16240	-7.808	27.328	990.640	-464	
119295	-160	432	16240	-9.760	26.352	990.640	-480	
124297	-160	496	16240	-9.760	30.256	990.640	-480	
129299	-128	544	16224	-7.808	33.184	989.664	-464	
134302	-112	464	16256	-6.832	28.304	991.616	-464	
139304	-128	496	16224	-7.808	30.256	989.664	-480	
144307	-128	528	16256	-7.808	32.208	991.616	-464	
149310	-96	416	16224	-5.856	25.376	989.664	-480	
154312	-144	512	16224	-8.784	31.232	989.664	-464	
159313	-144	512	16240	-8.784	31.232	990.640	-448	
164316	-96	512	16224	-5.856	31.232	989.664	-464	
169318	-160	496	16256	-9.760	30.256	991.616	-480	
174319	-144	464	16224	-8.784	28.304	989.664	-496	
179321	-144	560	16224	-8.784	34.160	989.664	-480	
184321	-176	512	16256	-10.736	31.232	991.616	-496	
189324	-128	480	16272	-7.808	29.280	992.592	-448	
194325	-160	448	16224	-9.760	27.328	989.664	-448	
199328	-160	512	16208	-9.760	31.232	988.688	-480	
204329	-112	416	16192	-6.832	25.376	987.712	-464	
209331	-128	496	16224	-7.808	30.256	989.664	-480	
214334	-192	512	16256	-11.712	31.232	991.616	-496	
219336	-160	464	16272	-9.760	28.304	992.592	-448	
224339	-96	480	16208	-5.856	29.280	988.688	-400	
229343	-128	432	16160	-7.808	26.352	985.760	-432	
234346	-80	544	16240	-4.880	33.184	990.640	-432	
239348	-160	480	16192	-9.760	29.280	987.712	-432	
244351	-176	448	16192	-10.736	27.328	987.712	-448	
249351	-144	512	16208	-8.784	31.232	988.688	-464	
254352	-128	576	16272	-7.808	35.136	992.592	-480	
259357	-160	496	16224	-9.760	30.256	989.664	-448	
264360	-128	496	16208	-7.808	30.256	988.688	-496	
269362	-96	448	16192	-5.856	27.328	987.712	-432	
274364	-144	464	16240	-8.784	28.304	990.640	-448	
279366	-160	544	16208	-9.760	33.184	988.688	-432	
284367	-112	544	16192	-6.832	33.184	987.712	-432	
289368	-176	480	16240	-10.736	29.280	990.640	-480	
294370	-112	576	16224	-6.832	35.136	989.664	-464	
299372	-128	496	16208	-7.808	30.256	988.688	-464	
304374	-112	448	16224	-6.832	27.328	989.664	-464	
309376	-112	496	16240	-6.832	30.256	990.640	-480	
314378	-176	528	16240	-10.736	32.208	990.640	-480	
319380	-128	464	16224	-7.808	28.304	989.664	-480	
324382	-144	480	16208	-8.784	29.280	988.688	-448	
329383	-112	448	16224	-6.832	27.328	989.664	-464	
334385	-128	496	16256	-7.808	30.256	991.616	-480	
339386	-144	544	16160	-8.784	33.184	985.760	-464	
344386	-128	496	16240	-7.808	30.256	990.640	-448	
349389	-128	448	16256	-7.808	27.328	991.616	-480	
354391	-96	512	16272	-5.856	31.232	992.592	-480	
359395	-96	480	16208	-5.856	29.280	988.688	-448	
364399	-112	544	16208	-6.832	33.184	988.688	-464	
369402	-144	512	16240	-8.784	31.232	990.640	-512	
374405	-144	496	16192	-8.784	30.256	987.712	-480	
379408	-96	512	16256	-5.856	31.232	991.616	-496	
384410	-160	432	16224	-9.760	26.352	989.664	-464	
389412	-128	432	16256	-7.808	26.352	991.616	-464	
394414	-176	480	16192	-10.736	29.280	987.712	-448	
399417	-128	464	16256	-7.808	28.304	991.616	-496	
404419	-144	512	16192	-8.784	31.232	987.712	-448	
409420	-96	528	16256	-5.856	32.208	991.616	-448	
414420	-112	480	16256	-6.832	29.280	991.616	-448	
419423	-112	480	16224	-6.832	29.280	989.664	-496	
424425	-160	544	16224	-9.760	33.184	989.664	-480	
429426	-128	512	16256	-7.808	31.232	991.616	-480	
434428	-128	528	16224	-7.808	32.208	989.664	-464	
439430	-128	528	16224	-7.808	32.208	989.664	-432	
444432	-208	464	16288	-12.688	28.304	993.568	-496	
449434	-176	528	16224	-10.736	32.208	989.664	-464	
454436	-144	448	16224	-8.784	27.328	989.664	-480	
459438	-64	512	16224	-3.904	31.232	989.664	-464	
464440	-176	528	16192	-10.736	32.208	987.712	-480	
469441	-80	496	16224	-4.880	30.256	989.664	-448	
474440	-144	480	16224	-8.784	29.280	989.664	-464	
479442	-144	480	16272	-8.784	29.280	992.592	-448	
484444	-128	512	16224	-7.808	31.232	989.664	-448	
489446	-144	448	16240	-8.784	27.328	990.640	-448	
494448	-128	512	16240	-7.808	31.232	990.640	-448	
499451	-160	480	16224	-9.760	29.280	989.664	-480	
504451	-192	496	16192	-11.712	30.256	987.712	-432	
509455	-128	480	16192	-7.808	29.280	987.712	-480	
514456	-112	512	16224	-6.832	31.232	989.664	-496	
519458	-144	544	16176	-8.784	33.184	986.736	-448	
524460	-112	464	16224	-6.832	28.304	989.664	-464	
529462	-128	512	16256	-7.808	31.232	991.616	-464	
534464	-128	416	16192	-7.808	25.376	987.712	-448	
539465	-128	432	16240	-7.808	26.352	990.640	-464	
544465	-192	480	16224	-11.712	29.280	989.664	-496	
549466	-128	576	16224	-7.808	35.136	989.664	-464	
554468	-128	512	16256	-7.808	31.232	991.616	-464	
559469	-112	416	16240	-6.832	25.376	990.640	-480	
564468	-128	496	16224	-7.808	30.256	989.664	-496	
569471	-144	512	16224	-8.784	31.232	989.664	-480	
574472	-160	480	16288	-9.760	29.280	993.568	-480	
579476	-160	544	16192	-9.760	33.184	987.712	-448	
584478	-144	576	16224	-8.784	35.136	989.664	-496	
589480	-144	432	16224	-8.784	26.352	989.664	-480	
594481	-128	464	16224	-7.808	28.304	989.664	-448	
599484	-128	480	16240	-7.808	29.280	990.640	-464	
604486	-112	384	16224	-6.832	23.424	989.664	-496	
609488	-112	496	16176	-6.832	30.256	986.736	-480	
614488	-128	512	16192	-7.808	31.232	987.712	-480	
