Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
4326	-32	352	16224	-1.952	21.472	989.664	-16	
9332	16	272	16192	0.976	16.592	987.712	-16	
14334	-48	352	16224	-2.928	21.472	989.664	0	
19335	16	368	16224	0.976	22.448	989.664	0	
24340	-48	368	16288	-2.928	22.448	993.568	32	
29342	16	352	16272	0.976	21.472	992.592	0	
34344	-16	336	16256	-0.976	20.496	991.616	16	
39346	-16	368	16256	-0.976	22.448	991.616	0	
44349	-80	416	16256	-4.880	25.376	991.616	16	
49351	-96	368	16208	-5.856	22.448	988.688	32	
54355	-32	368	16208	-1.952	22.448	988.688	64	
59358	-96	384	16256	-5.856	23.424	991.616	16	
64362	-16	448	16192	-0.976	27.328	987.712	32	
69363	-32	400	16192	-1.952	24.400	987.712	0	
74365	-48	368	16224	-2.928	22.448	989.664	16	
79368	-48	352	16224	-2.928	21.472	989.664	16	
84370	48	448	16320	2.928	27.328	995.520	32	
89373	32	464	16256	1.952	28.304	991.616	-16	
94374	32	400	16256	1.952	24.400	991.616	-16	
99376	80	448	16272	4.880	27.328	992.592	0	
104378	48	416	16240	2.928	25.376	990.640	0	
109380	48	400	16208	2.928	24.400	988.688	16	
114382	96	368	16192	5.856	22.448	987.712	16	
119385	80	336	16128	4.880	20.496	983.808	16	
124386	16	352	16160	0.976	21.472	985.760	0	
129390	0	336	16224	0.000	20.496	989.664	48	
134393	-32	448	16256	-1.952	27.328	991.616	48	
139397	-64	400	16304	-3.904	24.400	994.544	16	
144401	32	384	16320	1.952	23.424	995.520	16	
149404	16	544	16256	0.976	33.184	991.616	16	
154408	-32	432	16288	-1.952	26.352	993.568	0	
159412	-48	368	16224	-2.928	22.448	989.664	48	
164417	-48	432	16240	-2.928	26.352	990.640	32	
169419	-96	464	16240	-5.856	28.304	990.640	16	
174422	-80	416	16256	-4.880	25.376	991.616	32	
179422	-64	320	16224	-3.904	19.520	989.664	64	
184426	-64	384	16192	-3.904	23.424	987.712	16	
189427	0	384	16160	0.000	23.424	985.760	48	
194429	-48	224	16208	-2.928	13.664	988.688	32	
199432	-32	384	16256	-1.952	23.424	991.616	16	
204434	0	320	16288	0.000	19.520	993.568	0	
209437	-32	320	16272	-1.952	19.520	992.592	16	
