Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
4223	704	1040	16128	42.944	63.440	983.808	-384	
9226	672	1136	16128	40.992	69.296	983.808	-368	
14226	656	1088	16160	40.016	66.368	985.760	-384	
19227	656	1088	16128	40.016	66.368	983.808	-352	
24227	624	1168	16208	38.064	71.248	988.688	-352	
29228	512	1056	16256	31.232	64.416	991.616	-384	
34229	480	1104	16224	29.280	67.344	989.664	-416	
39229	448	1184	16288	27.328	72.224	993.568	-400	
44229	448	1104	16240	27.328	67.344	990.640	-368	
49230	432	1136	16176	26.352	69.296	986.736	-384	
54232	480	1024	16144	29.280	62.464	984.784	-384	
59233	432	1136	16096	26.352	69.296	981.856	-352	
64236	448	1104	16176	27.328	67.344	986.736	-368	
69237	416	1184	16144	25.376	72.224	984.784	-336	
74238	528	1200	16192	32.208	73.200	987.712	-384	
79239	544	1120	16192	33.184	68.320	987.712	-368	
84242	512	1216	16224	31.232	74.176	989.664	-384	
89242	608	1264	16256	37.088	77.104	991.616	-384	
94242	592	1280	16192	36.112	78.080	987.712	-400	
99241	608	1232	16240	37.088	75.152	990.640	-384	
104242	672	1248	16192	40.992	76.128	987.712	-400	
109242	672	1216	16160	40.992	74.176	985.760	-400	
114242	720	1296	16160	43.920	79.056	985.760	-384	
119243	688	1232	16160	41.968	75.152	985.760	-368	
124244	688	1312	16192	41.968	80.032	987.712	-368	
129244	640	1264	16192	39.040	77.104	987.712	-368	
134244	576	1248	16160	35.136	76.128	985.760	-352	
139244	528	1152	16208	32.208	70.272	988.688	-400	
144244	496	1200	16192	30.256	73.200	987.712	-368	
149245	512	1184	16224	31.232	72.224	989.664	-432	
154246	464	1200	16144	28.304	73.200	984.784	-384	
159247	528	1168	16160	32.208	71.248	985.760	-352	
164247	480	1104	16160	29.280	67.344	985.760	-416	
169247	464	1104	16192	28.304	67.344	987.712	-384	
174248	512	1136	16144	31.232	69.296	984.784	-384	
179249	464	1104	16256	28.304	67.344	991.616	-384	
184249	496	1152	16272	30.256	70.272	992.592	-384	
189249	464	1184	16272	28.304	72.224	992.592	-384	
194249	464	1232	16192	28.304	75.152	987.712	-416	
199254	512	1120	16064	31.232	68.320	979.904	-368	
204256	592	1184	16080	36.112	72.224	980.880	-400	
209258	624	1008	16112	38.064	61.488	982.832	-384	
214261	592	1216	16224	36.112	74.176	989.664	-384	
219263	656	1232	16144	40.016	75.152	984.784	-384	
224266	624	1232	16144	38.064	75.152	984.784	-384	
229268	656	1232	16160	40.016	75.152	985.760	-384	
234271	688	1216	16096	41.968	74.176	981.856	-384	
239272	608	1088	16176	37.088	66.368	986.736	-400	
244276	592	1216	16256	36.112	74.176	991.616	-384	
249277	544	1296	16352	33.184	79.056	997.472	-400	
254279	512	1312	16240	31.232	80.032	990.640	-384	
259281	528	1200	16192	32.208	73.200	987.712	-352	
264283	512	1248	16128	31.232	76.128	983.808	-368	
269285	592	1216	16096	36.112	74.176	981.856	-400	
274287	608	1232	16128	37.088	75.152	983.808	-400	
279290	592	1200	16128	36.112	73.200	983.808	-400	
284292	560	1248	16128	34.160	76.128	983.808	-400	
289293	592	1216	16208	36.112	74.176	988.688	-400	
294296	608	1136	16224	37.088	69.296	989.664	-368	
299298	512	1200	16224	31.232	73.200	989.664	-416	
304298	624	1152	16224	38.064	70.272	989.664	-352	
309299	720	1168	16160	43.920	71.248	985.760	-400	
314299	704	1152	16176	42.944	70.272	986.736	-384	
319299	768	1168	16128	46.848	71.248	983.808	-368	
324299	720	1184	16160	43.920	72.224	985.760	-384	
329300	752	1136	16128	45.872	69.296	983.808	-368	
334300	704	1200	16128	42.944	73.200	983.808	-352	
339300	656	1120	16128	40.016	68.320	983.808	-384	
344300	624	1200	16160	38.064	73.200	985.760	-384	
349300	624	1152	16160	38.064	70.272	985.760	-432	
354298	560	1104	16256	34.160	67.344	991.616	-400	
359300	576	1152	16256	35.136	70.272	991.616	-400	
364301	448	1136	16208	27.328	69.296	988.688	-384	
369300	448	1136	16256	27.328	69.296	991.616	-416	
374300	384	1152	16256	23.424	70.272	991.616	-384	
379300	288	1168	16256	17.568	71.248	991.616	-384	
384300	288	1152	16224	17.568	70.272	989.664	-400	
389300	384	1200	16160	23.424	73.200	985.760	-384	
394301	400	1216	16160	24.400	74.176	985.760	-384	
399301	384	1152	16128	23.424	70.272	983.808	-432	
404302	400	1248	16160	24.400	76.128	985.760	-400	
409302	448	1216	16288	27.328	74.176	993.568	-416	
414304	480	1264	16224	29.280	77.104	989.664	-384	
419303	480	1216	16192	29.280	74.176	987.712	-384	
424305	624	1280	16208	38.064	78.080	988.688	-416	
429306	640	1184	16192	39.040	72.224	987.712	-400	
434307	624	1200	16176	38.064	73.200	986.736	-384	
439308	704	1200	16128	42.944	73.200	983.808	-352	
444308	672	1104	16176	40.992	67.344	986.736	-384	
449309	688	1024	16128	41.968	62.464	983.808	-352	
454309	736	1088	16128	44.896	66.368	983.808	-368	
459309	656	1072	16176	40.016	65.392	986.736	-400	
464311	656	1072	16160	40.016	65.392	985.760	-368	
469311	592	1120	16208	36.112	68.320	988.688	-400	
474311	592	1200	16224	36.112	73.200	989.664	-400	
479312	576	1168	16144	35.136	71.248	984.784	-400	
484313	528	1152	16192	32.208	70.272	987.712	-384	
489314	528	1216	16160	32.208	74.176	985.760	-400	
494314	544	1216	16144	33.184	74.176	984.784	-400	
499314	544	1168	16160	33.184	71.248	985.760	-368	
504314	560	1152	16192	34.160	70.272	987.712	-384	
509314	528	1184	16192	32.208	72.224	987.712	-352	
514315	560	1248	16176	34.160	76.128	986.736	-384	
519316	544	1216	16208	33.184	74.176	988.688	-384	
524316	592	1232	16192	36.112	75.152	987.712	-384	
529315	656	1248	16192	40.016	76.128	987.712	-384	
534317	672	1216	16160	40.992	74.176	985.760	-368	
539317	672	1248	16176	40.992	76.128	986.736	-400	
544317	656	1232	16208	40.016	75.152	988.688	-400	
549317	752	1200	16208	45.872	73.200	988.688	-400	
554318	688	1248	16224	41.968	76.128	989.664	-400	
559317	720	1264	16176	43.920	77.104	986.736	-368	
564318	672	1136	16144	40.992	69.296	984.784	-384	
569319	640	1200	16160	39.040	73.200	985.760	-400	
574320	624	1232	16208	38.064	75.152	988.688	-384	
579320	560	1168	16224	34.160	71.248	989.664	-400	
584322	560	1232	16192	34.160	75.152	987.712	-368	
589322	560	1104	16160	34.160	67.344	985.760	-400	
594322	624	1136	16192	38.064	69.296	987.712	-368	
599323	544	1088	16240	33.184	66.368	990.640	-384	
604324	528	1152	16144	32.208	70.272	984.784	-400	
609324	496	1280	16192	30.256	78.080	987.712	-416	
614322	528	1216	16160	32.208	74.176	985.760	-400	
619324	480	1136	16192	29.280	69.296	987.712	-384	
624324	528	1184	16208	32.208	72.224	988.688	-384	
629325	544	1184	16176	33.184	72.224	986.736	-384	
634326	560	1216	16128	34.160	74.176	983.808	-416	
639327	528	1200	16144	32.208	73.200	984.784	-384	
644327	544	1152	16208	33.184	70.272	988.688	-384	
649328	576	1216	16192	35.136	74.176	987.712	-384	
654328	576	1184	16192	35.136	72.224	987.712	-400	
659328	608	1136	16192	37.088	69.296	987.712	-384	
664328	624	1152	16224	38.064	70.272	989.664	-416	
669329	560	1200	16256	34.160	73.200	991.616	-400	
674329	576	1184	16240	35.136	72.224	990.640	-416	
679330	480	1104	16192	29.280	67.344	987.712	-416	
684331	512	1104	16192	31.232	67.344	987.712	-432	
689333	512	1232	16144	31.232	75.152	984.784	-384	
694334	496	1200	16192	30.256	73.200	987.712	-400	
699334	608	1152	16128	37.088	70.272	983.808	-384	
704334	640	1120	16112	39.040	68.320	982.832	-368	
709335	672	1184	16112	40.992	72.224	982.832	-384	
714337	736	1248	16176	44.896	76.128	986.736	-336	
719336	688	1200	16144	41.968	73.200	984.784	-336	
724336	704	1200	16160	42.944	73.200	985.760	-368	
729337	720	1184	16144	43.920	72.224	984.784	-352	
734338	768	1200	16160	46.848	73.200	985.760	-384	
739337	736	1168	16176	44.896	71.248	986.736	-384	
744337	720	1120	16176	43.920	68.320	986.736	-416	
749337	720	1200	16144	43.920	73.200	984.784	-384	
754337	672	1184	16160	40.992	72.224	985.760	-400	
759338	672	1200	16144	40.992	73.200	984.784	-400	
764338	544	1200	16128	33.184	73.200	983.808	-416	
769339	576	1232	16192	35.136	75.152	987.712	-400	
774340	512	1184	16192	31.232	72.224	987.712	-368	
779340	512	1216	16192	31.232	74.176	987.712	-400	
784340	544	1184	16192	33.184	72.224	987.712	-400	
789342	464	1200	16208	28.304	73.200	988.688	-400	
794343	512	1216	16176	31.232	74.176	986.736	-400	
799344	512	1248	16128	31.232	76.128	983.808	-416	
804345	560	1216	16160	34.160	74.176	985.760	-368	
809346	592	1248	16176	36.112	76.128	986.736	-384	
814346	608	1248	16208	37.088	76.128	988.688	-368	
819345	624	1296	16176	38.064	79.056	986.736	-400	
824346	656	1280	16208	40.016	78.080	988.688	-368	
829347	640	1184	16192	39.040	72.224	987.712	-400	
834347	592	1232	16208	36.112	75.152	988.688	-400	
839348	608	1296	16224	37.088	79.056	989.664	-384	
844349	576	1232	16256	35.136	75.152	991.616	-368	
849350	528	1216	16224	32.208	74.176	989.664	-384	
854351	512	1184	16224	31.232	72.224	989.664	-416	
859352	528	1120	16192	32.208	68.320	987.712	-384	
864353	464	1104	16144	28.304	67.344	984.784	-384	
869353	432	1088	16160	26.352	66.368	985.760	-384	
874354	448	1136	16160	27.328	69.296	985.760	-384	
879354	416	1040	16208	25.376	63.440	988.688	-368	
884355	368	1056	16256	22.448	64.416	991.616	-400	
889356	368	1088	16208	22.448	66.368	988.688	-400	
894356	384	1056	16176	23.424	64.416	986.736	-384	
899355	416	1072	16160	25.376	65.392	985.760	-416	
904356	512	1120	16080	31.232	68.320	980.880	-416	
909356	608	1088	16064	37.088	66.368	979.904	-400	
914356	672	1152	16096	40.992	70.272	981.856	-384	
919356	640	1200	16144	39.040	73.200	984.784	-416	
924356	656	1120	16192	40.016	68.320	987.712	-416	
929357	736	1216	16224	44.896	74.176	989.664	-400	
