Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
99320	16032	688	3488	977.952	41.968	212.768	-800	
259383	16032	688	3488	977.952	41.968	212.768	-688	
419432	16016	720	3472	976.976	43.920	211.792	-624	
579483	16048	656	3408	978.928	40.016	207.888	-608	
739541	16032	656	3440	977.952	40.016	209.840	-608	
899594	16064	688	3488	979.904	41.968	212.768	-640	
1059648	16032	704	3456	977.952	42.944	210.816	-608	
1219723	16048	672	3456	978.928	40.992	210.816	-592	
1379785	16080	704	3472	980.880	42.944	211.792	-592	
1539840	16048	672	3440	978.928	40.992	209.840	-576	
1699900	16064	656	3504	979.904	40.016	213.744	-592	
1859977	16048	688	3456	978.928	41.968	210.816	-608	
2020051	16064	704	3408	979.904	42.944	207.888	-592	
2180122	16064	688	3472	979.904	41.968	211.792	-544	
2340202	16000	608	3456	976.000	37.088	210.816	-592	
2500276	16048	656	3456	978.928	40.016	210.816	-592	
2660349	16032	640	3440	977.952	39.040	209.840	-576	
2820420	16000	672	3456	976.000	40.992	210.816	-592	
2980478	16064	672	3440	979.904	40.992	209.840	-576	
3140530	16064	672	3488	979.904	40.992	212.768	-608	
3300591	16064	704	3472	979.904	42.944	211.792	-640	
3460658	16080	640	3472	980.880	39.040	211.792	-592	
3620739	16048	640	3472	978.928	39.040	211.792	-576	
3780803	16048	624	3488	978.928	38.064	212.768	-608	
3940875	16032	656	3440	977.952	40.016	209.840	-576	
4100945	16032	672	3488	977.952	40.992	212.768	-624	
4261025	16064	640	3472	979.904	39.040	211.792	-608	
4421083	16048	672	3488	978.928	40.992	212.768	-592	
4581142	16032	688	3504	977.952	41.968	213.744	-608	
4741196	16064	720	3472	979.904	43.920	211.792	-576	
4901248	16032	688	3440	977.952	41.968	209.840	-576	
5061332	16016	656	3456	976.976	40.016	210.816	-592	
5221388	16032	640	3472	977.952	39.040	211.792	-576	
5381444	16048	672	3472	978.928	40.992	211.792	-624	
5541503	16048	704	3424	978.928	42.944	208.864	-592	
5701557	16032	672	3440	977.952	40.992	209.840	-624	
5861607	16048	688	3520	978.928	41.968	214.720	-608	
6021652	16032	704	3472	977.952	42.944	211.792	-608	
6181699	16016	704	3472	976.976	42.944	211.792	-624	
6341779	16016	656	3488	976.976	40.016	212.768	-640	
6501835	16080	672	3504	980.880	40.992	213.744	-608	
6661898	16032	656	3488	977.952	40.016	212.768	-576	
6821949	16016	656	3472	976.976	40.016	211.792	-608	
6982007	16064	656	3456	979.904	40.016	210.816	-624	
7142065	16048	640	3440	978.928	39.040	209.840	-608	
7302116	16064	672	3488	979.904	40.992	212.768	-624	
7462163	16080	656	3424	980.880	40.016	208.864	-576	
7622209	16032	656	3440	977.952	40.016	209.840	-624	
7782274	16064	672	3488	979.904	40.992	212.768	-624	
7942329	16064	656	3440	979.904	40.016	209.840	-608	
8102395	15984	640	3456	975.024	39.040	210.816	-608	
8262466	16048	624	3424	978.928	38.064	208.864	-608	
8422520	16032	704	3440	977.952	42.944	209.840	-592	
8582575	16064	656	3472	979.904	40.016	211.792	-624	
8742624	16080	592	3488	980.880	36.112	212.768	-592	
8902676	16016	640	3504	976.976	39.040	213.744	-624	
9062736	16032	672	3488	977.952	40.992	212.768	-608	
9222787	16112	688	3440	982.832	41.968	209.840	-576	
9382833	16048	656	3440	978.928	40.016	209.840	-608	
9542910	16016	688	3456	976.976	41.968	210.816	-592	
9702972	16016	640	3472	976.976	39.040	211.792	-576	
9863046	16064	704	3472	979.904	42.944	211.792	-608	
10023098	16064	656	3424	979.904	40.016	208.864	-592	
10183165	16080	720	3488	980.880	43.920	212.768	-592	
10343232	16064	704	3472	979.904	42.944	211.792	-608	
10503304	16032	608	3440	977.952	37.088	209.840	-592	
10663366	16000	688	3456	976.000	41.968	210.816	-592	
10823418	16064	752	3472	979.904	45.872	211.792	-560	
10983474	16032	656	3392	977.952	40.016	206.912	-608	
11143540	16048	640	3440	978.928	39.040	209.840	-576	
11303584	16064	688	3424	979.904	41.968	208.864	-624	
11463629	16048	672	3424	978.928	40.992	208.864	-608	
11623690	16032	672	3440	977.952	40.992	209.840	-576	
11783741	16064	688	3504	979.904	41.968	213.744	-608	
11943819	16032	672	3408	977.952	40.992	207.888	-592	
12103870	16080	704	3472	980.880	42.944	211.792	-608	
12263947	16064	688	3488	979.904	41.968	212.768	-592	
12424008	16032	720	3456	977.952	43.920	210.816	-608	
12584075	16048	608	3456	978.928	37.088	210.816	-560	
12744129	16032	656	3472	977.952	40.016	211.792	-592	
12904181	16032	720	3488	977.952	43.920	212.768	-592	
13064241	16048	608	3424	978.928	37.088	208.864	-608	
13224302	16032	624	3424	977.952	38.064	208.864	-608	
13384371	16064	656	3488	979.904	40.016	212.768	-608	
13544438	16064	656	3488	979.904	40.016	212.768	-608	
13704520	16064	688	3456	979.904	41.968	210.816	-608	
13864583	16032	640	3472	977.952	39.040	211.792	-608	
14024644	16016	672	3440	976.976	40.992	209.840	-640	
14184714	16032	672	3472	977.952	40.992	211.792	-608	
14344767	16048	656	3472	978.928	40.016	211.792	-608	
14504828	16032	640	3456	977.952	39.040	210.816	-576	
14664887	16032	704	3504	977.952	42.944	213.744	-608	
14824953	16048	672	3472	978.928	40.992	211.792	-592	
14985025	16032	656	3440	977.952	40.016	209.840	-592	
15145080	16048	720	3504	978.928	43.920	213.744	-576	
15305141	16032	704	3456	977.952	42.944	210.816	-624	
15465197	16016	656	3440	976.976	40.016	209.840	-592	
15625288	16048	640	3424	978.928	39.040	208.864	-624	
15785340	16016	704	3440	976.976	42.944	209.840	-640	
15945409	16080	704	3440	980.880	42.944	209.840	-608	
16105468	16016	672	3488	976.976	40.992	212.768	-592	
16265533	16048	704	3472	978.928	42.944	211.792	-592	
16425609	16080	672	3456	980.880	40.992	210.816	-576	
16585672	16064	640	3472	979.904	39.040	211.792	-608	
16745733	16016	640	3440	976.976	39.040	209.840	-592	
16905817	16064	640	3456	979.904	39.040	210.816	-576	
17065935	16048	656	3456	978.928	40.016	210.816	-608	
17226037	16080	672	3456	980.880	40.992	210.816	-608	
17386133	16048	688	3472	978.928	41.968	211.792	-576	
17546209	16032	688	3456	977.952	41.968	210.816	-592	
17706307	15984	672	3456	975.024	40.992	210.816	-624	
17866382	16048	672	3456	978.928	40.992	210.816	-592	
18026468	16032	656	3440	977.952	40.016	209.840	-608	
18186543	16032	608	3440	977.952	37.088	209.840	-640	
18346629	16080	656	3456	980.880	40.016	210.816	-592	
18506732	16000	624	3472	976.000	38.064	211.792	-608	
18666815	16016	640	3504	976.976	39.040	213.744	-592	
18826890	16064	720	3488	979.904	43.920	212.768	-592	
18986980	16048	656	3504	978.928	40.016	213.744	-624	
19147072	16016	656	3456	976.976	40.016	210.816	-608	
19307143	16048	688	3472	978.928	41.968	211.792	-608	
19467223	16048	688	3456	978.928	41.968	210.816	-624	
19627320	16032	704	3504	977.952	42.944	213.744	-608	
19787433	16048	640	3488	978.928	39.040	212.768	-640	
19947520	16016	688	3424	976.976	41.968	208.864	-576	
20107623	16032	640	3424	977.952	39.040	208.864	-608	
20267693	16064	704	3472	979.904	42.944	211.792	-608	
20427757	16016	688	3488	976.976	41.968	212.768	-608	
20587834	16048	672	3424	978.928	40.992	208.864	-608	
20747925	16016	624	3440	976.976	38.064	209.840	-592	
20907997	16032	688	3456	977.952	41.968	210.816	-608	
21068073	16064	672	3472	979.904	40.992	211.792	-576	
21228150	16032	704	3440	977.952	42.944	209.840	-608	
21388237	16032	656	3440	977.952	40.016	209.840	-592	
21548310	16032	672	3456	977.952	40.992	210.816	-656	
21708401	16064	720	3472	979.904	43.920	211.792	-608	
21868476	16032	672	3440	977.952	40.992	209.840	-576	
22028565	16064	688	3440	979.904	41.968	209.840	-576	
22188634	16016	624	3488	976.976	38.064	212.768	-576	
22348728	16032	688	3440	977.952	41.968	209.840	-624	
22508801	16064	704	3424	979.904	42.944	208.864	-624	
22668874	16032	656	3488	977.952	40.016	212.768	-592	
22828980	16048	704	3520	978.928	42.944	214.720	-592	
22989058	16032	672	3456	977.952	40.992	210.816	-560	
23149133	16064	672	3440	979.904	40.992	209.840	-592	
23309221	16064	640	3440	979.904	39.040	209.840	-592	
23469343	16048	656	3472	978.928	40.016	211.792	-592	
23629421	16032	688	3472	977.952	41.968	211.792	-592	
23789526	16064	672	3488	979.904	40.992	212.768	-608	
23949603	16032	688	3440	977.952	41.968	209.840	-608	
24109692	16064	624	3424	979.904	38.064	208.864	-608	
24269769	16080	672	3424	980.880	40.992	208.864	-624	
24429851	16048	688	3472	978.928	41.968	211.792	-592	
24589927	16048	704	3456	978.928	42.944	210.816	-608	
24750008	16016	656	3424	976.976	40.016	208.864	-576	
24910110	16048	656	3456	978.928	40.016	210.816	-592	
25070195	16048	656	3472	978.928	40.016	211.792	-592	
25230265	16032	720	3456	977.952	43.920	210.816	-608	
25390344	16032	640	3456	977.952	39.040	210.816	-592	
25550419	16032	688	3488	977.952	41.968	212.768	-592	
25710493	16032	640	3456	977.952	39.040	210.816	-608	
25870579	16032	672	3472	977.952	40.992	211.792	-608	
26030653	16048	704	3504	978.928	42.944	213.744	-592	
26190724	16048	640	3472	978.928	39.040	211.792	-608	
26350803	16048	688	3488	978.928	41.968	212.768	-592	
26510884	16080	624	3456	980.880	38.064	210.816	-608	
26670967	16032	688	3456	977.952	41.968	210.816	-592	
26831039	16016	672	3440	976.976	40.992	209.840	-576	
26991142	16080	672	3408	980.880	40.992	207.888	-608	
27151215	16048	640	3488	978.928	39.040	212.768	-592	
27311290	16016	624	3440	976.976	38.064	209.840	-592	
27471395	16096	672	3488	981.856	40.992	212.768	-592	
27631468	16032	656	3440	977.952	40.016	209.840	-608	
27791574	16016	592	3472	976.976	36.112	211.792	-608	
27951665	16064	672	3472	979.904	40.992	211.792	-624	
28111757	16048	688	3456	978.928	41.968	210.816	-592	
28271847	16032	688	3408	977.952	41.968	207.888	-608	
28431926	16016	640	3472	976.976	39.040	211.792	-608	
28592025	16032	688	3456	977.952	41.968	210.816	-608	
28752097	15984	640	3488	975.024	39.040	212.768	-624	
28912184	16016	672	3472	976.976	40.992	211.792	-624	
29072268	16016	688	3424	976.976	41.968	208.864	-608	
29232341	16048	608	3440	978.928	37.088	209.840	-624	
29392417	16032	656	3472	977.952	40.016	211.792	-592	
29552494	16048	640	3488	978.928	39.040	212.768	-624	
29712596	16048	640	3440	978.928	39.040	209.840	-624	
29872666	16064	688	3456	979.904	41.968	210.816	-592	
30032752	16048	704	3504	978.928	42.944	213.744	-592	
30192826	16032	704	3456	977.952	42.944	210.816	-608	
30352900	16048	640	3456	978.928	39.040	210.816	-592	
30512990	16080	656	3472	980.880	40.016	211.792	-608	
30673066	16080	640	3472	980.880	39.040	211.792	-624	
30833144	16048	688	3472	978.928	41.968	211.792	-576	
30993245	16016	640	3456	976.976	39.040	210.816	-592	
31153338	16080	688	3488	980.880	41.968	212.768	-624	
31313430	16080	752	3424	980.880	45.872	208.864	-624	
31473505	16048	704	3424	978.928	42.944	208.864	-608	
31633584	16032	672	3504	977.952	40.992	213.744	-608	
31793679	16000	656	3472	976.000	40.016	211.792	-576	
31953757	16048	656	3472	978.928	40.016	211.792	-608	
32113834	16032	672	3440	977.952	40.992	209.840	-608	
32273900	16064	624	3456	979.904	38.064	210.816	-576	
32433974	16016	688	3488	976.976	41.968	212.768	-608	
32594059	16048	672	3456	978.928	40.992	210.816	-608	
32754137	16032	688	3472	977.952	41.968	211.792	-592	
32914209	16000	608	3392	976.000	37.088	206.912	-592	
33074277	16064	688	3472	979.904	41.968	211.792	-592	
33234360	16032	656	3472	977.952	40.016	211.792	-624	
33394444	16064	720	3504	979.904	43.920	213.744	-592	
33554522	16048	672	3440	978.928	40.992	209.840	-592	
33714587	16032	688	3488	977.952	41.968	212.768	-608	
33874681	15968	672	3488	974.048	40.992	212.768	-624	
34034754	16048	640	3488	978.928	39.040	212.768	-560	
34194826	16064	672	3424	979.904	40.992	208.864	-576	
34354896	16032	672	3424	977.952	40.992	208.864	-624	
34514978	16032	656	3488	977.952	40.016	212.768	-592	
34675074	16048	672	3424	978.928	40.992	208.864	-624	
34835164	16064	656	3440	979.904	40.016	209.840	-592	
