Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
9361	-320	704	16288	-19.520	42.944	993.568	-640	
169440	-336	736	16304	-20.496	44.896	994.544	-608	
329530	-352	736	16352	-21.472	44.896	997.472	-560	
489613	-336	672	16416	-20.496	40.992	1001.376	-560	
649695	-336	672	16336	-20.496	40.992	996.496	-528	
809766	-288	688	16336	-17.568	41.968	996.496	-544	
969838	-336	688	16352	-20.496	41.968	997.472	-496	
1129935	-288	768	16320	-17.568	46.848	995.520	-496	
1290015	-288	752	16368	-17.568	45.872	998.448	-496	
1450097	-336	672	16304	-20.496	40.992	994.544	-496	
1610164	-304	656	16320	-18.544	40.016	995.520	-512	
1770242	-272	672	16352	-16.592	40.992	997.472	-496	
1930354	-320	720	16352	-19.520	43.920	997.472	-528	
2090432	-304	672	16352	-18.544	40.992	997.472	-544	
2250494	-288	720	16368	-17.568	43.920	998.448	-528	
2410591	-224	688	16272	-13.664	41.968	992.592	-496	
2570676	-336	768	16336	-20.496	46.848	996.496	-496	
2730740	-272	688	16352	-16.592	41.968	997.472	-528	
2890820	-272	736	16336	-16.592	44.896	996.496	-512	
3050895	-352	720	16368	-21.472	43.920	998.448	-480	
3211000	-320	736	16336	-19.520	44.896	996.496	-528	
3371074	-304	672	16384	-18.544	40.992	999.424	-528	
3531162	-352	704	16320	-21.472	42.944	995.520	-528	
3691226	-352	720	16320	-21.472	43.920	995.520	-528	
3851301	-304	768	16368	-18.544	46.848	998.448	-560	
4011366	-288	720	16272	-17.568	43.920	992.592	-512	
4171445	-304	704	16320	-18.544	42.944	995.520	-528	
4331528	-272	704	16320	-16.592	42.944	995.520	-512	
4491596	-304	672	16384	-18.544	40.992	999.424	-528	
4651663	-288	672	16384	-17.568	40.992	999.424	-544	
4811732	-352	704	16384	-21.472	42.944	999.424	-528	
4971808	-320	752	16320	-19.520	45.872	995.520	-512	
5131879	-304	672	16352	-18.544	40.992	997.472	-544	
5291947	-304	720	16320	-18.544	43.920	995.520	-544	
5452035	-288	752	16384	-17.568	45.872	999.424	-528	
5612120	-320	672	16256	-19.520	40.992	991.616	-528	
5772195	-288	704	16336	-17.568	42.944	996.496	-528	
5932291	-256	688	16352	-15.616	41.968	997.472	-528	
6092382	-272	688	16336	-16.592	41.968	996.496	-512	
6252477	-352	672	16336	-21.472	40.992	996.496	-544	
6412552	-352	768	16368	-21.472	46.848	998.448	-528	
6572632	-352	688	16320	-21.472	41.968	995.520	-528	
6732693	-384	704	16368	-23.424	42.944	998.448	-512	
6892762	-416	736	16320	-25.376	44.896	995.520	-528	
7052825	-448	656	16352	-27.328	40.016	997.472	-528	
7212897	-352	720	16320	-21.472	43.920	995.520	-496	
7372987	-352	704	16352	-21.472	42.944	997.472	-544	
7533084	-256	720	16368	-15.616	43.920	998.448	-544	
7693184	-272	704	16384	-16.592	42.944	999.424	-512	
7853277	-288	688	16368	-17.568	41.968	998.448	-560	
8013365	-272	672	16352	-16.592	40.992	997.472	-544	
8173456	-336	736	16320	-20.496	44.896	995.520	-528	
8333546	-288	704	16336	-17.568	42.944	996.496	-560	
8493634	-288	720	16384	-17.568	43.920	999.424	-544	
8653726	-336	704	16352	-20.496	42.944	997.472	-528	
8813809	-336	720	16320	-20.496	43.920	995.520	-528	
8973893	-336	752	16320	-20.496	45.872	995.520	-544	
9134011	-320	704	16336	-19.520	42.944	996.496	-512	
9294107	-320	720	16336	-19.520	43.920	996.496	-528	
9454210	-272	672	16352	-16.592	40.992	997.472	-560	
9614293	-272	688	16304	-16.592	41.968	994.544	-560	
9774402	-224	736	16384	-13.664	44.896	999.424	-512	
9934498	-304	672	16320	-18.544	40.992	995.520	-544	
10094588	-304	720	16320	-18.544	43.920	995.520	-528	
10254667	-304	656	16336	-18.544	40.016	996.496	-528	
10414744	-336	672	16336	-20.496	40.992	996.496	-528	
10574822	-288	688	16352	-17.568	41.968	997.472	-496	
10734903	-272	752	16320	-16.592	45.872	995.520	-528	
10894992	-272	672	16352	-16.592	40.992	997.472	-544	
11055078	-288	752	16352	-17.568	45.872	997.472	-544	
11215170	-288	736	16352	-17.568	44.896	997.472	-528	
11375285	-336	688	16352	-20.496	41.968	997.472	-560	
11535372	-336	672	16368	-20.496	40.992	998.448	-512	
11695484	-336	704	16304	-20.496	42.944	994.544	-528	
11855589	-288	720	16336	-17.568	43.920	996.496	-496	
12015676	-304	720	16368	-18.544	43.920	998.448	-528	
12175782	-288	704	16336	-17.568	42.944	996.496	-496	
12335882	-304	752	16336	-18.544	45.872	996.496	-544	
12495969	-352	672	16352	-21.472	40.992	997.472	-544	
12656053	-320	720	16320	-19.520	43.920	995.520	-560	
12816127	-320	704	16368	-19.520	42.944	998.448	-512	
12976219	-304	704	16352	-18.544	42.944	997.472	-544	
13136307	-272	688	16336	-16.592	41.968	996.496	-528	
13296395	-352	688	16320	-21.472	41.968	995.520	-528	
13456487	-304	704	16368	-18.544	42.944	998.448	-496	
13616584	-336	704	16320	-20.496	42.944	995.520	-544	
13776659	-352	736	16352	-21.472	44.896	997.472	-512	
13936737	-320	704	16320	-19.520	42.944	995.520	-512	
14096836	-288	688	16368	-17.568	41.968	998.448	-544	
14256917	-288	736	16336	-17.568	44.896	996.496	-560	
14417022	-272	704	16352	-16.592	42.944	997.472	-528	
14577128	-336	688	16336	-20.496	41.968	996.496	-528	
14737214	-320	656	16288	-19.520	40.016	993.568	-512	
14897295	-352	704	16304	-21.472	42.944	994.544	-528	
15057403	-304	720	16368	-18.544	43.920	998.448	-512	
15217489	-272	752	16384	-16.592	45.872	999.424	-560	
15377572	-304	752	16400	-18.544	45.872	1000.400	-528	
15537653	-304	720	16320	-18.544	43.920	995.520	-528	
15697758	-320	688	16384	-19.520	41.968	999.424	-496	
15857864	-288	688	16352	-17.568	41.968	997.472	-528	
16017984	-320	784	16368	-19.520	47.824	998.448	-512	
16178089	-288	736	16336	-17.568	44.896	996.496	-512	
16338190	-288	672	16352	-17.568	40.992	997.472	-528	
16498275	-352	688	16352	-21.472	41.968	997.472	-528	
16658360	-320	704	16384	-19.520	42.944	999.424	-528	
16818443	-352	688	16352	-21.472	41.968	997.472	-496	
16978541	-304	704	16384	-18.544	42.944	999.424	-512	
17138626	-304	704	16320	-18.544	42.944	995.520	-528	
17298730	-304	672	16384	-18.544	40.992	999.424	-528	
17458823	-288	736	16352	-17.568	44.896	997.472	-544	
17618912	-304	640	16336	-18.544	39.040	996.496	-544	
17779023	-288	688	16320	-17.568	41.968	995.520	-560	
17939132	-304	704	16368	-18.544	42.944	998.448	-528	
18099226	-320	720	16336	-19.520	43.920	996.496	-560	
18259321	-320	768	16304	-19.520	46.848	994.544	-544	
18419410	-320	704	16384	-19.520	42.944	999.424	-528	
18579500	-352	704	16336	-21.472	42.944	996.496	-544	
18739591	-320	704	16368	-19.520	42.944	998.448	-496	
18899684	-320	768	16336	-19.520	46.848	996.496	-528	
19059781	-272	720	16320	-16.592	43.920	995.520	-528	
19219877	-272	736	16320	-16.592	44.896	995.520	-544	
19379980	-288	672	16336	-17.568	40.992	996.496	-512	
19540055	-288	736	16384	-17.568	44.896	999.424	-528	
19700131	-304	784	16336	-18.544	47.824	996.496	-496	
19860206	-336	720	16368	-20.496	43.920	998.448	-560	
20020287	-352	720	16288	-21.472	43.920	993.568	-528	
20180366	-336	768	16320	-20.496	46.848	995.520	-544	
20340452	-320	656	16320	-19.520	40.016	995.520	-528	
20500522	-304	688	16336	-18.544	41.968	996.496	-512	
20660619	-272	704	16336	-16.592	42.944	996.496	-560	
20820708	-240	656	16352	-14.640	40.016	997.472	-560	
20980790	-288	720	16352	-17.568	43.920	997.472	-576	
21140860	-336	704	16336	-20.496	42.944	996.496	-512	
21300927	-320	688	16336	-19.520	41.968	996.496	-528	
21461008	-336	688	16384	-20.496	41.968	999.424	-544	
21621084	-304	720	16320	-18.544	43.920	995.520	-528	
21781159	-288	736	16352	-17.568	44.896	997.472	-528	
21941225	-304	704	16352	-18.544	42.944	997.472	-512	
22101311	-336	656	16352	-20.496	40.016	997.472	-544	
22261380	-304	672	16352	-18.544	40.992	997.472	-496	
22421457	-272	704	16352	-16.592	42.944	997.472	-544	
22581524	-304	752	16352	-18.544	45.872	997.472	-496	
22741603	-304	688	16288	-18.544	41.968	993.568	-544	
22901684	-272	672	16320	-16.592	40.992	995.520	-512	
23061788	-288	672	16384	-17.568	40.992	999.424	-528	
23221870	-272	688	16384	-16.592	41.968	999.424	-528	
23381965	-320	752	16336	-19.520	45.872	996.496	-528	
23542034	-352	688	16336	-21.472	41.968	996.496	-496	
23702095	-272	704	16368	-16.592	42.944	998.448	-528	
23862160	-288	688	16320	-17.568	41.968	995.520	-544	
24022234	-352	720	16352	-21.472	43.920	997.472	-560	
24182305	-304	672	16384	-18.544	40.992	999.424	-528	
24342376	-272	704	16368	-16.592	42.944	998.448	-512	
24502443	-304	688	16304	-18.544	41.968	994.544	-544	
24662544	-320	736	16352	-19.520	44.896	997.472	-560	
24822649	-304	704	16320	-18.544	42.944	995.520	-512	
24982729	-304	704	16336	-18.544	42.944	996.496	-512	
25142809	-288	704	16400	-17.568	42.944	1000.400	-512	
25302905	-256	720	16368	-15.616	43.920	998.448	-528	
25462987	-304	688	16384	-18.544	41.968	999.424	-528	
25623076	-288	720	16336	-17.568	43.920	996.496	-544	
25783161	-304	736	16368	-18.544	44.896	998.448	-512	
25943261	-352	752	16352	-21.472	45.872	997.472	-528	
26103355	-352	704	16336	-21.472	42.944	996.496	-544	
26263457	-320	720	16336	-19.520	43.920	996.496	-576	
26423576	-288	720	16400	-17.568	43.920	1000.400	-528	
26583704	-320	768	16336	-19.520	46.848	996.496	-544	
26743801	-336	688	16368	-20.496	41.968	998.448	-528	
26903916	-336	688	16320	-20.496	41.968	995.520	-560	
27064017	-320	720	16320	-19.520	43.920	995.520	-528	
27224113	-320	720	16320	-19.520	43.920	995.520	-544	
27384208	-304	720	16352	-18.544	43.920	997.472	-544	
27544304	-256	672	16352	-15.616	40.992	997.472	-528	
27704400	-272	704	16320	-16.592	42.944	995.520	-512	
27864492	-304	720	16320	-18.544	43.920	995.520	-528	
28024598	-288	688	16368	-17.568	41.968	998.448	-560	
28184698	-288	688	16336	-17.568	41.968	996.496	-528	
28344793	-288	720	16336	-17.568	43.920	996.496	-560	
28504877	-272	672	16368	-16.592	40.992	998.448	-576	
28664977	-368	736	16320	-22.448	44.896	995.520	-544	
28825095	-352	752	16352	-21.472	45.872	997.472	-528	
28985204	-272	720	16352	-16.592	43.920	997.472	-544	
29145287	-336	704	16320	-20.496	42.944	995.520	-544	
29305370	-320	688	16320	-19.520	41.968	995.520	-528	
