@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_filter_DIFF_on_A_X numeric
@attribute F3_VAR_on_ACC_X numeric
@attribute F4_VAR_on_filter_DIFF_on_A_X numeric
@attribute F5_ENERGY_on_ACC_X numeric
@attribute F6_ENERGY_on_filter_DIFF_on_A_X numeric
@attribute F7_PeakToPeak_on_ACC_X numeric
@attribute F8_PeakToPeak_on_filter_DIFF_on_A_X numeric
@attribute F9_ZeroCross_on_ACC_X numeric
@attribute F10_ZeroCross_on_filter_DIFF_on_A_X numeric
@attribute F11_PositiveZeroCross_on_ACC_X numeric
@attribute F12_PositiveZeroCross_on_filter_DIFF_on_A_X numeric
@attribute F13_NegativeZeroCross_on_ACC_X numeric
@attribute F14_NegativeZeroCross_on_filter_DIFF_on_A_X numeric
@attribute F15_PeaKDet_on_ACC_X numeric
@attribute F16_PeaKDet_on_filter_DIFF_on_A_X numeric
@attribute F17_PosPeaKDet_on_ACC_X numeric
@attribute F18_PosPeaKDet_on_filter_DIFF_on_A_X numeric
@attribute F19_NegPeaKDet_on_ACC_X numeric
@attribute F20_NegPeaKDet_on_filter_DIFF_on_A_X numeric
@attribute F21_MIN_on_ACC_X numeric
@attribute F22_MIN_on_filter_DIFF_on_A_X numeric
@attribute F23_MAX_on_ACC_X numeric
@attribute F24_MAX_on_filter_DIFF_on_A_X numeric
@attribute F25_RECURSIVE_FEATURE_MEAN_on_ACC_X numeric
@attribute F26_RECURSIVE_FEATURE_VAR_on_ACC_X numeric
@attribute F27_RECURSIVE_FEATURE_RMS_on_ACC_X numeric
@attribute F28_RECURSIVE_FEATURE_MEAN_on_filter_DIFF_on_A_X numeric
@attribute F29_RECURSIVE_FEATURE_VAR_on_filter_DIFF_on_A_X numeric
@attribute F30_RECURSIVE_FEATURE_RMS_on_filter_DIFF_on_A_X numeric
@attribute F31_RECURSIVE_FEATURE_MAX_on_ACC_X numeric
@attribute F32_RECURSIVE_FEATURE_MIN_on_ACC_X numeric
@attribute F33_RECURSIVE_FEATURE_PKPK_on_ACC_X numeric
@attribute F34_RECURSIVE_FEATURE_MAX_on_filter_DIFF_on_A_X numeric
@attribute F35_RECURSIVE_FEATURE_MIN_on_filter_DIFF_on_A_X numeric
@attribute F36_RECURSIVE_FEATURE_PKPK_on_filter_DIFF_on_A_X numeric
@attribute class {11_to_15, 6_to_10, 16_to_20, 21_to_25, 26_to_30, 31_to_35, 36_to_40, 41_to_45}

@data
0.248047, 0, 0, 0.000167608, 15.4609, 0.0427551, 0.128052, 0.0800781, 212, 312, 106, 156, 106, 156, 154, 182, 77, 91, 77, 91, 0.175903, -0.0480347, 0.303955, 0.0320435, 0.13269, 0.00605774, 0.153839, -0.0238037, 0, 0.0203033, 0.234375, 0, 0.234375, 0.0207062, -0.0290375, 0.0497437, 11_to_15
0.24585, 0.000125647, 0, 0.000175476, 15.2266, 0.0447388, 0.12793, 0.0800171, 222, 204, 112, 100, 110, 104, 158, 184, 79, 92, 79, 92, 0.191895, -0.0320435, 0.319824, 0.0479736, 0.192871, 0.0148621, 0.228173, -0.00153923, 0.000108063, 0.0105094, 0.271973, 0, 0.271973, 0.0154724, -0.0111694, 0.0266418, 11_to_15
0.244751, -6.27041e-05, 0, 0.000165582, 15.1328, 0.0422363, 0.144043, 0.0800171, 182, 300, 90, 150, 92, 150, 150, 180, 75, 90, 75, 90, 0.191895, -0.0400391, 0.335938, 0.039978, 0.162354, 0.0102386, 0.191287, -0.0131989, 0, 0, 0.253418, 0, 0.253418, 0.012558, -0.012146, 0.024704, 11_to_15
0.25, 6.27041e-05, 0, 0.000202656, 15.8672, 0.0516663, 0.160034, 0.0720215, 206, 328, 104, 164, 102, 164, 166, 194, 83, 97, 83, 97, 0.175903, -0.0320435, 0.335938, 0.039978, 0.175537, 0.0106964, 0.203725, -0.0299225, 0, 0.0265115, 0.31665, 0, 0.31665, 0.0205688, -0.0224609, 0.0430298, 11_to_15
0.276611, -6.27041e-05, 0, 0.000173688, 19.4844, 0.044281, 0.128052, 0.0639648, 82, 292, 40, 146, 42, 146, 146, 176, 73, 88, 73, 88, 0.207886, -0.0319824, 0.335938, 0.0319824, 0.164795, 0.0105286, 0.194137, -0.0103989, 0, 0.0103148, 0.248047, 0, 0.248047, 0.0167999, -0.012146, 0.0289459, 11_to_15
0.254883, -6.29425e-05, 0, 0.000158787, 16.4844, 0.0404968, 0.144043, 0.0720215, 76, 312, 38, 156, 38, 156, 148, 178, 74, 89, 74, 89, 0.191895, -0.0400391, 0.335938, 0.0319824, 0.125854, 0.00419617, 0.141544, -0.0343018, 0, 0.0237206, 0.234375, 0, 0.234375, 0.00785828, -0.0239868, 0.0318604, 11_to_15
0.247559, 0.000125647, 0, 0.000174761, 15.5938, 0.0445557, 0.128052, 0.0720215, 234, 322, 118, 162, 116, 160, 163, 189, 81, 94, 82, 95, 0.175903, -0.0320435, 0.303955, 0.039978, 0.190186, 0.0145569, 0.225211, 0.00312805, 0.000509262, 0.0227772, 0.271973, 0, 0.271973, 0.0239868, -0.0155258, 0.0395203, 11_to_15
0.243774, -6.27041e-05, 0, 0.000163198, 15.0859, 0.041626, 0.12793, 0.0718994, 222, 310, 110, 154, 112, 156, 155, 193, 78, 97, 77, 96, 0.191895, -0.0319824, 0.319824, 0.039917, 0.159058, 0.00970459, 0.187093, -0.016983, 0, 0, 0.234375, 0, 0.234375, 0.0137939, -0.0111847, 0.0249786, 11_to_15
0.24292, -3.1352e-05, 0, 0.000189543, 14.9766, 0.0483398, 0.143921, 0.0720825, 212, 296, 106, 148, 106, 148, 154, 174, 77, 87, 77, 87, 0.175903, -0.0320435, 0.319824, 0.0400391, 0.150513, 0.00854492, 0.176647, -0.0162659, 0, 0.0159123, 0.253418, 0, 0.253418, 0.0185852, -0.0159302, 0.0345154, 11_to_15
0.235962, 3.1352e-05, 0, 0.000186205, 14.1797, 0.0474854, 0.128052, 0.0720215, 172, 326, 86, 164, 86, 162, 153, 185, 76, 92, 77, 93, 0.175903, -0.0319824, 0.303955, 0.0400391, 0.182251, 0.0125732, 0.213954, 0.0180206, 0, 0.0140418, 0.23999, 0, 0.23999, 0.0167542, -0.0139847, 0.0307465, 11_to_15
