,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,363,939
'0:0:0.05,361,935
'0:0:0.1,396,928
'0:0:0.15,414,927
'0:0:0.2,397,933
'0:0:0.25,387,937
'0:0:0.3,390,936
'0:0:0.35,398,930
'0:0:0.4,401,921
'0:0:0.45,402,915
'0:0:0.5,413,909
'0:0:0.55,416,900
'0:0:0.6,409,897
'0:0:0.65,393,898
'0:0:0.7,403,896
'0:0:0.75,405,907
'0:0:0.8,380,924
'0:0:0.85,369,936
'0:0:0.9,380,947
'0:0:0.95,389,963
'0:0:1.0,381,986
'0:0:1.05,373,1007
'0:0:1.1,358,1030
'0:0:1.15,345,1052
'0:0:1.2,338,1074
'0:0:1.25,340,1090
'0:0:1.3,357,1107
'0:0:1.35,361,1134
'0:0:1.4,343,1165
'0:0:1.45,334,1190
'0:0:1.5,340,1220
'0:0:1.55,352,1245
'0:0:1.6,353,1276
'0:0:1.65,345,1306
'0:0:1.7,338,1335
'0:0:1.75,347,1363
'0:0:1.8,347,1388
'0:0:1.85,355,1411
'0:0:1.9,377,1440
'0:0:1.95,369,1461
'0:0:2.0,351,1478
'0:0:2.05,344,1489
'0:0:2.1,350,1502
'0:0:2.15,353,1517
'0:0:2.2,338,1520
'0:0:2.25,333,1500
'0:0:2.3,333,1465
'0:0:2.35,330,1425
'0:0:2.4,332,1377
'0:0:2.45,363,1341
'0:0:2.5,373,1305
'0:0:2.55,360,1274
'0:0:2.6,348,1241
'0:0:2.65,351,1212
'0:0:2.7,358,1188
'0:0:2.75,357,1170
'0:0:2.8,350,1147
'0:0:2.85,346,1123
'0:0:2.9,348,1102
'0:0:2.95,354,1081
'0:0:3.0,377,1055
'0:0:3.05,402,1040
'0:0:3.1,400,1028
'0:0:3.15,380,1021
'0:0:3.2,364,1020
'0:0:3.25,357,1018
'0:0:3.3,356,1013
'0:0:3.35,345,1007
'0:0:3.4,335,1001
'0:0:3.45,339,991
'0:0:3.5,342,983
'0:0:3.55,345,973
'0:0:3.6,361,958
'0:0:3.65,386,949
'0:0:3.7,376,946
'0:0:3.75,361,944
'0:0:3.8,359,940
'0:0:3.85,358,932
'0:0:3.9,358,926
'0:0:3.95,353,923
'0:0:4.0,348,918
'0:0:4.05,349,917
'0:0:4.1,357,916
'0:0:4.15,360,912
'0:0:4.2,352,907
'0:0:4.25,360,900
'0:0:4.3,390,894
'0:0:4.35,387,894
'0:0:4.4,374,897
'0:0:4.45,363,900
'0:0:4.5,359,901
'0:0:4.55,358,901
'0:0:4.6,356,901
'0:0:4.65,349,901
'0:0:4.7,347,899
'0:0:4.75,343,900
'0:0:4.8,344,908
'0:0:4.85,342,917
'0:0:4.9,345,925
'0:0:4.95,342,932
'0:0:5.0,357,935
'0:0:5.05,389,943
'0:0:5.1,380,956
'0:0:5.15,358,966
'0:0:5.2,351,979
'0:0:5.25,355,996
'0:0:5.3,358,1017
'0:0:5.35,353,1034
'0:0:5.4,346,1051
'0:0:5.45,345,1070
'0:0:5.5,347,1091
'0:0:5.55,349,1111
'0:0:5.6,346,1140
'0:0:5.65,346,1164
'0:0:5.7,347,1191
'0:0:5.75,345,1219
'0:0:5.8,355,1242
'0:0:5.85,390,1262
'0:0:5.9,393,1286
'0:0:5.95,368,1305
'0:0:6.0,348,1322
'0:0:6.05,351,1338
'0:0:6.1,358,1358
'0:0:6.15,358,1374
'0:0:6.2,350,1391
'0:0:6.25,350,1408
'0:0:6.3,353,1430
'0:0:6.35,357,1448
'0:0:6.4,356,1464
'0:0:6.45,358,1478
'0:0:6.5,351,1485
'0:0:6.55,369,1485
'0:0:6.6,394,1483
'0:0:6.65,384,1478
'0:0:6.7,364,1465
'0:0:6.75,355,1448
'0:0:6.8,363,1421
'0:0:6.85,361,1389
'0:0:6.9,356,1353
'0:0:6.95,359,1324
'0:0:7.0,350,1292
'0:0:7.05,349,1258
'0:0:7.1,344,1226
'0:0:7.15,346,1193
'0:0:7.2,343,1151
'0:0:7.25,365,1120
'0:0:7.3,379,1090
'0:0:7.35,362,1065
'0:0:7.4,341,1041
'0:0:7.45,342,1024
'0:0:7.5,355,1009
'0:0:7.55,356,999
'0:0:7.6,347,989
'0:0:7.65,340,980
'0:0:7.7,343,975
'0:0:7.75,346,967
'0:0:7.8,347,958
'0:0:7.85,345,947
'0:0:7.9,369,930
'0:0:7.95,396,921
'0:0:8.0,383,916
'0:0:8.05,363,914
'0:0:8.1,359,910
'0:0:8.15,367,905
'0:0:8.2,367,900
'0:0:8.25,362,896
'0:0:8.3,353,891
'0:0:8.35,355,890
'0:0:8.4,356,890
'0:0:8.45,362,887
'0:0:8.5,356,884
'0:0:8.55,366,879
'0:0:8.6,396,875
'0:0:8.65,403,875
'0:0:8.7,386,878
'0:0:8.75,388,882
'0:0:8.8,413,884
'0:0:8.85,437,883
'0:0:8.9,479,880
'0:0:8.95,502,877
'0:0:9.0,460,875
'0:0:9.05,423,875
'0:0:9.1,402,874
'0:0:9.15,386,873
'0:0:9.2,373,871
'0:0:9.25,379,865
'0:0:9.3,399,863
'0:0:9.35,388,866
'0:0:9.4,364,873
'0:0:9.45,353,880
'0:0:9.5,359,884
'0:0:9.55,365,884
'0:0:9.6,362,881
'0:0:9.65,355,878
'0:0:9.7,350,876
'0:0:9.75,351,879
'0:0:9.8,354,884
'0:0:9.85,353,888
'0:0:9.9,351,893
'0:0:9.95,360,897
'0:0:10.0,387,906
'0:0:10.05,386,920
'0:0:10.1,365,935
'0:0:10.15,351,946
