,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,394,719
'0:0:0.05,410,716
'0:0:0.1,415,717
'0:0:0.15,372,722
'0:0:0.2,319,726
'0:0:0.25,278,727
'0:0:0.3,271,729
'0:0:0.35,310,732
'0:0:0.4,363,733
'0:0:0.45,400,731
'0:0:0.5,419,731
'0:0:0.55,429,730
'0:0:0.6,441,726
'0:0:0.65,431,728
'0:0:0.7,419,735
'0:0:0.75,420,740
'0:0:0.8,444,741
'0:0:0.85,458,745
'0:0:0.9,452,760
'0:0:0.95,417,776
'0:0:1.0,373,787
'0:0:1.05,338,805
'0:0:1.1,321,825
'0:0:1.15,335,843
'0:0:1.2,340,860
'0:0:1.25,331,877
'0:0:1.3,330,898
'0:0:1.35,333,916
'0:0:1.4,340,934
'0:0:1.45,338,959
'0:0:1.5,333,979
'0:0:1.55,331,1000
'0:0:1.6,334,1020
'0:0:1.65,345,1048
'0:0:1.7,362,1077
'0:0:1.75,363,1103
'0:0:1.8,352,1122
'0:0:1.85,347,1143
'0:0:1.9,351,1163
'0:0:1.95,352,1186
'0:0:2.0,356,1206
'0:0:2.05,352,1224
'0:0:2.1,347,1238
'0:0:2.15,344,1251
'0:0:2.2,354,1258
'0:0:2.25,365,1256
'0:0:2.3,361,1242
'0:0:2.35,356,1225
'0:0:2.4,356,1215
'0:0:2.45,366,1200
'0:0:2.5,368,1183
'0:0:2.55,366,1157
'0:0:2.6,369,1134
'0:0:2.65,375,1110
'0:0:2.7,386,1089
'0:0:2.75,406,1073
'0:0:2.8,411,1061
'0:0:2.85,393,1047
'0:0:2.9,369,1032
'0:0:2.95,358,1016
'0:0:3.0,357,999
'0:0:3.05,355,986
'0:0:3.1,353,969
'0:0:3.15,349,949
'0:0:3.2,354,942
'0:0:3.25,370,932
'0:0:3.3,382,918
'0:0:3.35,379,909
'0:0:3.4,371,907
'0:0:3.45,361,899
'0:0:3.5,357,888
'0:0:3.55,355,878
'0:0:3.6,350,868
'0:0:3.65,351,852
'0:0:3.7,352,837
'0:0:3.75,357,825
'0:0:3.8,370,812
'0:0:3.85,373,806
'0:0:3.9,371,805
'0:0:3.95,362,798
'0:0:4.0,365,788
'0:0:4.05,365,780
'0:0:4.1,363,773
'0:0:4.15,358,763
'0:0:4.2,357,756
'0:0:4.25,356,753
'0:0:4.3,365,749
'0:0:4.35,368,746
'0:0:4.4,355,747
'0:0:4.45,351,745
'0:0:4.5,357,742
'0:0:4.55,368,738
'0:0:4.6,374,734
'0:0:4.65,373,730
'0:0:4.7,368,725
'0:0:4.75,363,722
'0:0:4.8,365,720
'0:0:4.85,376,716
'0:0:4.9,371,716
'0:0:4.95,360,719
'0:0:5.0,361,719
'0:0:5.05,364,717
'0:0:5.1,364,716
'0:0:5.15,356,717
'0:0:5.2,351,712
'0:0:5.25,350,712
'0:0:5.3,350,720
'0:0:5.35,359,728
'0:0:5.4,361,740
'0:0:5.45,350,759
'0:0:5.5,345,771
'0:0:5.55,349,774
'0:0:5.6,356,778
'0:0:5.65,356,792
'0:0:5.7,355,802
'0:0:5.75,354,808
'0:0:5.8,353,822
'0:0:5.85,359,839
'0:0:5.9,367,853
'0:0:5.95,357,869
'0:0:6.0,350,886
'0:0:6.05,350,902
'0:0:6.1,357,917
'0:0:6.15,361,937
'0:0:6.2,359,951
'0:0:6.25,360,962
'0:0:6.3,361,973
'0:0:6.35,367,988
'0:0:6.4,381,1003
'0:0:6.45,374,1016
'0:0:6.5,364,1031
'0:0:6.55,352,1048
'0:0:6.6,352,1065
'0:0:6.65,357,1085
'0:0:6.7,357,1100
'0:0:6.75,355,1113
'0:0:6.8,355,1122
'0:0:6.85,356,1136
'0:0:6.9,364,1151
'0:0:6.95,361,1162
'0:0:7.0,354,1170
'0:0:7.05,347,1179
'0:0:7.1,355,1187
'0:0:7.15,360,1191
'0:0:7.2,361,1187
'0:0:7.25,362,1179
'0:0:7.3,364,1166
'0:0:7.35,366,1157
'0:0:7.4,380,1153
'0:0:7.45,380,1142
'0:0:7.5,369,1129
'0:0:7.55,360,1115
'0:0:7.6,363,1103
'0:0:7.65,365,1091
'0:0:7.7,363,1073
'0:0:7.75,358,1048
'0:0:7.8,353,1025
'0:0:7.85,354,1005
'0:0:7.9,369,987
'0:0:7.95,370,968
'0:0:8.0,366,956
'0:0:8.05,364,942
'0:0:8.1,370,930
'0:0:8.15,373,921
'0:0:8.2,373,913
'0:0:8.25,368,899
'0:0:8.3,365,885
'0:0:8.35,368,876
'0:0:8.4,382,868
'0:0:8.45,385,860
'0:0:8.5,374,857
'0:0:8.55,368,851
'0:0:8.6,369,843
'0:0:8.65,366,835
'0:0:8.7,363,826
'0:0:8.75,357,812
'0:0:8.8,355,801
'0:0:8.85,357,794
'0:0:8.9,372,788
'0:0:8.95,372,785
'0:0:9.0,363,786
'0:0:9.05,357,781
'0:0:9.1,363,774
'0:0:9.15,365,765
'0:0:9.2,360,759
'0:0:9.25,356,749
'0:0:9.3,356,741
'0:0:9.35,357,737
'0:0:9.4,372,734
'0:0:9.45,380,731
'0:0:9.5,375,730
'0:0:9.55,375,727
'0:0:9.6,374,724
'0:0:9.65,374,720
'0:0:9.7,362,717
'0:0:9.75,354,711
'0:0:9.8,349,707
'0:0:9.85,348,707
'0:0:9.9,364,706
'0:0:9.95,367,706
'0:0:10.0,362,707
'0:0:10.05,354,707
'0:0:10.1,357,707
'0:0:10.15,362,706
'0:0:10.2,364,705
'0:0:10.25,365,701
'0:0:10.3,360,701
