Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
3253	96	-624	16976	5.856	-38.064	1035.536	128	
8238	144	-576	17040	8.784	-35.136	1039.440	112	
13223	176	-640	16960	10.736	-39.040	1034.560	144	
18207	176	-608	16976	10.736	-37.088	1035.536	144	
23192	144	-560	17008	8.784	-34.160	1037.488	144	
28178	96	-592	16992	5.856	-36.112	1036.512	144	
33163	48	-624	17008	2.928	-38.064	1037.488	112	
38148	96	-592	17008	5.856	-36.112	1037.488	144	
43134	144	-592	16976	8.784	-36.112	1035.536	128	
48120	208	-528	16928	12.688	-32.208	1032.608	192	
53105	208	-624	17024	12.688	-38.064	1038.464	160	
58091	112	-608	16992	6.832	-37.088	1036.512	176	
63076	96	-688	17072	5.856	-41.968	1041.392	176	
68061	160	-624	17008	9.760	-38.064	1037.488	160	
73047	160	-528	16992	9.760	-32.208	1036.512	176	
78033	128	-544	16992	7.808	-33.184	1036.512	160	
83019	160	-560	16928	9.760	-34.160	1032.608	160	
88005	128	-592	16992	7.808	-36.112	1036.512	176	
92990	192	-592	17008	11.712	-36.112	1037.488	144	
97975	144	-688	17008	8.784	-41.968	1037.488	176	
102958	160	-576	17056	9.760	-35.136	1040.416	160	
107943	208	-560	16992	12.688	-34.160	1036.512	144	
112930	176	-672	17056	10.736	-40.992	1040.416	176	
117915	176	-560	16960	10.736	-34.160	1034.560	160	
122901	96	-576	16992	5.856	-35.136	1036.512	144	
127886	64	-592	16960	3.904	-36.112	1034.560	176	
132871	48	-560	16928	2.928	-34.160	1032.608	144	
137856	96	-656	16992	5.856	-40.016	1036.512	160	
142841	176	-624	17040	10.736	-38.064	1039.440	144	
147826	176	-592	17056	10.736	-36.112	1040.416	160	
152812	144	-624	17024	8.784	-38.064	1038.464	176	
157798	144	-592	17008	8.784	-36.112	1037.488	160	
162782	160	-624	17040	9.760	-38.064	1039.440	160	
167767	80	-672	16976	4.880	-40.992	1035.536	160	
172752	112	-592	16960	6.832	-36.112	1034.560	112	
177737	96	-512	16928	5.856	-31.232	1032.608	144	
182722	128	-576	16944	7.808	-35.136	1033.584	160	
187708	224	-608	16960	13.664	-37.088	1034.560	160	
192691	160	-656	17024	9.760	-40.016	1038.464	128	
197679	192	-640	17024	11.712	-39.040	1038.464	160	
202664	128	-592	17056	7.808	-36.112	1040.416	160	
207649	144	-688	17008	8.784	-41.968	1037.488	176	
212634	144	-640	17008	8.784	-39.040	1037.488	160	
217619	160	-656	16992	9.760	-40.016	1036.512	144	
222605	144	-608	16912	8.784	-37.088	1031.632	160	
227590	112	-576	16992	6.832	-35.136	1036.512	160	
232575	128	-576	17008	7.808	-35.136	1037.488	160	
237561	48	-576	17008	2.928	-35.136	1037.488	176	
242546	144	-656	16992	8.784	-40.016	1036.512	176	
247531	176	-672	16992	10.736	-40.992	1036.512	128	
252516	240	-592	16992	14.640	-36.112	1036.512	160	
257501	160	-640	16960	9.760	-39.040	1034.560	192	
262487	64	-576	16976	3.904	-35.136	1035.536	144	
267472	32	-576	16992	1.952	-35.136	1036.512	144	
272457	16	-560	16992	0.976	-34.160	1036.512	160	
277442	144	-592	17024	8.784	-36.112	1038.464	128	
282428	224	-576	17056	13.664	-35.136	1040.416	160	
287414	320	-656	16992	19.520	-40.016	1036.512	112	
292400	192	-560	16992	11.712	-34.160	1036.512	144	
297385	96	-544	16992	5.856	-33.184	1036.512	144	
302370	0	-544	17024	0.000	-33.184	1038.464	144	
307356	32	-640	17024	1.952	-39.040	1038.464	144	
312342	160	-656	17040	9.760	-40.016	1039.440	144	
317328	192	-656	17008	11.712	-40.016	1037.488	144	
322312	208	-672	17024	12.688	-40.992	1038.464	160	
327296	192	-624	16976	11.712	-38.064	1035.536	176	
