Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
3404	176	-240	16992	10.736	-14.640	1036.512	-128	
8391	176	-208	16992	10.736	-12.688	1036.512	-64	
13376	224	-256	17008	13.664	-15.616	1037.488	-96	
18361	160	-208	17040	9.760	-12.688	1039.440	-112	
23346	192	-256	16992	11.712	-15.616	1036.512	-96	
28332	144	-320	16960	8.784	-19.520	1034.560	-96	
33316	160	-240	16912	9.760	-14.640	1031.632	-112	
38302	192	-256	16912	11.712	-15.616	1031.632	-64	
43287	208	-352	17008	12.688	-21.472	1037.488	-80	
48271	144	-256	17024	8.784	-15.616	1038.464	-112	
53256	128	-256	16976	7.808	-15.616	1035.536	-160	
58242	176	-256	17056	10.736	-15.616	1040.416	-32	
63227	144	-240	17024	8.784	-14.640	1038.464	-96	
68213	160	-176	16992	9.760	-10.736	1036.512	-96	
73198	160	-224	16992	9.760	-13.664	1036.512	-112	
78183	208	-224	16944	12.688	-13.664	1033.584	-80	
83169	240	-256	16912	14.640	-15.616	1031.632	-128	
88153	176	-176	16944	10.736	-10.736	1033.584	-112	
93137	176	-192	16992	10.736	-11.712	1036.512	-80	
98123	144	-160	17008	8.784	-9.760	1037.488	-112	
103109	176	-128	17056	10.736	-7.808	1040.416	-160	
108094	208	-176	16928	12.688	-10.736	1032.608	-64	
113078	192	-128	16976	11.712	-7.808	1035.536	-96	
118064	192	-208	16992	11.712	-12.688	1036.512	-112	
123048	224	-144	16880	13.664	-8.784	1029.680	-128	
128034	208	-192	17008	12.688	-11.712	1037.488	-80	
133020	240	-160	16976	14.640	-9.760	1035.536	-128	
138006	160	-112	16960	9.760	-6.832	1034.560	-112	
142991	192	-160	17056	11.712	-9.760	1040.416	-96	
147976	176	-160	16896	10.736	-9.760	1030.656	-112	
152962	144	-176	16992	8.784	-10.736	1036.512	-128	
157948	192	-176	17056	11.712	-10.736	1040.416	-112	
162933	224	-160	17008	13.664	-9.760	1037.488	-80	
167919	208	-240	16992	12.688	-14.640	1036.512	-144	
172905	224	-160	16944	13.664	-9.760	1033.584	-112	
177891	208	-256	16944	12.688	-15.616	1033.584	-128	
182875	192	-176	16928	11.712	-10.736	1032.608	-160	
187861	144	-224	17008	8.784	-13.664	1037.488	-144	
192846	144	-192	17056	8.784	-11.712	1040.416	-112	
197831	176	-208	17056	10.736	-12.688	1040.416	-112	
202815	128	-240	16976	7.808	-14.640	1035.536	-192	
207803	176	-256	17024	10.736	-15.616	1038.464	-80	
212788	160	-208	16992	9.760	-12.688	1036.512	-112	
217774	160	-208	16976	9.760	-12.688	1035.536	-128	
222759	176	-240	16960	10.736	-14.640	1034.560	-128	
227743	160	-240	16944	9.760	-14.640	1033.584	-160	
