,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,288,148
'0:0:0.05,275,161
'0:0:0.1,290,171
'0:0:0.15,313,177
'0:0:0.2,360,180
'0:0:0.25,392,176
'0:0:0.3,390,170
'0:0:0.35,381,165
'0:0:0.4,418,174
'0:0:0.45,445,174
'0:0:0.5,426,154
'0:0:0.55,405,151
'0:0:0.6,410,159
'0:0:0.65,434,162
'0:0:0.7,454,163
'0:0:0.75,421,155
'0:0:0.8,366,142
'0:0:0.85,339,136
'0:0:0.9,346,132
'0:0:0.95,351,126
'0:0:1.0,340,118
'0:0:1.05,330,111
'0:0:1.1,331,109
'0:0:1.15,374,117
'0:0:1.2,362,122
'0:0:1.25,299,113
'0:0:1.3,272,116
'0:0:1.35,294,135
'0:0:1.4,315,143
'0:0:1.45,320,151
'0:0:1.5,329,165
'0:0:1.55,342,177
'0:0:1.6,364,186
'0:0:1.65,416,192
'0:0:1.7,428,192
'0:0:1.75,409,187
'0:0:1.8,422,195
'0:0:1.85,422,181
'0:0:1.9,403,153
'0:0:1.95,390,156
'0:0:2.0,387,164
'0:0:2.05,391,161
'0:0:2.1,405,153
'0:0:2.15,416,139
'0:0:2.2,395,129
'0:0:2.25,368,127
'0:0:2.3,354,126
'0:0:2.35,355,125
'0:0:2.4,348,123
'0:0:2.45,335,122
'0:0:2.5,327,123
'0:0:2.55,323,131
'0:0:2.6,342,141
'0:0:2.65,361,139
'0:0:2.7,338,132
'0:0:2.75,305,147
'0:0:2.8,291,160
'0:0:2.85,295,168
'0:0:2.9,313,180
'0:0:2.95,323,187
'0:0:3.0,333,189
'0:0:3.05,346,192
'0:0:3.1,364,189
'0:0:3.15,407,184
'0:0:3.2,467,187
'0:0:3.25,456,175
'0:0:3.3,412,157
'0:0:3.35,390,165
'0:0:3.4,395,172
'0:0:3.45,396,165
'0:0:3.5,378,154
'0:0:3.55,360,141
'0:0:3.6,348,133
'0:0:3.65,346,130
'0:0:3.7,376,127
'0:0:3.75,368,126
'0:0:3.8,342,131
'0:0:3.85,325,140
'0:0:3.9,270,133
'0:0:3.95,265,130
'0:0:4.0,288,153
'0:0:4.05,311,170
'0:0:4.1,327,173
'0:0:4.15,334,182
'0:0:4.2,370,191
'0:0:4.25,413,202
'0:0:4.3,413,206
'0:0:4.35,389,199
'0:0:4.4,400,199
'0:0:4.45,410,187
'0:0:4.5,393,163
'0:0:4.55,383,165
'0:0:4.6,382,172
'0:0:4.65,384,164
'0:0:4.7,395,158
'0:0:4.75,419,149
'0:0:4.8,404,140
'0:0:4.85,367,138
'0:0:4.9,345,134
'0:0:4.95,341,128
'0:0:5.0,342,124
'0:0:5.05,330,122
'0:0:5.1,337,129
'0:0:5.15,340,135
'0:0:5.2,311,125
'0:0:5.25,324,127
'0:0:5.3,343,149
'0:0:5.35,334,161
'0:0:5.4,318,170
'0:0:5.45,325,184
'0:0:5.5,343,191
'0:0:5.55,354,196
'0:0:5.6,358,198
'0:0:5.65,366,199
'0:0:5.7,397,203
'0:0:5.75,427,187
'0:0:5.8,439,169
'0:0:5.85,417,183
'0:0:5.9,398,196
'0:0:5.95,394,196
'0:0:6.0,391,189
'0:0:6.05,371,174
'0:0:6.1,349,163
'0:0:6.15,336,155
'0:0:6.2,327,149
'0:0:6.25,358,142
'0:0:6.3,380,138
'0:0:6.35,372,140
'0:0:6.4,344,149
'0:0:6.45,300,143
'0:0:6.5,283,131
'0:0:6.55,289,146
'0:0:6.6,300,162
'0:0:6.65,317,168
'0:0:6.7,334,176
'0:0:6.75,359,183
'0:0:6.8,410,192
'0:0:6.85,413,198
'0:0:6.9,378,193
'0:0:6.95,354,187
'0:0:7.0,376,187
'0:0:7.05,382,165
'0:0:7.1,377,147
'0:0:7.15,382,159
'0:0:7.2,388,168
'0:0:7.25,411,166
'0:0:7.3,432,160
'0:0:7.35,410,144
'0:0:7.4,361,136
'0:0:7.45,333,134
'0:0:7.5,344,130
'0:0:7.55,353,121
'0:0:7.6,342,112
'0:0:7.65,333,104
'0:0:7.7,342,107
'0:0:7.75,350,106
'0:0:7.8,348,96
'0:0:7.85,326,101
'0:0:7.9,307,118
'0:0:7.95,307,129
'0:0:8.0,311,136
'0:0:8.05,323,146
'0:0:8.1,343,157
'0:0:8.15,365,164
'0:0:8.2,382,168
'0:0:8.25,401,173
'0:0:8.3,421,175
'0:0:8.35,417,177
'0:0:8.4,404,179
'0:0:8.45,392,167
'0:0:8.5,379,154
'0:0:8.55,378,154
'0:0:8.6,368,150
'0:0:8.65,371,147
'0:0:8.7,376,147
'0:0:8.75,388,139
'0:0:8.8,397,129
'0:0:8.85,369,124
'0:0:8.9,345,122
'0:0:8.95,341,121
'0:0:9.0,347,121
'0:0:9.05,341,124
'0:0:9.1,344,135
'0:0:9.15,311,138
'0:0:9.2,281,128
'0:0:9.25,313,133
'0:0:9.3,336,149
'0:0:9.35,331,160
'0:0:9.4,321,170
'0:0:9.45,336,178
'0:0:9.5,358,184
'0:0:9.55,367,189
'0:0:9.6,373,190
'0:0:9.65,379,187
'0:0:9.7,405,185
'0:0:9.75,448,184
'0:0:9.8,417,161
'0:0:9.85,368,142
'0:0:9.9,371,168
'0:0:9.95,407,187
'0:0:10.0,404,169
'0:0:10.05,373,145
'0:0:10.1,348,132
'0:0:10.15,338,130
'0:0:10.2,369,128
'0:0:10.25,396,122
'0:0:10.3,364,123
'0:0:10.35,340,134
'0:0:10.4,310,129
'0:0:10.45,294,113
'0:0:10.5,300,123
'0:0:10.55,310,143
