,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'-0:0:0.0,349,645
'0:0:0.05,324,646
'0:0:0.1,319,649
'0:0:0.15,345,649
'0:0:0.2,452,644
'0:0:0.25,474,639
'0:0:0.3,416,640
'0:0:0.35,376,644
'0:0:0.4,349,646
'0:0:0.45,351,646
'0:0:0.5,355,645
'0:0:0.55,342,645
'0:0:0.6,324,645
'0:0:0.65,316,646
'0:0:0.7,142,645
'0:0:0.75,159,642
'0:0:0.8,207,639
'0:0:0.85,454,639
'0:0:0.9,486,634
'0:0:0.95,534,626
'0:0:1.0,493,620
'0:0:1.05,419,619
'0:0:1.1,378,621
'0:0:1.15,353,621
'0:0:1.2,356,620
'0:0:1.25,356,615
'0:0:1.3,338,610
'0:0:1.35,320,608
'0:0:1.4,314,607
'0:0:1.45,317,605
'0:0:1.5,319,605
'0:0:1.55,321,605
'0:0:1.6,332,604
'0:0:1.65,423,602
'0:0:1.7,474,598
'0:0:1.75,221,597
'0:0:1.8,305,599
'0:0:1.85,412,601
'0:0:1.9,475,601
'0:0:1.95,442,601
'0:0:2.0,396,601
'0:0:2.05,356,600
'0:0:2.1,333,600
'0:0:2.15,328,600
'0:0:2.2,329,600
'0:0:2.25,329,600
'0:0:2.3,328,601
'0:0:2.35,395,601
'0:0:2.4,469,597
'0:0:2.45,442,593
'0:0:2.5,386,592
'0:0:2.55,356,594
'0:0:2.6,350,595
'0:0:2.65,363,593
'0:0:2.7,356,590
'0:0:2.75,185,586
'0:0:2.8,144,584
'0:0:2.85,241,583
'0:0:2.9,453,582
'0:0:2.95,432,580
'0:0:3.0,388,580
'0:0:3.05,420,578
'0:0:3.1,485,575
'0:0:3.15,454,571
'0:0:3.2,395,566
'0:0:3.25,359,561
'0:0:3.3,347,558
'0:0:3.35,359,558
'0:0:3.4,353,558
'0:0:3.45,337,559
'0:0:3.5,323,559
'0:0:3.55,321,560
'0:0:3.6,323,562
'0:0:3.65,325,569
'0:0:3.7,329,580
'0:0:3.75,342,587
'0:0:3.8,242,592
'0:0:3.85,356,600
'0:0:3.9,478,614
'0:0:3.95,497,634
'0:0:4.0,429,654
'0:0:4.05,395,674
'0:0:4.1,368,691
'0:0:4.15,342,711
'0:0:4.2,334,727
'0:0:4.25,330,740
'0:0:4.3,323,756
'0:0:4.35,323,776
'0:0:4.4,331,797
'0:0:4.45,399,818
'0:0:4.5,450,832
'0:0:4.55,418,844
'0:0:4.6,376,857
'0:0:4.65,348,874
'0:0:4.7,345,894
'0:0:4.75,354,914
'0:0:4.8,213,930
'0:0:4.85,145,941
'0:0:4.9,264,945
'0:0:4.95,445,949
'0:0:5.0,422,955
'0:0:5.05,384,966
'0:0:5.1,412,976
'0:0:5.15,462,990
'0:0:5.2,426,1005
'0:0:5.25,381,1020
'0:0:5.3,353,1031
'0:0:5.35,347,1038
'0:0:5.4,358,1047
'0:0:5.45,348,1061
'0:0:5.5,328,1075
'0:0:5.55,320,1089
'0:0:5.6,320,1099
'0:0:5.65,318,1108
'0:0:5.7,334,1115
'0:0:5.75,405,1123
'0:0:5.8,340,1128
'0:0:5.85,236,1135
'0:0:5.9,254,1143
'0:0:5.95,433,1150
'0:0:6.0,457,1157
'0:0:6.05,424,1169
'0:0:6.1,381,1178
'0:0:6.15,349,1184
'0:0:6.2,331,1187
'0:0:6.25,320,1188
'0:0:6.3,323,1185
'0:0:6.35,360,1181
'0:0:6.4,433,1179
'0:0:6.45,428,1176
'0:0:6.5,391,1175
'0:0:6.55,368,1178
'0:0:6.6,348,1180
'0:0:6.65,354,1185
'0:0:6.7,353,1190
'0:0:6.75,339,1196
'0:0:6.8,325,1201
'0:0:6.85,216,1208
'0:0:6.9,170,1219
'0:0:6.95,310,1235
'0:0:7.0,493,1243
'0:0:7.05,525,1241
'0:0:7.1,471,1237
'0:0:7.15,417,1235
'0:0:7.2,377,1240
'0:0:7.25,354,1252
'0:0:7.3,357,1259
'0:0:7.35,351,1253
'0:0:7.4,333,1249
'0:0:7.45,324,1246
'0:0:7.5,323,1240
'0:0:7.55,326,1229
'0:0:7.6,329,1220
'0:0:7.65,347,1220
'0:0:7.7,419,1223
'0:0:7.75,432,1220
'0:0:7.8,395,1213
'0:0:7.85,240,1204
'0:0:7.9,213,1196
'0:0:7.95,221,1188
'0:0:8.0,440,1177
'0:0:8.05,442,1164
'0:0:8.1,390,1153
'0:0:8.15,359,1142
'0:0:8.2,344,1133
'0:0:8.25,339,1126
'0:0:8.3,332,1119
'0:0:8.35,337,1113
'0:0:8.4,406,1102
'0:0:8.45,436,1077
'0:0:8.5,398,1050
'0:0:8.55,372,1026
'0:0:8.6,350,1007
'0:0:8.65,346,989
'0:0:8.7,352,970
'0:0:8.75,343,948
'0:0:8.8,329,930
'0:0:8.85,324,917
'0:0:8.9,181,905
'0:0:8.95,189,892
'0:0:9.0,328,880
'0:0:9.05,444,869
'0:0:9.1,408,858
'0:0:9.15,415,844
'0:0:9.2,468,831
'0:0:9.25,440,819
'0:0:9.3,394,814
'0:0:9.35,370,813
'0:0:9.4,351,812
'0:0:9.45,353,812
'0:0:9.5,352,809
'0:0:9.55,339,802
'0:0:9.6,330,795
'0:0:9.65,327,787
'0:0:9.7,330,782
'0:0:9.75,331,777
'0:0:9.8,331,772
'0:0:9.85,327,769
'0:0:9.9,169,766
'0:0:9.95,271,759
'0:0:10.0,324,753
'0:0:10.05,534,747
'0:0:10.1,499,743
'0:0:10.15,432,743
'0:0:10.2,386,744
'0:0:10.25,375,746
