Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
3360	256	-784	17024	15.616	-47.824	1038.464	1168	
8346	272	-720	16944	16.592	-43.920	1033.584	656	
13334	320	-848	16992	19.520	-51.728	1036.512	304	
18321	224	-720	16928	13.664	-43.920	1032.608	1056	
23307	320	-656	17024	19.520	-40.016	1038.464	816	
28293	288	-768	17024	17.568	-46.848	1038.464	640	
33280	320	-736	17056	19.520	-44.896	1040.416	224	
38266	304	-656	17008	18.544	-40.016	1037.488	512	
43493	272	-800	16992	16.592	-48.800	1036.512	1088	
48239	320	-752	17024	19.520	-45.872	1038.464	368	
53227	320	-736	16928	19.520	-44.896	1032.608	880	
58214	304	-768	16992	18.544	-46.848	1036.512	640	
63200	304	-768	17088	18.544	-46.848	1042.368	304	
68187	272	-704	17056	16.592	-42.944	1040.416	976	
73174	288	-736	17056	17.568	-44.896	1040.416	816	
78161	384	-800	16992	23.424	-48.800	1036.512	592	
83148	256	-704	16992	15.616	-42.944	1036.512	-400	
88135	272	-832	17024	16.592	-50.752	1038.464	400	
93122	272	-736	16976	16.592	-44.896	1035.536	1424	
98108	256	-752	17008	15.616	-45.872	1037.488	352	
103094	336	-720	16928	20.496	-43.920	1032.608	592	
108080	320	-720	16896	19.520	-43.920	1030.656	528	
113066	336	-768	16928	20.496	-46.848	1032.608	208	
118052	384	-800	16992	23.424	-48.800	1036.512	864	
123039	320	-688	17072	19.520	-41.968	1041.392	736	
128026	416	-832	17104	25.376	-50.752	1043.344	528	
133012	288	-832	17008	17.568	-50.752	1037.488	-16	
137999	352	-720	17056	21.472	-43.920	1040.416	272	
142985	272	-704	17072	16.592	-42.944	1041.392	976	
147972	224	-832	17040	13.664	-50.752	1039.440	320	
152959	272	-656	16928	16.592	-40.016	1032.608	592	
157945	304	-736	16928	18.544	-44.896	1032.608	480	
162932	224	-768	16960	13.664	-46.848	1034.560	96	
167917	288	-688	16960	17.568	-41.968	1034.560	816	
172904	304	-720	16960	18.544	-43.920	1034.560	672	
177892	272	-784	17136	16.592	-47.824	1045.296	512	
182878	304	-832	17088	18.544	-50.752	1042.368	-128	
187862	176	-784	17072	10.736	-47.824	1041.392	272	
192851	256	-720	17120	15.616	-43.920	1044.320	480	
