Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]	
3615	272	-768	16960	16.592	-46.848	1034.560	832	
8602	336	-720	16992	20.496	-43.920	1036.512	688	
13590	336	-800	16976	20.496	-48.800	1035.536	656	
18577	256	-752	17008	15.616	-45.872	1037.488	384	
23565	256	-800	16928	15.616	-48.800	1032.608	1120	
28553	288	-720	16928	17.568	-43.920	1032.608	608	
33541	304	-784	17008	18.544	-47.824	1037.488	352	
38528	288	-800	16928	17.568	-48.800	1032.608	1200	
43515	272	-704	16928	16.592	-42.944	1032.608	848	
48502	288	-800	16992	17.568	-48.800	1036.512	656	
53488	256	-752	16992	15.616	-45.872	1036.512	752	
58477	304	-736	16960	18.544	-44.896	1034.560	656	
63464	320	-720	16992	19.520	-43.920	1036.512	816	
68451	272	-768	16992	16.592	-46.848	1036.512	400	
73438	304	-736	16992	18.544	-44.896	1036.512	1296	
78425	304	-784	17024	18.544	-47.824	1038.464	672	
83413	208	-800	16992	12.688	-48.800	1036.512	384	
88400	288	-800	16960	17.568	-48.800	1034.560	1200	
93387	272	-720	16960	16.592	-43.920	1034.560	848	
98374	224	-736	17008	13.664	-44.896	1037.488	672	
103362	272	-784	17024	16.592	-47.824	1038.464	544	
108349	416	-688	16928	25.376	-41.968	1032.608	592	
113336	272	-848	17008	16.592	-51.728	1037.488	912	
118324	352	-736	16992	21.472	-44.896	1036.512	400	
123311	304	-704	16992	18.544	-42.944	1036.512	1200	
128300	256	-784	16944	15.616	-47.824	1033.584	688	
133287	336	-816	16896	20.496	-49.776	1030.656	336	
138273	304	-720	16960	18.544	-43.920	1034.560	1120	
143261	256	-720	16960	15.616	-43.920	1034.560	848	
148249	304	-784	16960	18.544	-47.824	1034.560	640	
153236	288	-736	16992	17.568	-44.896	1036.512	272	
158224	240	-720	16992	14.640	-43.920	1036.512	480	
163211	304	-848	16992	18.544	-51.728	1036.512	1136	
168199	256	-800	16992	15.616	-48.800	1036.512	384	
173186	240	-704	16992	14.640	-42.944	1036.512	848	
178174	288	-736	16976	17.568	-44.896	1035.536	608	
183161	288	-784	16944	17.568	-47.824	1033.584	288	
188149	336	-720	16928	20.496	-43.920	1032.608	1040	
193135	288	-832	16960	17.568	-50.752	1034.560	800	
198122	272	-784	16992	16.592	-47.824	1036.512	576	
203110	288	-784	16992	17.568	-47.824	1036.512	-640	
208097	320	-768	17040	19.520	-46.848	1039.440	480	
213082	288	-736	16944	17.568	-44.896	1033.584	1392	
218070	304	-800	16992	18.544	-48.800	1036.512	400	
223057	256	-752	16992	15.616	-45.872	1036.512	544	
228044	208	-752	17008	12.688	-45.872	1037.488	576	
233031	256	-752	17024	15.616	-45.872	1038.464	224	
238018	256	-784	16928	15.616	-47.824	1032.608	912	
243005	192	-800	17008	11.712	-48.800	1037.488	800	
247993	336	-832	17024	20.496	-50.752	1038.464	592	
252980	272	-736	16992	16.592	-44.896	1036.512	-48	
257966	272	-800	17056	16.592	-48.800	1040.416	432	
262954	288	-784	16960	17.568	-47.824	1034.560	1616	
267942	336	-816	17008	20.496	-49.776	1037.488	400	
272930	320	-720	16992	19.520	-43.920	1036.512	768	
277914	272	-688	16992	16.592	-41.968	1036.512	576	
282902	256	-768	17008	15.616	-46.848	1037.488	112	
287890	272	-784	16960	16.592	-47.824	1034.560	944	
292877	224	-736	16960	13.664	-44.896	1034.560	816	
297864	256	-832	17040	15.616	-50.752	1039.440	544	
302850	256	-736	17008	15.616	-44.896	1037.488	-64	
307837	256	-752	16992	15.616	-45.872	1036.512	448	
312824	320	-752	16992	19.520	-45.872	1036.512	944	
317811	336	-768	17040	20.496	-46.848	1039.440	400	
322798	352	-736	16960	21.472	-44.896	1034.560	816	
327785	256	-800	17024	15.616	-48.800	1038.464	640	
332773	288	-784	17024	17.568	-47.824	1038.464	32	
337760	256	-752	16976	15.616	-45.872	1035.536	1088	
342747	240	-720	16976	14.640	-43.920	1035.536	992	
347734	272	-736	16960	16.592	-44.896	1034.560	656	
352722	320	-768	16960	19.520	-46.848	1034.560	-48	
357709	304	-752	16960	18.544	-45.872	1034.560	640	
362697	256	-768	16960	15.616	-46.848	1034.560	736	
367684	320	-784	17040	19.520	-47.824	1039.440	464	
372670	288	-688	16960	17.568	-41.968	1034.560	1040	
377658	288	-736	17024	17.568	-44.896	1038.464	752	
382646	336	-752	16992	20.496	-45.872	1036.512	-16	
387634	272	-704	16992	16.592	-42.944	1036.512	1088	
